County,Name,Location ,Hours,Website,Phone,icon,Type of Tyvek Permits Sold,2010 House Districts,2010 Senate Districts,Counties
Washington County,REI-Tualatin#36,"7410 Bridgeport Rd
Tigard, OR 97224
(45.394129508617794, -122.75306377149239)",Mon-Fri 10am-9pm; Sat 10am-9pm; Sun 10am-7pm,http://www.rei.com/stores/36,503-624-8600,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One &  Two Year Tyvek Tag,37,19,724
Clackamas County,Mountain Sports,"68200 U 26
Welches, OR 97067
(45.25784232166586, -121.93328758895103)",N/A,http://www.mtnsportsonhood.com/,503-622-3120,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,18,9,2317
Benton County,"Peak Sports, Inc","207 2nd Street
Benton, OR 97330
(44.565136310202995, -123.25924229372066)","Mon, Sat 9am-6pm; Tue-Thu 9am-5pm; Fri 9am-8pm; Sun 12pm- 5pm",http://www.peaksportscorvallis.com/,800-427-6442,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,16,8,2316
Marion County,Oregon State Marine Board Office,"435 Commercial Street NE, Suite 400
Salem, OR 97301
(44.94413734606509, -123.03865571550227)",Mon-Fri 8am-5pm,http://www.boatoregon.com,503-378-8587,https://data.oregon.gov/views/aeq8-uffp/files/P8zXjvFP-n9Mgn0U4gzR5LC6s5e9AaZiQnh4ksjTuyg,One & Two Year Tyvek Tags,21,11,2409
Clackamas County,REI- Clackamas #102,"12160 82nd Ave
Portland, OR 97222
(45.44110072911542, -122.61629784277119)",Mon-Fri 10am-9pm; Sat 10am-9pm; Sun 11am-6pm,http://www.rei.com/stores/102,503-659-1156,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,41,21,2317
Clackamas County,Sportcraft Marina Inc,"13200 McLaughlin Blvd
Portland, OR 97222
(45.42780394204877, -122.63420943211348)",Tue-Fri 9am-5:30pm; Sat 9am-4:00pm; Sun-Mon Closed,http://www.sportcraftmarina.com/,877-662-9965,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tag,41,21,2317
Clackamas County,"West Coast Adventures, Inc.","406 Beavercreek Rd. Ste 342
Oregon City, Oregon 97045
(45.33365931961501, -122.59205957335892)",10 a.m. to 6 p.m. summer. Winter -by appt.,http://www.westcoastadventures.com,503-729-0818,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tag,40,20,2317
Clatsop County,Astoria Scuba & Kayak,"100 39th St
Astoria, OR 97103
(46.194515376709475, -123.79865727292466)",Daily 8am-6pm; excluding federal holidays,http://www.astoriascuba.com/index.php?option=com_content&view=article&id=46&Itemid=75,503-325-2502,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,32,16,2318
Deschutes County,Tumalo Creek Kayak & Canoe,"805 SW Industrial Way Ste 6
Bend, OR 97702
(44.050314948653494, -121.31587463127899)",Mon-Sat 9am-7pm; Sun 9am-5pm,http://www.tumalocreek.com/,541-317-9407,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year  Tyvek Tag,54,27,2362
Deschutes County,REI- Bend #96,"380 Powerhouse
Bend, OR 97702
(44.047450790632354, -121.31481294010302)",Mon-Fri 10am-8pm; Sat 10am-8pm; Sun 11am-6pm,http://www.rei.com/stores/96,541-385-0594,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,54,27,2362
Douglas County,City Sporting Goods,"1003 Central Ave
Sutherlin, OR 97479
(43.39272871429295, -123.29796154050688)",N/A,,541-459-9295,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tag,7,4,2363
Hood River County,Windance Boardshop ,"108 Hwy 35
Hood River, OR 97031
(45.707255823572474, -121.50270204579803)",Mon-Sat 9am-6pm; Sun 9am-5pm,http://www.windance.com/,541-386-2131,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One year Tyvek Tag,52,26,2366
