"title","year","link","chapter","agency"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042678","101","Oregon Health Authority - Public Employees' Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042462","101","Oregon Health Authority - Public Employees' Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051391","101","Oregon Health Authority - Public Employees' Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042679","104","Oregon Military Department - Office of Emergency Management"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042463","104","Oregon Military Department - Office of Emergency Management"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051392","104","Oregon Military Department - Office of Emergency Management"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042680","105","Department of Administrative Services - Chief Human Resources Office"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042464","105","Department of Administrative Services - Chief Human Resources Office"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051393","105","Department of Administrative Services - Chief Human Resources Office"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042499","111","Oregon Health Authority - Oregon Educators Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042465","111","Oregon Health Authority - Oregon Educators Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051394","111","Oregon Health Authority - Oregon Educators Benefit Board"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042500","114","Long Term Care Ombudsman"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042466","114","Long Term Care Ombudsman"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051395","114","Long Term Care Ombudsman"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042501","115","Employment Relations Board"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042467","115","Employment Relations Board"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051396","115","Employment Relations Board"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042502","122","Department of Administrative Services - Chief Financial Office"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042468","122","Department of Administrative Services - Chief Financial Office"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051397","122","Department of Administrative Services - Chief Financial Office"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042503","123","Oregon Business Development Department"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042469","123","Oregon Business Development Department"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051398","123","Oregon Business Development Department"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042504","125","Department of Administrative Services"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042470","125","Department of Administrative Services"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042470","125","Department of Administrative Services"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051399","125","Department of Administrative Services"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042505","137","Department of Justice"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042472","137","Department of Justice"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051400","137","Department of Justice"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042506","141","Department of State Lands"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042473","141","Department of State Lands"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051401","141","Department of State Lands"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042507","142","Department of State Lands - South Slough National Estuarine Research Reserve"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042474","142","Department of State Lands - South Slough National Estuarine Research Reserve"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051402","142","Department of State Lands - South Slough National Estuarine Research Reserve"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042508","150","Department of Revenue"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8458281","150","Department of Revenue"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051403","150","Department of Revenue"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042509","151","Office of Education and Workforce Policy"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042476","151","Office of Education and Workforce Policy"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051404","151","Office of Education and Workforce Policy"
"ADMINISTRATIVE RULE CHAPTER","2016","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042510","156","Legislative Administration Committee"
"ADMINISTRATIVE RULE CHAPTER","2017","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8042477","156","Legislative Administration Committee"
"ADMINISTRATIVE RULE CHAPTER","2015","http://records.sos.state.or.us/ORSOSWebdrawer/Recordhtml/8051405","156","Legislative Administration Committee"
