"fiscal_year","agency_issuing_tax_expenditure","date_of_certification","applicant_name","business_address","city","zip","biomass_material_type","units","certified_amount_of_material","certification_units","certification_decision","tax_credit_certification","tax_credit_rate","appl_no","appid"
"2021","Oregon Department of Agriculture","2021-09-21T00:00:00.000","Farm Power Tillamook, LLC","1934 South Wall St","MOUNT VERNON","98273","Manure","Tons","18496.40","WT","Approved","64737","3.5","BMTC-04-21-2","BMTC-04"
"2021","Oregon Department of Agriculture","2021-09-21T00:00:00.000","Farm Power Misty Meadow, LLC","1934 South Wall St","MOUNT VERNON","98273","Manure","Tons","23008.20","WT","Approved","80529","3.5","BMTC-03-21-2","BMTC-03"
"2021","Oregon Department of Agriculture","2021-08-02T00:00:00.000","Tillamook BioGas, LLC","807 E Main ST, Suite 2-210","DURHAM","27701","Manure","Tons","26321.85","WT","Approved","92126","3.5","BMTC-07-21-1","BMTC-07"
"2021","Oregon Department of Agriculture","2021-06-21T00:00:00.000","Oak Lea Digester LLC","11314 Mill Creek Rd SE","AUMSVILLE","97325","Manure","Tons","3392.70","WT","Approved","11874","3.5","BMTC-06-21-1","BMTC-06"
"2021","Oregon Department of Agriculture","2021-06-21T00:00:00.000","Farm Power Misty Meadow, LLC","1934 South Wall St","MOUNT VERNON","98273","Manure","Tons","22699.10","WT","Approved","79447","3.5","BMTC-03-21-1","BMTC-03"
"2021","Oregon Department of Agriculture","2021-12-16T00:00:00.000","Tillamook BioGas, LLC","807 E Main ST, Suite 2-210","DURHAM","27701","Manure","Tons","26045.60","WT","Approved","91305","3.5","BMTC-07-21-3","BMTC-07"
"2021","Oregon Department of Agriculture","2021-12-10T00:00:00.000","Oak Lea Digester LLC","11314 Mill Creek Rd SE","AUMSVILLE","97325","Manure","Tons","3378.90","WT","Approved","11826","3.5","BMTC-06-21-3","BMTC-06"
"2021","Oregon Department of Agriculture","2021-12-10T00:00:00.000","WOF PNW Threemile Project, LLC","75906 Threemile Rd","BOARDMAN","97818","Manure","Tons","193351.00","WT","Approved","676729","3.5","BMTC-05-21-3","BMTC-05"
"2021","Oregon Department of Agriculture","2021-12-14T00:00:00.000","Farm Power Tillamook, LLC","1934 South Wall St","MOUNT VERNON","98273","Manure","Tons","18730.10","WT","Approved","65555","3.5","BMTC-04-21-3","BMTC-04"
"2021","Oregon Department of Agriculture",,"Farm Power Misty Meadow, LLC","1934 South Wall St","MOUNT VERNON","98273","Manure","Tons",,"WT","Approved",,"3.5","BMTC-03-21-3","BMTC-03"
