"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Deschutes","Ariel Glen Apts","1700 SE Tempest Dr","Bend","Epic Property Management","541-383-2556","70",,,,"35","35",
"Deschutes","Ariel South Apts","1707 SE Tempest Dr","Bend","Epic Property Management","541-383-2556","97",,,,"97",,
"Deschutes","Cedarwest Apts","825 Watt Way","Bend","Avenue 5 Residential","541-716-6468","121",,,"81","40",,
"Deschutes","Crest Butte Apts","1695 NE Purcell Blvd","Bend","Viridian Management","541-389-9107","52",,,"16","36",,
"Deschutes","Daggett Townhouses","2027 Daggett Lane","Bend","Epic Property Management","541-312-0046","24",,,,"10","14",
"Deschutes","Discovery Park Lodge","2868 NW Crossing Dr","Bend","Cascade Management Inc.","541-312-9940","53",,,"42","11",,
"Deschutes","Eastlake Village","675 NE Bellevue Dr","Bend","Housing Works","541-383-0555","56",,,,"28","28",
"Deschutes","Emma's Place","335 NE Quimby Ave","Bend","Housing Works","541-923-1018","11",,,"11",,,
"Deschutes","Fifth Street Commons","465 NE Olney Ave","Bend","Cascade Management Inc.","541-312-9940","15",,,,"12","3",
"Deschutes","Greenwood Manor","2248 NE 4th St","Bend","Guardian Real Estate Services","541-389-2712","40",,"20","16","4",,
"Deschutes","Healy Heights","1900 NE Bear Creek Rd","Bend","Princeton Property Management","541-383-1874","70",,,"4","32","30","4"
"Deschutes","Moonlight Townhouses","2182 Moonlight Dr","Bend","Epic Property Management","541-312-0046","29",,,,"16","13",
"Deschutes","Mountain Laurel Lodge","990 SW Yates Dr","Bend","Cascade Management Inc.","541-389-7800","54",,,"42","12",,
"Deschutes","Pilot Butte Village","1975 NE Sams Lp","Bend","Cascadia Property Management","541-815-5333","40",,,,,,
"Deschutes","Putnam Lofts","750 NW Lava Rd","Bend","Epic Property Management","541-312-0046","10",,,"9","1",,
"Deschutes","Putnam Pointe","750 NW Lava Rd","Bend","Epic Property Management","541-312-0046","33",,,"27","6",,
"Deschutes","Quimby Street Apts","455 NE Quimby St","Bend","Cascade Management Inc.","541-382-9046","52",,,"52",,,
"Deschutes","Summit Park","2017 NE Full Moon Dr","Bend","Epic Property Management","541-382-2705","88",,,"28","44","16",
"Deschutes","Vintage at Bend","611 NE Bellevue Dr","Bend","FPI Management","541-617-3985","106",,,"47","59",,
"Deschutes","Hawks View Estates","51570 Little Deschutes Ln","La Pine","Housing Works","541-923-1018","42",,,,,,
"Deschutes","Little Deschutes Lodge","51725 Little Deschutes Ln","La Pine","Cascade Management Inc.","541-536-5400","52",,,"44","8",,
"Deschutes","Aspen Villas","933 NW Canal Blvd","Redmond","Epic Property Management","541-548-6326","40",,,,"24","16",
"Deschutes","Barbara's Place","1881 SW Timber Ave","Redmond","Housing Works","541-923-1018","6",,,"6",,,
"Deschutes","The Bluffs","340 SW Rimrock Wy","Redmond","Cascade Management Inc.","541-548-8735","96",,"18","43","27","8",
"Deschutes","Brentwood Manor","1121 SW Kalama Ave","Redmond","Taylor Real Estate","503-581-1813","8",,,,,,
"Deschutes","Cook Crossing","SW Veterans Way","Redmond","Epic Property Management","541-548-6326","48",,,,,,
"Deschutes","Fairhaven Vista","933 SW Canal Blvd","Redmond","Epic Property Management","541-548-6326","19",,,,"11","8",
"Deschutes","Green Pastures Senior Coop","2633 SW Obsidian Ave","Redmond","Commonwealth Management","503-718-0634","51",,,"51",,,
"Deschutes","High Desert Commons","2195 SW Canal Blvd","Redmond","Lovelace Properties","541-504-7786","28",,,,"17","11",
"Deschutes","Quartz Ave Apts","1620 SW Quartz Ave","Redmond","Epic Property Management","541-788-3742","5",,,"4","1",,
"Deschutes","Redmond Triangle Apts","787 NW Canal Blvd","Redmond","Viridian Management","541-923-2142","24",,,"20","4",,
"Deschutes","Reindeer Meadows","1601 SW Reindeer Ave","Redmond","Epic Property Management","541-548-2660","50",,,"40","10",,
"Deschutes","Ridgemont Apts","2210 SW 19th St","Redmond","Viridian Management","541-548-7282","46",,,"18","28",,
"Deschutes","Stafford Square II","724 NW 4th St","Redmond","Cascade Management Inc.","541-382-9046","12",,,,"8","4",
"Deschutes","Stoneybrook","933 NW Canal Blvd","Redmond","Housing Works","541-548-6326","40",,,,"20","20",
"Deschutes","Wintergreen Apts","2050 SW Timber Ave","Redmond","Viridian Management","541-548-7816","24",,,"8","13","3",
"Deschutes","Pondersa Heights","N Brooks Camp Rd","Sisters","Housing Works","541-548-6326","48",,,,,,
"Deschutes","Tamarack Village","555 N Larch St","Sisters","Epic Property Management","541-549-0143","33",,,,"16","17",
