"lt_cd","filenumber","filing_date","lapse_date","secured_party","addr1","addr2","city","state","postalcode","country","image_link"
"UCC","473","1976-10-05T00:00:00.000","2026-10-05T00:00:00.000","US NATIONAL BANK OR, 17TH & OAK BRANCH","99 E 17TH ST",,"EUGENE","OR","97401","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A473"
"UCC","1056","1979-11-15T00:00:00.000","2024-11-15T00:00:00.000","US NATIONAL BANK OF OREGON","210 E MAIN ST",,"HILLSBORO","OR","97123","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1056"
"TU","1749","1981-11-18T00:00:00.000",,"RURAL TELEPHONE BANK","US DEPT OF AGR",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1749"
"UCC","2393","1982-12-09T00:00:00.000","2027-12-09T00:00:00.000","US NATL BANK OREGON  COMML BANKING DIV","321 SW 6TH AVE",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A2393"
"UCC","2890","1983-03-28T00:00:00.000","2023-03-28T00:00:00.000","US NATIONAL BANK OREGON, COMML BKG DIV","321 SW SIXTH AVENUE",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A2890"
"UCC","3427","1983-07-05T00:00:00.000","2023-07-05T00:00:00.000","US NATIONAL BANK OF OR, EASTPORT PLAZA","4300 SE 82ND",,"PORTLAND","OR","97266","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A3427"
"UCC","4134","1983-11-07T00:00:00.000","2023-11-07T00:00:00.000","US NATIONAL BANK OR HILLSBORO COMML BR","210 E MAIN",,"HILLSBORO","OR","97123","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A4134"
"UCC","6242","1984-07-20T00:00:00.000","2024-07-20T00:00:00.000","US NATL BANK OREGON, MCMINNVILLE BRANCH","335 THIRD ST","PO BOX 708","MCMINNVILLE","OR","97128","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A6242"
"UCC","4134-1","1984-10-26T00:00:00.000","2023-11-07T00:00:00.000","US BANK NA","PO BOX 21467",,"SEATTLE","WA","98111-3467","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A4134-1"
"UCC","1963-1","1985-04-09T00:00:00.000","2027-04-08T00:00:00.000","US NATIONAL BANK OF OR   EASTPORT PLAZA","4300 SE 82ND AVE",,"PORTLAND","OR","97266","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1963-1"
"UCC","9088","1985-07-25T00:00:00.000","2025-07-25T00:00:00.000","US NATIONAL BANK OF OR,INDUSTRIAL CTR BR","3165 NW YEON",,"PORTLAND","OR","97210","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9088"
"UCC","9230","1985-08-19T00:00:00.000","2025-08-19T00:00:00.000","US BANK NA CLSC W PL 0285","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9230"
"UCC","9462","1985-09-19T00:00:00.000","2025-09-19T00:00:00.000","US BANK NA CLSC W PL7","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9462"
"UCC","9936","1985-11-22T00:00:00.000","2025-11-22T00:00:00.000","US NATIONAL BANK OF OREGON, MILWAUKIE BR","10400 MAIN ST","PO BOX 22111","MILWAUKIE","OR","97222","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9936"
"UCC","9980","1985-11-29T00:00:00.000","2025-11-29T00:00:00.000","US NATIONAL BANK OR, EASTPORT PLAZA BR","4300 SE 82ND",,"PORTLAND","OR","97266","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9980"
"UCC","11131","1986-04-18T00:00:00.000","2026-04-18T00:00:00.000","US NATIONAL BANK OREGON, CITIZENS BRANCH","636 SE GRAND AVE",,"PORTLAND","OR","97214","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A11131"
"UCC","11141","1986-04-21T00:00:00.000","2026-04-21T00:00:00.000","US NATIONAL BANK OF OR, JUNCTION CITY BR","234 W 6TH ST","PO BOX 168","JUNCTION CITY","OR","97448","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A11141"
"UCC","473-2","1986-07-09T00:00:00.000","2026-10-05T00:00:00.000","US NATIONAL BANK OF OREGON, EUGENE MAIN","811 WILLAMETTE",,"EUGENE","OR","97401","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A473-2"
"UCC","13506","1986-09-19T00:00:00.000","2026-09-19T00:00:00.000","US NATIONAL BANK OR, MENLO PARK BRANCH","12203 NE GLISAN ST","PO BOX 16517","PORTLAND","OR","97216","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A13506"
"UCC","16711","1987-03-31T00:00:00.000","2027-03-31T00:00:00.000","US NATIONAL BANK OF OR, LADD & BUSH BR","302 STATE ST","PO BOX 14444","SALEM","OR","97309","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A16711"
"EFS","313791","1987-05-04T00:00:00.000","2027-05-04T00:00:00.000","US BANK NATIONAL ASSOCTION OCLS PL 7","555 SW OAK ST",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A313791"
"UCC","17448","1987-05-04T00:00:00.000","2027-05-04T00:00:00.000","US BANK NA  OCLS PL7","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A17448"
"UCC","19873","1987-09-02T00:00:00.000","2022-09-02T00:00:00.000","US NATIONAL BANK OR, NE PTLD DIST LN CTR","909 LLOYD CENTER",,"PORTLAND","OR","97213","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A19873"
"UCC","27922","1988-09-08T00:00:00.000","2023-09-08T00:00:00.000","US BANK NATIONAL ASSOCIATION CLS PL-7","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A27922"
"UCC","3427-3","1988-10-24T00:00:00.000","2023-07-05T00:00:00.000","US NATL BANK OR, EAST METRO COMML CENTER","825 NE MULTNOMAH    STE 1175",,"PORTLAND","OR","97232","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A3427-3"
"UCC","1963-3","1988-10-28T00:00:00.000","2027-04-08T00:00:00.000","US NATIONAL BANK OF OREGON","CLSC PL 7","555 SW OAK","PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1963-3"
"UCC","29405","1988-11-02T00:00:00.000","2023-11-02T00:00:00.000","US BANK NATIONAL ASSOCIATION","PO BOX 21467",,"SEATTLE","WA","98111","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A29405"
"UCC","29406","1988-11-02T00:00:00.000","2023-11-02T00:00:00.000","US BANK NATIONAL ASSOCIATION","PO BOX 21467",,"SEATTLE","WA","98111","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A29406"
"UCC","13506-1","1988-11-15T00:00:00.000","2026-09-19T00:00:00.000","US NATIONAL BANK OR, E METRO COMML CNTR","825 NE MULTNOMAH STE 1175",,"PORTLAND","OR","97232","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A13506-1"
"UCC","30927","1988-12-30T00:00:00.000","2023-12-30T00:00:00.000","US BANK NA CLS PL7","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A30927"
"UCC","36289","1989-06-26T00:00:00.000","2024-06-26T00:00:00.000","US BANK NATIONAL ASSOCIATION","PL 7 OR COMMERCIAL LOAN SERVICING WEST","555 SW OAK","PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A36289"
"UCC","37255","1989-08-03T00:00:00.000","2024-08-03T00:00:00.000","US BANK NA PL7","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A37255"
"UCC","37654","1989-08-22T00:00:00.000","2024-08-22T00:00:00.000","US NATIONAL BANK OR, E METRO COML BKG CT","825 NE MULTNOMAH ST   SUITE 1175",,"PORTLAND","OR","97232","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A37654"
"UCC","1056-2","1989-09-25T00:00:00.000","2024-11-15T00:00:00.000","US BANK NATIONAL ASSOCIATION","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1056-2"
"EFS","314838","1989-11-27T00:00:00.000","2024-11-27T00:00:00.000","US NATIONAL BANK OR, MID WILLAMETTE COML","302 STATE ST","PO BOX 14430","SALEM","OR","97309","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A314838"
"UCC","43471","1989-11-27T00:00:00.000","2024-11-27T00:00:00.000","US NATIONAL BANK OR, MID WILLAMETTE COMMERCIAL CENTER","302 STATE ST","PO BOX 14430","SALEM","OR","97309","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A43471"
"UCC","64700","1990-06-14T00:00:00.000","2025-06-14T00:00:00.000","US NATIONAL BANK OF OREGON","811 WILLAMETTE ST",,"EUGENE","OR","97401","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A64700"
"UCC","65310","1990-06-21T00:00:00.000","2025-06-21T00:00:00.000","US NATIONAL BANK OR, EAST METRO COML BKG","825 NE MULTNOMAH ST SUITE 1175",,"PORTLAND","OR","97232","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A65310"
"UCC","66261","1990-06-28T00:00:00.000","2025-06-28T00:00:00.000","US NATIONAL BANK OR, E METRO COMML BKING","825 NE MULTNOMAH ST  SUITE 1175",,"PORTLAND","OR","97232","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A66261"
"UCC","77555","1990-10-16T00:00:00.000","2025-10-16T00:00:00.000","US NATIONAL BANK OF OREGON","321 SW 6TH AVE",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A77555"
"UCC","9980-2","1990-12-10T00:00:00.000","2025-11-29T00:00:00.000","US NATIONAL BANK OR, EAST METRO COML BKG","825 NE MULTNOMAH STE 1175",,"PORTLAND","OR","97266","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A9980-2"
"UCC","473-5","1991-07-11T00:00:00.000","2026-10-05T00:00:00.000","US BANK NA CLSC PL0285","555 SW OAK ST","PO BOX 5038","PORTLAND","OR","97228-5308","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A473-5"
"UCC","1990-4","1992-01-27T00:00:00.000","2027-04-26T00:00:00.000","US NATIONAL BANK OF OREGON","622 SE GRAND AVENUE","PO BOX 14010","PORTLAND","OR","97214","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A1990-4"
"UCC","127166","1992-02-18T00:00:00.000","2027-02-18T00:00:00.000","US BANK NA","PO BOX 5308",,"PORTLAND","OR","97228-5308","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A127166"
"UCC","143502","1992-07-09T00:00:00.000","2027-07-09T00:00:00.000","US BANK NA","DEALER SERVICES","PO BOX 5308","PORTLAND","OR","97228","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A143502"
"UCC","145667","1992-07-28T00:00:00.000","2027-07-28T00:00:00.000","US NATIONAL BANK OF OREGON","CLSC PL 7","555 SW OAK","PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A145667"
"UCC","146599","1992-08-05T00:00:00.000","2027-08-05T00:00:00.000","US NATIONAL BANK OF OREGON","OCLS PL-7","555 SW OAK","PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A146599"
"UCC","149188","1992-08-27T00:00:00.000","2027-08-27T00:00:00.000","US NATL BANK MID WILLAMETTE CBC","302 STATE ST","PO BOX 14430","SALEM","OR","97309","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A149188"
"UCC","157780","1992-11-18T00:00:00.000","2027-11-18T00:00:00.000","US NATIONAL BANK OF OREGON","555 SW OAK",,"PORTLAND","OR","97204","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A157780"
