Hospital Name,Patient Days,Observed Infections,Predicted Infections,SIR,SIR 95% CI,SIR Interpretation (2015 US Baseline),2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
 1. All Oregon,1386678,748,906.57,0.825,"0.768, 0.886",Statistically fewer infections,Target Not Met,,,,https://data.oregon.gov/views/3265-cjwy/files/5b68e46a-0324-4be7-a05a-9134568940a3,,,,
Adventist Medical Center,28882,23,18.1,1.27,"0.825, 1.876",More infections,Target Not Met,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/3265-cjwy/files/d1d31653-96f0-439d-8cfb-56e04b5d17f5,,46,23,2410
Asante Three Rivers Medical Center,30212,13,18.14,0.717,"0.399, 1.195",Fewer infections,Target Not Met,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/3265-cjwy/files/5709ecb7-7571-43b0-95d4-404791a2a118,,3,2,2368
Bay Area Hospital,28265,13,16.51,0.787,"0.438, 1.313",Fewer infections,Target Not Met,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/3265-cjwy/files/ad86b933-c640-434c-98af-f4a661219700,,9,5,2320
Kaiser Permanente Sunnyside Medical Center,72455,40,50.16,0.797,"0.577, 1.075",Fewer infections,Target Not Met,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/3265-cjwy/files/aa770369-551d-4378-a4b1-6da068c158d4,,48,24,2317
Kaiser Permanente Westside Medical Center,23920,12,8.06,1.489,"0.807, 2.532",More infections,Target Not Met,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",https://data.oregon.gov/views/3265-cjwy/files/a1feb870-7761-4012-8dcf-57414cc4e376,,30,15,724
Legacy Good Samaritan Medical Center,44253,19,26.04,0.73,"0.452, 1.118",Fewer infections,Target Not Met,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/3265-cjwy/files/040a3f71-ea88-4c84-8c3f-11c4dedf54f4,,33,17,2410
Legacy Meridian Park Medical Center,32905,13,15.72,0.827,"0.460, 1.378",Fewer infections,Target Not Met,CLACKAMAS,Region1,"19300 SOUTHWEST 65TH AVENUE
TUALATIN 97062
(45.3786716, -122.740804)",https://data.oregon.gov/views/3265-cjwy/files/afe8eccd-014b-40fa-976a-fcae1c911d13,,37,19,2317
Providence Medford Medical Center,30053,20,18.58,1.077,"0.676, 1.633",More infections,Target Not Met,JACKSON,Region5,"1111 CRATER LAKE AVENUE
MEDFORD 97504
(42.3396452, -122.8628254)",https://data.oregon.gov/views/3265-cjwy/files/1dda7f28-d02e-49c8-b2ce-af5b90d942aa,,6,3,2367
Samaritan Albany General Hospital,8868,5,3.05,1.64,"0.601, 3.634",More infections,Target Not Met,LINN,Region2,"1046 6TH AVENUE SOUTHWEST
ALBANY 97321
(44.631601, -123.1162322)",https://data.oregon.gov/views/3265-cjwy/files/e6e9a586-df7a-45a7-add9-a94ce8b2ca90,,15,8,2407
Santiam Memorial Hospital,3508,2,1.28,1.56,"0.261, 5.153",More infections,Target Not Met,MARION,Region2,"1401 NORTH 10TH AVENUE
STAYTON 97383
(44.8051122, -122.7847402)",https://data.oregon.gov/views/3265-cjwy/files/1b1ff008-36eb-4193-82e5-6feb2c811932,,17,9,2409
Legacy Emanuel Medical Center,96112,25,62.17,0.402,"0.266, 0.585",Statistically fewer infections,SIR Target (<0.7) Met,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/3265-cjwy/files/7db55542-6279-4297-a12e-f4ff2e1c9bac,https://data.oregon.gov/views/3265-cjwy/files/8b51ac18-fd97-45be-862d-ba8afb96f2a5,43,22,2410
Legacy Mount Hood Medical Center,23213,7,12.21,0.573,"0.251, 1.134",Fewer infections,SIR Target (<0.7) Met,MULTNOMAH,Region1,"24800 SOUTHEAST STARK STREET
GRESHAM 97030
(45.5166262, -122.4070368)",https://data.oregon.gov/views/3265-cjwy/files/0426b127-d72e-480c-8855-e21034e1b17f,https://data.oregon.gov/views/3265-cjwy/files/dd964fec-9106-455a-97d9-2cb36965860d,49,25,2410
Mid-Columbia Medical Center,7500,0,2.43,0," , 1.235",Fewer infections,SIR Target (<0.7) Met & ZERO Infections,WASCO,Region6,"1700 EAST 19TH STREET
THE DALLES 97058
(45.5873161, -121.1644619)",https://data.oregon.gov/views/3265-cjwy/files/54a0cc50-9b11-4432-a1c9-c258e38f646e,https://data.oregon.gov/views/3265-cjwy/files/9bff3efa-4b70-4e67-8609-1ff4d446207f,59,30,2451
McKenzie-Willamette Medical Center,27747,14,17.25,0.812,"0.462, 1.330",Fewer infections,Target Not Met,LANE,Region3,"1460 G STREET
SPRINGFIELD 97477
(44.0530441, -123.0039526)",https://data.oregon.gov/views/3265-cjwy/files/d79c5757-2abe-4516-b16a-0966f512171e,,12,6,2371
Mercy Medical Center,26949,18,19.81,0.909,"0.556, 1.408",Fewer infections,Target Not Met,DOUGLAS,Region3,"2700 NORTHWEST STEWART PARKWAY
ROSEBURG 97470
(43.2414531, -123.3669708)",https://data.oregon.gov/views/3265-cjwy/files/61c8b3e5-27a3-476f-ad1f-ccbf82b78f8a,,2,1,2363
Oregon Health & Science University,156681,112,108.46,1.033,"0.854, 1.238",More infections,Target Not Met,MULTNOMAH,Region1,"3181 SOUTHWEST SAM JACKSON PARK ROAD
PORTLAND 97239
(45.4989708, -122.6861182)",https://data.oregon.gov/views/3265-cjwy/files/edac5ec2-02e3-4e82-ba54-f7b0797168c1,,36,18,2410
Providence Newberg Medical Center,9642,9,3.44,2.613,"1.274, 4.795",Statistically more infections,Target Not Met,YAMHILL,Region2,"1001 PROVIDENCE DRIVE
NEWBERG 97132
(45.3081804, -122.9358992)",https://data.oregon.gov/views/3265-cjwy/files/56a85831-c234-4bb8-a7bb-a9266193e822,,25,13,2453
Providence Portland Medical Center,108921,67,84.85,0.79,"0.617, 0.997",Statistically fewer infections,Target Not Met,MULTNOMAH,Region1,"4805 NORTHEAST GLISAN STREET
PORTLAND 97213
(45.52742, -122.6137641)",https://data.oregon.gov/views/3265-cjwy/files/5807e501-8499-4c5f-b6cd-93adc6d56d24,,46,23,2410
Sacred Heart University District,7802,4,2.54,1.573,"0.500, 3.795",More infections,Target Not Met,LANE,Region3,"1255 HILYARD STREET
EUGENE 97401
(44.0460057, -123.081783)",https://data.oregon.gov/views/3265-cjwy/files/17be6da0-ead4-45cb-a17b-62bc3e482487,,11,6,2371
Salem Hospital,109973,107,94.71,1.13,"0.930, 1.360",More infections,Target Not Met,MARION,Region2,"890 Oak St SE, Salem, OR 97301
SALEM 97301
(44.932538, -123.033944)",https://data.oregon.gov/views/3265-cjwy/files/fc99590b-b3c5-4154-9518-387c88015c68,,21,11,2409
Willamette Valley Medical Center,13699,1,6.37,0.157,"0.008, 0.774",Statistically fewer infections,SIR Target (<0.7) Met,YAMHILL,Region2,"2700 SOUTHEAST STRATUS AVENUE
MCMINNVILLE 97128
(45.1990006, -123.164851)",https://data.oregon.gov/views/3265-cjwy/files/fcc6ae63-c561-4c92-b96d-78938c71b85b,https://data.oregon.gov/views/3265-cjwy/files/5907d899-bd3a-4e09-86aa-1b2f1202f6ee,24,12,2453
St. Charles Medical Center - Redmond,8534,1,4.3,0.233,"0.012, 1.147",Fewer infections,SIR Target (<0.7) Met,DESCHUTES,Region7,"1253 NORTH CANAL BOULEVARD
REDMOND 97756
(44.288663, -121.1696273)",https://data.oregon.gov/views/3265-cjwy/files/93b80dbd-fc95-47d5-8cd5-b90f65b718e4,https://data.oregon.gov/views/3265-cjwy/files/7589f9b9-e7f7-4273-8517-9d1235475f91,53,27,2362
Providence Milwaukie Hospital,14863,1,7.65,0.131,"0.007, 0.645",Statistically fewer infections,SIR Target (<0.7) Met,CLACKAMAS,Region1,"10150 SOUTHEAST 32ND AVENUE
PORTLAND 97222
(45.4495992, -122.6276076)",https://data.oregon.gov/views/3265-cjwy/files/5aaab3da-b1f4-4b4e-94ad-cdbf265888fc,https://data.oregon.gov/views/3265-cjwy/files/ec30c285-034b-4bfc-ab0e-3498704c8157,41,21,2317
