"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Lincoln","Beacon Crest Apts","2897 NE 47th St","Lincoln City","Cascade Management Inc.","541-994-2914","41",,,"13","10","16","2"
"Lincoln","Jetty Senior Apts","426 SE Jetty Ave","Lincoln City","Guardian Real Estate Services","541-994-5115","34",,,,"29","5",
"Lincoln","Lincoln Village","2530 NE 31st St","Lincoln City","Guardian Real Estate Services","541-994-8344","38",,,"18","10","10",
"Lincoln","Ridge Apts","3232 SE Harbor Dr","Lincoln City","Guardian Real Estate Services","541-996-7667","32",,,"16","8","8",
"Lincoln","Seahaven Apts","1550 SE 14t St","Lincoln City","Holiday Property Management","541-994-4202","40",,,"40",,,
"Lincoln","Spyglass Apts","950 SE 32nd St","Lincoln City","Viridian Management","541-994-3393","40",,,"8","28","4",
"Lincoln","Surfwood Manor","4545 SW Hwy 101","Lincoln City","Cambridge Real Estate Services","541-996-3477","48",,,"44","4",,
"Lincoln","West Devils Lake","3100 NE 26th St","Lincoln City","Northwest Real Estate Capital Corp.","541-994-6781","50",,,"4","42","4",
"Lincoln","Agate Heights Apts","140 NE 60th","Newport","Housing Authority of Lincoln County","541-265-5326","44",,,,,,
"Lincoln","Big Creek Point Apts","2725 NE Crestview Dr","Newport","Cascade Management Inc.","541-574-9810","47",,,"41","6",,
"Lincoln","Mariner Heights Apts","230 NW 1st St","Newport","Housing Authority of Lincoln County","541-265-5326","16",,,"16",,,
"Lincoln","Newport North & South Apts","116 NW 60th St","Newport","Viridian Management","541-265-8860","20",,,,"4","10","6"
"Lincoln","Ocean Spray Homes","1039 NW Nye St","Newport","Housing Authority of Lincoln County","541-265-5326","28",,"8","16","2","2",
"Lincoln","Pinewood Manor","225 NW 6th St","Newport","Guardian Real Estate Services","541-265-8376","45",,"19","20","6",,
"Lincoln","Salmon Run","7035 NE Echo Ct","Newport","Housing Authority of Lincoln County","541-265-5326","40",,,,"22","18",
"Lincoln","Yaquina Breeze","5927 N Coast Hwy","Newport","Community Development Corp. of Lincoln Co","541-265-4449","9",,,"9",,,
"Lincoln","Sa Da Munn Apts","485 W Willow St","Waldport","Viridian Management","541-563-3508","50",,,"46","4",,
"Lincoln","Vandehaven-by-the-Bay","385 NE Grant St","Waldport","Housing Authority of Lincoln County","541-265-5326","18",,"4","14",,,
"Lincoln","Fisterra Gardens Townhomes","100 Diversity Dr","Yachats","Housing Authority of Lincoln County","541-265-5326","21",,,,,,
