Facility Name,Type,Owner,Contact Person,Contact Phone,Waterbody,Rivermile,Location,Fee,Hours,Operates,Coordinates,City,County,Zip,Region,icon
Arlington Marina,pump/ dump,Port of Arlington,Maintenance,541-454-2868,Columbia River,243,Middle of transient float,0.00,24 hours,year round,"(45.722353, -120.206132)",Arlington,Gilliam,97812,Columbia River Gorge,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Babeckos Marina,pump/ dump,Private,Owner,503-288-8381,Columbia River,108.3,On boarding float,0.00,24 hours,year round,"(45.602833, -122.630767)",Portland,Multnomah,97211,North Valley,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Bandon Sport Basin,pump/ dump,Port of Bandon,Port Director,541-347-3206,Coquille River,0.8,On fuel float,0.00,24 hours,year round,"(43.120397, -124.412384)",Bandon,Coos,97411,South Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Boardman Marina,pump/ dump,Boardman Parks District,Park Ranger,541-481-7217,Columbia River,269.5,End of transient float,0.00,24 hours,year round (weather permitting),"(45.843124, -119.711764)",Boardman,Morrow,97818,Columbia River Gorge,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Boones Ferry Marina,pump/ dump,Clackamas County,Parks Manager,503-353-4421,Willamette River,39,On fuel float,0.00,24 hours,seasonal,"(45.292238, -122.774819)",Aurora,Marion,97002,North Valley,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Brookings Commercial Basin,pump/ dump,Port of Brookings,Harbormaster,541-469-2218,Chetco River,0.4,On fuel float,0.00,24 hours,year round,"(42.047746, -124.268155)",Brookings,Curry,97415,South Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Brookings Sport Basin,pump/ dump,Port of Brookings,Harbormaster,541-469-2218,Chetco River,0.4,On transient float,0.00,24 hours,year round,"(42.051497, -124.270217)",Brookings,Curry,97415,South Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Cascade Locks Marina,pump/ dump,Port of Cascade Locks,General Manager,541-374-8619,Columbia River,149,On transient float,0.00,24 hours,seasonal,"(45.671923, -121.892038)",Cascade Locks,Hood River,97014,Columbia River Gorge,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
"Charleston Boat Basin ""B"" Dock",pump/ dump,Port of Coos Bay,Director,541-888-2548,South Slough,0,"Transient float - halfway down ""B"" dock",0.00,24 hours,year round,"(43.346488, -124.322067)",Coos Bay,Coos,97420,South Central Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
"Charleston Boat Basin ""G"" Dock",pump/ dump,Port of Coos Bay,Director,541-888-2548,South Slough,0,"Transient float - end of ""G"" dock",0.00,24 hours,year round,"(43.346702, -124.325688)",Coos Bay,Coos,97420,South Central Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Chinook Landing,pump/ dump,Metro,District Manager,503-797-1844,Columbia River,118.5,On transient float,0.00,24 hours,year round,"(45.56055, -122.444018)",Portland,Multnomah,97230,North Valley,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
City Dock,pump/ dump,City of Coos Bay,Operations Manager,541-269-8918,Coos Bay,0,On transient float,0.00,24 hours,year round,"(43.367348, -124.21182)",Coos Bay,Coos,97420,South Central Coast,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
Courthouse Transient Tie-up Floats,pump/ dump,City of St. Helens,City Administrator,503-397-6272,Columbia River,86.5,River side of transient float,0.00,24 hours,year round (weather permitting),"(45.863287, -122.795311)",St. Helens,Columbia,97051,North Valley,https://data.oregon.gov/views/r37a-62u5/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA
