Title,Service Era(s),Description,Reference,Location,Address,Directions,City,County,Photo,Validated?
Wall of Honor Memorial,Multiple,"Wall of Honor Memorial is dedicated to the 451 Lane County veterans who were killed in the war from World War I through Operation Desert Storm. The marble memorial was dedicated May 30, 1996. A noteworthy inclusion on this memorial is that of Duane Hodges. Hodges was the only casualty in the Pueblo Incident in 1968.",View Online (http://www.waymarking.com/waymarks/WM3PZQ_Lane_County_Memorial_Skinners_Butte_Park_Eugene_Oregon),Skinner Butte City Park,"248 Cheshire Ave
Eugene, OR 97401
(44.06085, -123.093717)",Google Maps (https://goo.gl/maps/tf5K6kJurS82),Eugene,Lane,https://data.oregon.gov/views/2ku2-p2h8/files/e95a5ff8-bccf-48b5-a84e-0a316f5d1e28,Yes
St. Barbara Cemetery Flag Pole,All,"Black stone tablet at the base of a flagpole reads, ""This Flag and pole are dedicated to honor the veterans buried at St Barbara's Cemetery.""",View Online (http://www.waymarking.com/waymarks/WMKJV8_St_Barbara_Cemetery_Flag_Pole_Marker_Salem_Oregon),St. Barbara Cemetery,"Missouri Ave S and Liberty Rd S
Salem, OR 97302
(44.91085, -123.047633)",Google Maps (https://goo.gl/maps/YAfskCTPTpw),Salem,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/c9afcb16-d024-4e71-9536-bcc0aece4472,Yes
Multi-War Peace Memorial,Multiple,"A black stone memorial reads, ""HONORING the men & women of Josephine County who served their country in the wars of this century. REMEMBERING the wounded, the disabled, the MIA and POW. DEDICATED to those who lost their lives in the QUEST FOR PEACE."" Dedicated June 14, 1994 by the City of Grants Pass War Committee.",View Online (http://www.waymarking.com/waymarks/WMN6TC_Multi_War_Peace_Memorial_Riverside_Park_Grants_Pass_OR),Riverside Park,"304 E Park St
Grants Pass, OR 97527
(42.428783, -123.3266)",Google Maps (https://goo.gl/maps/hNV3xi5sFj72),Grants Pass,Josephine,https://data.oregon.gov/views/2ku2-p2h8/files/fbd67ec0-56af-4a5e-b50a-d733e9b27e70,Yes
Beaverton Veterans Memorial,All,"The Beaverton Veterans Memorial is the centerpiece of the Memorial Park in Beaverton, Oregon. Around the base and on four low walls surrounding the monument, there are engraved bricks with names of servicemen whom died in service of our country. The inscription reads, ""Dedicated To All Veterans. All Gave Some, Some Gave All.""",View Online (http://www.waymarking.com/waymarks/WM4ERY_Beaverton_Veterans_Memorial_Memorial_Park_Beaverton_OR),Veterans Memorial Park,"SW 7th and SW Watson Ave
Beaverton, OR 97005
(45.482112, -122.806772)",Google Maps (https://goo.gl/maps/tW5vvxQ1Jx42),Beaverton,Washington,https://data.oregon.gov/views/2ku2-p2h8/files/b68a09a0-4dc4-4148-910e-b4616f0370bc,Yes
All Unknown Veterans Memorial,All,"A plaque reads, ""THIS MEMORIAL IS DEDICATED TO ALL UNKNOWN VETERANS WHO HAVE SERVED IN THE ARMED FORCES OF THE UNITED STATES OF AMERICA."" Dedicated in 1980 by the Disabled Veterans of America Department of Oregon; initiated by Jackson County Chapter No. 8.",View Online (http://www.waymarking.com/waymarks/WMQF4_All_Unknown_Veterans_Memorial_Eagle_Point_National_Cemtery),Eagle Point National Cemetery,"2763 Riley Rd
Eagle Point, OR 97524
(42.46445, -122.787033)",Google Maps (https://goo.gl/maps/M6qYkQJzFWy),Eagle Point,Jackson,https://data.oregon.gov/views/2ku2-p2h8/files/27d9a6af-0d21-40c7-9447-d4d47ae367d2,Yes
Vietnam War Memorial, Vietnam War,"A plaque reads, ""IN MEMORY OF THE VIETNAM VETERANS. OFFERINGS OF LOVE AND HONOR VIETNAM MEMORIAL WALL JUN 24 1998 JUN 29 1998.""",View Online (http://www.waymarking.com/waymarks/WMMTD8_Vietnam_War_Memorial_Eagle_Point_National_Cemetery_Eagle_Point_OR),Eagle Point National Cemetery,"2763 Riley Rd
Eagle Point, OR 97524
(42.4645, -122.787083)",Google Maps (https://goo.gl/maps/vLjdDQwrqF92),Eagle Point,Jackson,https://data.oregon.gov/views/2ku2-p2h8/files/9718ac37-0363-4a51-b864-67899e8de5fa,Yes
Union Veterans of the Civil War Memorial,Civil War,"A concrete base with a plaque that reads, ""IN MEMORY OF UNION VETERANS OF THE 1861 CIVIL WAR 1865 ERECTED 1936 BY SONS OF UNION VETERANS OF THE CIVIL WAR DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR.""",View Online (http://www.waymarking.com/waymarks/WMN6VT_Union_Veterans_of_the_Civil_War_Memorial_Riverside_Park),Riverside Park,"304 E Park St
Grants Pass, OR 97527
(42.429017, -123.329233)",Google Maps (https://goo.gl/maps/VaHoSKjZfX32),Grants Pass,Josephine,https://data.oregon.gov/views/2ku2-p2h8/files/2e25b68a-5d14-471c-9b2e-13a7334c0d5b,Yes
Florence Memorial Monument,All,A viewing pier extends over the Siuslaw River.  A Veterans’ Memorial Wall has the names of any veteran inscribed on bricks with columns for all five service branches insignia of the military frames the wall.,View Online (http://www.waymarking.com/waymarks/WM837F_Veterans_Memorial_Park_Florence_Oregon),"""Old Town""","Bay Street
Florence, OR 97439
(43.966917, -124.109383)",Google Maps (https://goo.gl/maps/nGZaBvJ3W9R2),Florence,Lane,https://data.oregon.gov/views/2ku2-p2h8/files/e51e2804-c5c0-4863-9055-6e962559682f,Yes
Memorial for Specialist Fourth Class Larry Dahl,All,"A memorial dedicated on November 5, 1988 to Specialist 4 Larry G. Dahl, United States Army, a Oregon City man who was awarded the Medal of Honor posthumously for his heroism in the war.",View Online (http://www.waymarking.com/waymarks/WMA9C9_Vietnam_War_Memorial_Museum_of_the_Oregon_Territory_Oregon_City_OR_USA),Museum of the Oregon Territory,"211 Tumwater Dr
Oregon City, OR 97045
(45.351733, -122.6138)",Google Maps (https://goo.gl/maps/xpiFn4aK3Dq),Oregon City,Clackamas,https://data.oregon.gov/views/2ku2-p2h8/files/dbf155c7-4cbc-4aa3-9b6a-93aa2a58610e,Yes
Flag Pole Memorial,All,"A plaque reads, ""FLAG FLYING IN MEMORY OF ALL WARS""",View Online (http://www.waymarking.com/waymarks/WMF6JR_Veterans_Flag_Pole_Memorial_Mountain_View_Cemetery_Ashland_OR),Mountain View Cemetery,"Ashland St
Ashland, OR 97520
(42.18625, -122.682367)",Google Maps (https://goo.gl/maps/Rrh9AZMGrc52),Ashland,Jackson,https://data.oregon.gov/views/2ku2-p2h8/files/007189c2-3368-4cf4-a803-70278f2601e5,Yes
Illinois Valley Veterans Memorial,All,"A plaque reads, ""Dedicated In Memory To Veterans Of The Illinois Valley By The American Legion And Disabled American Veterans, City Of Cave Junction, July 4, 1983""",View Online (http://www.waymarking.com/waymarks/WM5VXG_Illinois_Valley_Veterans_Memorial__Cave_Junction_OR),Cave Junction City Hall,"222 Lister St
Cave Junction, OR 97523
(42.167717, -123.648183)",Google Maps (https://goo.gl/maps/9arzKt73Luv),Cave Junction,Josephine,https://data.oregon.gov/views/2ku2-p2h8/files/3957eda6-f1a9-4acc-a553-f7bd52594ea0,Yes
Wallowa County WWII Memorial,WWII,"A memorial plaque in front of the Wallowa County Courthouse reads, ""World War II 1941-1945 Remember these brave men who died in their Country's service so far from our beautiful Mountains"" and lists the names of those killed.",View Online (http://www.waymarking.com/waymarks/WM2CV8_Wallowa_County_World_War_II_Memorial_Enterprise_Oregon),Wallowa County Courthouse,"101 S. River
Enterprise, OR 97828
(45.425083, -117.277433)",Google Maps (https://goo.gl/maps/Z319JXNPmXS2),Enterprise,Wallowa,https://data.oregon.gov/views/2ku2-p2h8/files/8aac516f-2dc9-4205-a79d-0aba3ae6ed04,Yes
Mt. Hope Cemetery Veterans Memorial,All,"This veterans memorial and flag are located at Mount Hope Cemetery in the Veterans section at the southwest corner of the cemetery. Dedicated to the memory of those who served in the United States Military Armed Services in May 1994 by Veterans of Foreign Wars Post #3048, Disabled American Veterans #19, AMVETS Post #1874, and American Legion Post #41. ",View Online (http://www.waymarking.com/waymarks/WM35PT_Veterans_Memorial_at_Mount_Hope_Cemetery_Baker_City_Oregon),Mount Hope Cemetery,"Indiana Ave and S Bridge St
Baker City, OR 97814
(44.76385, -117.8205)",Google Maps (https://goo.gl/maps/NsqQwxH2zpm),Baker City,Baker,https://data.oregon.gov/views/2ku2-p2h8/files/eb121b51-5131-44a3-951f-036baebad893,Yes
WWII Memorial,WWII,"This memorial is located at the 16th Street entrance to the Clatsop County Heritage Center. It is in memory of those who served in L Company 186th Infantry from September 16, 1940 to December 31, 1945. A second stone lists the 5 Astoria Company L members killed in action: SSGT Robert Palmbert, SSGT Donald Foote, SSGT Everett Salvon, SSGT Clyde Kepford, and SSGT Gilbert Spicer.",View Online (http://www.waymarking.com/waymarks/WM12YZ_Astoria_World_War_II_Memorial),Clatsop County Heritage Center,"1618 Exchange St
Astoria, OR 97103
(46.18835, -123.825583)",Google Maps (https://goo.gl/maps/ee9e5CFB7az),Astoria,Clatsop,https://data.oregon.gov/views/2ku2-p2h8/files/9772cf0f-5b48-4af8-912d-db1b4a9c6fec,Yes
VFW Memorial,All,"A memorial dedicated to all veterans features a Civil War cannon, benches, flag pole, and several plaques in memoriam. Dedicated May 7, 1995 by VFW Post 1440.",View Online (http://www.waymarking.com/waymarks/WM9KPY_VFW_Memorial_McCormick_Park_St_Helens_OR),McCormick Park,"475 S 18th St
St. Helens, OR 97051
(45.8515, -122.816183)",Google Maps (https://goo.gl/maps/rp7cmDaY5vo),St. Helens,Columbia,https://data.oregon.gov/views/2ku2-p2h8/files/d91fb455-c72b-44f8-9c38-6af1ec0ffcdd,Yes
Marion County World War Monument,WWI,"This John Paulding Doughboy sculpture dates to 1924 and was originally located at the Marion County Courthouse, about six-tenths of a mile to the southwest. The statue is dedicated to the soldiers from Marion County who died in World War I. The text on the front of the granite base reads: ""THEIR COUNTRY'S CALL ANSWERED SONS AND DAUGHTERS OF MARION COUNTY WHO MADE THE SUPREME SACRIFICE IN THE WORLD WAR 1914 - 1918 'GREATER LOVE HATH NO MAN' JOHN 15:13."" The names of Marion County soldiers who perished are engraved on the other sides of the base. In 1991, the sculpture was moved and rededicated in it's current location behind the Oregon Department of Veteran's Affairs Building, along Mill Creek. A new ""rededication"" plaque was attached directly to the original base. An additional plaque is located a few feet north of the sculpture. The plaque contains the poem ""In Flanders Fields.""",View Online (http://www.waymarking.com/waymarks/WMH2HZ_Marion_County_World_War_Memorial_Salem_Oregon),ODVA Veterans’ Building,"700 Summer Street NE
Salem, OR 97301
(44.944383, -123.02625)",Google Maps (https://goo.gl/maps/yPpXdUKRWBS2),Salem,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/b09108bc-7c95-4100-b16c-f2d1e5f41eee,Yes
Iwo Jima Memorial,WWII,"A plaque reads, ""A Tribute to Courage Battle of Iwo Jima (Combined American Forces) February 19, 1945-March 27, 1945."" Dedicated February 19, 1995 by Canby-Aurora VFW Post & Auxiliary 6057. ",View Online (http://www.waymarking.com/waymarks/WM42HJ_Canby_OR_Iwo_Jima_War_Memorial),Canby Adult Center,"1250 S Ivy St
Canby, OR 97013
(45.25265, -122.686283)",Google Maps (https://goo.gl/maps/DM7FZGEUJKN2),Canby,Clackamas,https://data.oregon.gov/views/2ku2-p2h8/files/707b3873-82e3-4613-abff-439aaac67ad5,Yes
Spanish-American War Monument,Spanish-American War,"This bronze plaque is located along a pathway behind the Department of Veterans' Affairs Building, a few feet northwest of the World War I doughboy sculpture. It honors the more than 1,300 Oregon veterans who participated in that war. The momument reads: ""'YOU TRIUMPHED OVER OBSTACLES WHICH WOULD HAVE OVERCOME MEN LESS BRAVE AND DETERMINED.' - PRESIDENT McKINLEY"" and features the depiction of a soldier, beneath which is inscribed,""PRESENTED BY THE NATIONAL AUXILIARY UNITED SPANISH WAR VETERANS INCORPORATED 35TH ANNUAL CONVENTION SEPTEMBER 11-15, 1938 PORTLAND, OREGON."" Former Salem Statesman Journal reporter, Alfred  Jones, discovered the commemorative plaque while searching through the historical properties in the basement of the Capitol Building. The Secretary of State’s office deemed it appropriate to be placed on ODVA’s grounds.",View Online (http://www.waymarking.com/waymarks/WMH2KT_Spanish_American_War_Monument_Salem_Oregon),ODVA Veterans’ Building,"700 Summer Street NE
Salem, OR 97301
(44.944517, -123.026417)",Google Maps (https://goo.gl/maps/Fd5JdpT6Fz12),Salem,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/4fd0e6ba-163d-4473-b0bd-66885a557f7d,Yes
WWI Doughboy Monument,WWI,The Doughboy Monument is a large monument built to commemorate the soldiers who fought in The First World War. This monument is surrounded by grassy lawns and houses a public restroom. The monument was constructed in 1926.,View Online (http://www.waymarking.com/waymarks/WM124W_WW_I_Soldiers_Monument_Astoria),,"Columbia Ave and Marine Drive
Astoria, OR 97103
(46.18975, -123.848067)",Google Maps (https://goo.gl/maps/UYCrJTXf5F72),Astoria,Clatsop,https://data.oregon.gov/views/2ku2-p2h8/files/2a4f9bea-4703-4bf4-a089-0faef043bfec,Yes
Cpt. Paul Truman McClellan Jr Plaque, Vietnam War,"This plaque, located at the base of the flagpole at the old West Stayton School (now Cascade Alternative Education), memorializes Captain Paul Truman McClellan, Jr., whose plane was shot down in Vietnam.",View Online (http://www.waymarking.com/waymarks/WMKGJH_Cpt_Paul_Truman_McClellan_Jr_West_Stayton_Oregon),Cascade Alternative Education,"W Stayton Rd SE
Aumsville, OR 97325
(44.788417, -122.8751)",Google Maps (https://goo.gl/maps/x98YU5xFzp42),Aumsville,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/96707f96-8e5f-4d66-acdd-035f16d0f7cf,Yes
POW/MIA Memorial,All,"A stone is inscribed, ""POW*MIA YOU ARE NOT FORGOTTEN."" Dedicated June 21, 2008 by the Oregon Veterans Motorcycle Association.",View Online (http://www.waymarking.com/waymarks/WMMTD3_Eagle_Point_National_Cemetery_Eagle_Point_OR),Eagle Point National Cemetery,"2763 Riley Rd
Eagle Point, OR 97524
(42.464367, -122.786967)",Google Maps (https://goo.gl/maps/Pex7sy5urAL2),Eagle Point,Jackson,https://data.oregon.gov/views/2ku2-p2h8/files/53682364-ed92-4d2d-adbf-796ae35795d2,Yes
Veterans Memorial,All,"A monument stone is engraved with the names of veterans who gave their live in service to their country. Bricks with veterans names engraved on them surround three lighted flagpoles with POW-MIA, U.S., and Oregon state flags.",View Online (http://www.waymarking.com/waymarks/WM66ZQ_Overlook_Memorial_Park_Veterans_Memorial_Hood_River_Oregon),Overlook Memorial Park,"State Street and 2nd Ave.
Hood River, OR 97031
(45.708093, -121.512388)",Google Maps (https://goo.gl/maps/LCqLsfsKj532),Hood River,Hood River,https://data.oregon.gov/views/2ku2-p2h8/files/ab37d2e4-9a16-48de-ba04-4f83c8c4292d,Yes
Multi-War Memorial,Multiple,"A small plaque at the entrance to the school reads, ""IN MEMORY OF THOSE STUDENTS WHO GAVE THEIR LIVES IN DEFENSE OF THEIR COUNTRY."" Presented by VFW Post No. 1383. ",View Online (http://www.waymarking.com/waymarks/WMJDJF_Klamath_Union_HS_Multi_War_Memorial_Klamath_Falls_OR),Klamath Union High School,"1300 Monclaire St
Klamath Falls, OR 97601
(42.23035, -121.778617)",Google Maps (https://goo.gl/maps/kST4MXdsnEP2),Klamath Falls,Klamath,https://data.oregon.gov/views/2ku2-p2h8/files/36635ec3-79a1-4040-9159-2ec4022b5c58,Yes
Klamath County Veterans Memorial,All,"The memorial consists of a rock faced tower about 2.5 feet by 10 feet and about 25 feet high. One large plaque lists Klamath County veterans who died in World War I, World War II, and the Korean War. Another smaller plaque veterans who died in in Vietnam. There are also six flag poles flying flags of the Air Force, Army, Navy, Marine Corp, Coast Guard and Merchant Marines. The main plaque reads, ""We here highly resolve that these dead shall not have died in vain.""",View Online (http://www.waymarking.com/waymarks/WMFMFT_Klamath_County_Veterans_Memorial_Klamath_Falls_Oregon),Klamath County Circuit Court,"316 Main Street
Klamath Falls, OR 97601
(42.223133, -121.784117)",Google Maps (https://goo.gl/maps/uzdzyftnak72),Klamath Falls,Klamath,https://data.oregon.gov/views/2ku2-p2h8/files/bd282427-358a-471d-9ee8-41d54be6b0e9,Yes
Afghan-Iraqi Freedom Memorial,Iraq/Afghanistan,"Afghan-Iraqi Freedom Memorial has a fountain with a statue representing Oregon military members. A granite wall inscribed with names of fallen Oregon military members who have died while serving in Afghanistan and Iraq faces the fountain. Dedicated: Nov. 11, 2006",View Online (http://www.waymarking.com/waymarks/WMH2GR_Afghanistan_Iraq_War_Memorial_Capitol_Mall_Salem_Oregon),ODVA Veterans’ Building,"700 Summer Street NE
Salem, OR 97301
(44.9453, -123.02655)",Google Maps (https://goo.gl/maps/CRMCpMPFf9w),Salem,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/f00ce3f0-57a0-4afb-bb4a-98792cfbde36,Yes
Douglas County Veterans Memorial,Multiple,"Located in front of Douglas County Courthouse is a multi-war memorial that contains memorial plaques remembering the men and women of Douglas County who've served in various armed conflicts. This multi-war memorial was originally dedicated in 1971 and then re-dedicated on July 4, 2010.A plaque reads, ""This memorial is dedicated to all Douglas County men and women who have served their country in its several armed conflicts and especially those who made the supreme sacrifice many of whom are listed here.""",View Online (http://www.waymarking.com/waymarks/WMQF5H_Douglas_County_Courthouse_Multi_War_Memorial_Roseburg_OR),Douglas County Civil Court,"1036 SE Douglas Street
Roseburg, OR 97470
(43.210444, -123.34125)",Google Maps (https://goo.gl/maps/vH5TjDK8xXn),Roseburg,Douglas,https://data.oregon.gov/views/2ku2-p2h8/files/a251e8b5-02a6-4a67-90e1-f4cff28d256a,Yes
World War I Memorial,WWI,"A plaque reads, ""In Memory Of Those Who Fought"" and contains the text of the poem ""In Flanders Fields."" Dedicated May 29, 1995.",View Online (http://www.waymarking.com/waymarks/WMJW0Y_Wilsonville_Memorial_Park_World_War_I_Memorial_Wilsonville_OR),Memorial Park,"8100 SW Memorial Dr
Wilsonville, OR 97070
(45.301317, -122.76105)",Google Maps (https://goo.gl/maps/45sVWPAk7hz),Wilsonville,Clackamas,https://data.oregon.gov/views/2ku2-p2h8/files/82ae6975-d192-434f-beb5-92f3d64a042f,Yes
Civil War Memorial,Civil War,"This memorial, located in the northeast portion of City View Cemetery, features a sculpture of a Union Civil War veteran on a pedestal surrounded by two rings of markers memorializing Union Civil War veterans. The sculpture features a plaque which reads: ""ERECTED IN MEMORY OF DECEASED BRAVE DEFENDERS OF OUR COUNTRY IN THE CIVIL WAR OF 1861-1865."" Below the sculpture is a dedication marker that reads: ""DEDICATED TO OUR FATHERS BY OREGON DEPARTMENT DAUGHTERS UNION VETERANS OF THE 1861 CIVIL WAR 1865 15TH CONVENTION 1933."" Dedicated on January 1, 1933.",View Online (http://www.waymarking.com/waymarks/WMFEP6_DUV_Civil_War_Memorial_City_View_Cemetery_Salem_Oregon),City View Cemetery,"390 Hoyt St
Salem, OR 97302
(44.919933, -123.051617)",Google Maps (https://goo.gl/maps/wqgczn6VG452),Salem,Marion,https://data.oregon.gov/views/2ku2-p2h8/files/630089bf-0242-4555-b4fc-b3e2ceb1fa58,Yes
Veterans Plaque,All,"Bronze plaque on the side of the Coos County Courthouse reads, ""HONORING VETERANS OF COOS COUNTY."" Dedicated November 11, 1984. ",View Online (http://www.waymarking.com/waymarks/WMB8VE_Coos_County_Courthouse_Vetrans_Plaque__Coquille_OR),Coos County Courthouse,"250 N Baxter St
Coquille, OR 97423
(43.176667, -124.186733)",Google Maps (https://goo.gl/maps/aoaQhLYQ49E2),Coquille,Coos,https://data.oregon.gov/views/2ku2-p2h8/files/b6763523-9e21-422a-8598-6ec28350350a,Yes
Pioneer Cemetery Memorial,All,"A bronze plaque hangs on a restroom building and reads, ""DEDICATED TO THE MEMORY OF THE PIONEERS, WAR VETERANS, AND ALL THOSE AT REST HERE, BY THE UNDERSIGNED, 1957."" Donated by the Board of Trustees of the Eugene Pioneer Cemetery Association. ",View Online (http://www.waymarking.com/waymarks/WMNB0D_Eugene_Pioneer_Cemetery_Memorial_Eugene_OR),Eugene Pioneer Cemetery,"E 18th Ave and University St
Eugene, OR 97403
(44.041883, -123.0762)",Google Maps (https://goo.gl/maps/r8X5a2FAgXP2),Eugene,Lane,https://data.oregon.gov/views/2ku2-p2h8/files/1958e02b-3b57-4f4d-b57f-f2241ba5fe7d,Yes
Oregon Vietnam Veterans Living Memorial, Vietnam War,"An 8-acre outdoor war memorial dedicated to Oregonians who served in the Vietnam War. The memorial was dedicated in 1987, inspired in 1982 by visits to the national Vietnam Veterans Memorial by five veterans and the parents of a Marine killed in Vietnam. Landscape architecture firm Walker Macy of Portland designed the memorial, while construction labor and materials were almost entirely volunteer donations. The memorial is wheelchair accessible and consists of a 1,200-foot (370 m) spiral path within an immaculately landscaped bowl containing lawns, flowers, and low hedges, surrounded by a mixture of tall trees. Along the path are understated monuments which list Oregon soldiers killed or missing in the conflict. Each monument is year-specific and contains short expositions on the history of the war that effectively communicate its progression: a slow beginning escalating to a crescendo then diminishing before the end.",View Online (http://www.waymarking.com/waymarks/WM1FK5_Vietnam_Veterans_Memorial_Washington_Park_Portland_Oregon_USA),Hoyt Arboretum,"4000 SW Canyon Rd
Portland, OR 97221
(45.511861, -122.71775)",Google Maps (https://goo.gl/maps/P3pTnNwZafK2),Portland,Multnomah,https://data.oregon.gov/views/2ku2-p2h8/files/1129d66d-ae95-413d-b7a3-cea9c596570f,Yes
Jefferson County War Memorial,Multiple,"Located in front of Madras City Hall and Police Station is a multi-war memorial made of black granite that sits on top of a concrete base. The headline of the memorial reads: ""Dedicated to those from Jefferson County who went to war. They never came home.""",View Online (http://www.waymarking.com/waymarks/WMPMZ5_Jefferson_County_War_Memorial_Madras_OR),Madras City Hall and Police Station,"125 SW E St
Madras, OR 97741
(44.6317, -121.13125)",Google Maps (https://goo.gl/maps/TsLtTbcWzsm),Madras,Jefferson,https://data.oregon.gov/views/2ku2-p2h8/files/15060be6-8bc1-4f74-84a2-250599db2942,Yes
Scio Veterans Memorial,All,"In 1983 the original memorial was created here, and consisted of a flagpole and a single cannon. In 2005 a plan was created to expand the memorial with donations and a grant from the state. The new memorial was dedicated on July 4, 2008, and included a flyover of an F-15 from the Oregon National Guard. The memorial contains an 18th century cannon and a Japanese artillery cannon from circa 1941, plus the original flagpole.",View Online (http://www.waymarking.com/waymarks/WM5V9J_Scio_Veterans_Memorial_Scio_Oregon),,"S Main St and Hwy 226
Scio, OR 97374
(44.703917, -122.8486)",Google Maps (https://goo.gl/maps/R3Soo6oq6K72),Scio,Linn,https://data.oregon.gov/views/2ku2-p2h8/files/e5e7b934-70f0-483a-8f2c-a4c62ff995d3,Yes
U.S. Submarine Memorial,All,"Propeller of the USS Blueback overlooks the submarine's berth at OMSI. A plaque reads, ""Dedicated to the memory of our shipmates who gave their lives while serving their country in the U.S Submarine Force. These gallant men gave the supreme sacrifice to protect our freedom and the American way of life. Their legacy will continue to live on in future generations."" At the entrance to the dock, a second plaque reads, ""Lest We Forget. These words, cut in stone, are a tribute to all submariners who volunteered to serve their country in the submarine service of the United States of America. Never let it be said of any of us that we forgot our shipmates on eternal patrol. Dedicated by U.S. Submarine Veterans World War II Oregon Chapter May 14, 1994""",View Online (http://www.waymarking.com/waymarks/WM5219_US_Submarine_Memorial_Portland_Oregon),Oregon Museum of Science and Industry,"1945 SE Water Ave
Portland, OR 97214
(45.5077, -122.666033)",Google Maps (https://goo.gl/maps/vtELdH7rqWF2),Portland,Multnomah,https://data.oregon.gov/views/2ku2-p2h8/files/778a8a84-f874-431d-9b96-1a3b10e5495f,Yes
