"date","beneficiary","foreclosures_previous_year","mailing_address","city","state","zip","contact","title"
"2020-01-27T00:00:00.000","1st State Bank","0",,,"MI",,"Jeffrey M. Southcott",
"2020-02-13T00:00:00.000","20 CAP FUND I, LLC","0","4636 Park Vlvd","San Diego","CA","92116","Corey O'Brien","Managing Member"
"2020-01-16T00:00:00.000","21st Mortgage Corporation","3","620 Market Street","Knoxville","TN","37902","Troy D. Suggs","Department Manager"
"2020-01-06T00:00:00.000","Advantis Credit Union","0","1865 NW 169th Place, Sjite 208","Beaverton","OR","97006","Robert Corwin","President"
"2020-02-10T00:00:00.000","Aimee Robbins","0","940 Willamette Street","Eugene","OR","97401","Patrick Stevens","Attorney and Agent"
"2020-01-29T00:00:00.000","Alaska Air Group Credit Union","0","19530 Alaska Air Group Credit Union","SeaTac","WA","98188","Daniel Hein","President"
"2020-01-22T00:00:00.000","Alaska USA Federal Credit Union","0","PO Box 196200","Anchorage","AK","99519","Scott Hansen","Chief Lending Officer"
"2020-02-13T00:00:00.000","Ally Bank","0","4375 Jutland Drive","San Diego","CA","92117","Scott Goldnan","Officer"
"2020-01-10T00:00:00.000","American Internet Mortgage, Inc.","1",,,"CA",,"Lauren Hickey","Complaince Officer"
"2020-03-17T00:00:00.000","AmeriHome Mortgage Company LLC","1","4975 Jutland Drive","San Diego","CA","92117","Eric Vamen","Senior Vice President"
"2020-04-30T00:00:00.000","Amos Financial LLC","3","1499 SE Tech Center Place","Vancouver","WA","98683","Brian C. Donegan","General Counsel"
"2020-01-29T00:00:00.000","Annette Cole, Equity Trust Company","0","850 NE 1122nd Avenue","Portland","OR","97230","Annette Cole","Individual"
"2020-03-17T00:00:00.000","Arc Home LLC","0","4000 Medlantic Drive, Suite 102","Mount Laurel","NJ","8054","Kimberly Dunbar","Senior Compliance Manager"
"2020-02-06T00:00:00.000","Arvest Central Mortgage Company","7","801 John Barrow Road","Little Rock","AR","72205","Andrew S. Gordon","Vice President"
"2020-03-23T00:00:00.000","Aurora Financial Group, Inc.","0","1451 Route 34, Suite 303","Farmingdale","NJ","7727","Martin Levine","President"
"2020-01-16T00:00:00.000","Baker Boyer National Bank","0","PO Box 1796","Walla Walla","WA","99362","Rosendo Gulzar","Vice President"
"2020-03-17T00:00:00.000","Bank of New York Mellon Trust Company","64","4975 Jutland Drive","San Diego","CA","92117","Linda Yeh","Vice President"
"2020-01-16T00:00:00.000","Bank of the Pacific","0","203 SE Park Plaza Drive","Vancouver","WA","98684","Wayne Kepfer","Senior Vice President"
"2020-01-08T00:00:00.000","Bank of the West","5","13505 California Street","Omaha","NE","68154","David Ellefson","Vice President"
"2020-01-31T00:00:00.000","Banner Bank","13","PO Box 907","Walla Walla","WA","99362","Penne Oberg","Senior Vice President"
"2020-01-24T00:00:00.000","BBVA USA","0","8080 North Central Expressway","Dallas","TX","75206","Dina Culberson","Vice President"
"2020-02-25T00:00:00.000","Beal Bank","0","4375 Jutland Drive","San Diego","CA","92117","Michelle Conner","Loan Servicer"
"2020-02-07T00:00:00.000","Beneficial State Bank","1","250 Church Street SE","Salem","OR","97301","Mark Yole","Vice President"
"2020-02-07T00:00:00.000","Benjamin H. Trask","0","PO Box 630","Coos Bay","OR","97420","Benjamin H. Trask","Individual"
"2020-02-24T00:00:00.000","Bjorklund, LLC","0","PO Box 630","Coos Bay","OR","97420","Brent Thompson","Member"
"2020-02-04T00:00:00.000","BMO Harris Bank National Association","1","5677 Oberlin Drive, Suite 210","San Diego","CA","92121","Brian Retner","Assistant Vice President"
"2020-02-27T00:00:00.000","BOKF, N.A.","0","108 1st Avenue South","Seattle","WA","98104","Jim Nguyen","Foreclosure Specialist"
"2020-02-05T00:00:00.000","Bony Trust","64",,,"TX",,"Linda Yeh","Vice President"
"2020-01-06T00:00:00.000","Budget Capital Corporation","0","1300 SW 5th Avenue, Suite 3400","Portland","OR","97201","Noah Furie","Executive Vice President"
"2020-01-06T00:00:00.000","Budget Finance Company","2","1300 SW 5th Avenue, Suite 3400","Portland","OR","97201","Noah Furie","Executive Vice President"
"2020-01-06T00:00:00.000","Budget Funding  I, LLC","4","1300 SW 5th Avenue, Suite 3400","Portland","OR","97201","Noah Furie","Executive Vice President"
"2020-03-10T00:00:00.000","Celeste Holman","5","3370 10th Street","Baker City","OR","97814","Celeste Holman","Individual"
"2020-01-02T00:00:00.000","Cherry Creek Mortgage Co., Inc.","0","7600 E Orchard Road, Suite 250N","Greenwood Village","CO","80111","Jan M. Reid","AVP, Vendor Management"
"2020-01-13T00:00:00.000","Chickasaw Community Bank","0","909 S. Meridian","Oklahoma City","OR","73108","Jessie Williams","Vice President"
"2020-02-21T00:00:00.000","CIS Financial Services, Inc.","0","851 Military St. N","Hamilton","AL","35570","Lorna L. Cayson","Assistant Vice President"
"2020-02-27T00:00:00.000","CitiMortgage, Inc","13","4375 Jutland Drive","San Diego","CA","92117","Dominic DiGiorgio","Vice President"
"2020-01-24T00:00:00.000","Citizens Bank, N.A.","1","6100 Tower Circle, Suite 600","Franklin","TN","37067","Love Chambers",
"2020-01-28T00:00:00.000","Citizens Bank, Oregon State Chartered Bank","0","275 SW Third Street","Corvallis","OR","97330","Kate Salyers","Executive Vice President"
"2020-01-17T00:00:00.000","Clackamas Federal Credit Union","3","18600 SE McLoughlin Blvd","Milwaukie","OR","97267","Aaron Goff","President"
"2020-02-26T00:00:00.000","Colin D. Jenkins","0","405 N. 5th Street","Coos Bay","OR","97420","Colin D. Jenkins","Individual"
"2020-01-13T00:00:00.000","Columbia Community Credit Union","0","PO Box 324","Vancouver","WA","98666","Xavier Carrillo","Vice President"
"2020-01-28T00:00:00.000","Columbia Gorge Habitat for Humanity, Inc.","0","693 Chemeketa Street NE","Salem","OR","97308","Chad Krause","Executive Director"
"2020-01-09T00:00:00.000","Columbia State Bank","16","250 Church Street SE","Salem","OR","97301","Cecilia Kakela","Vice President"
"2020-03-10T00:00:00.000","Community Connection of Northeast Oregon, Inc.","0","808 Adams Avenue","La Grande","OR","97850","Margaret Davidson","Executive Director"
"2020-01-29T00:00:00.000","Consolidated Federal Credit Union","0","1033 NE 6th Avenue","Portland","OR","97232","Larry Ellifritz","President"
"2020-01-20T00:00:00.000","CountryPlace Mortgage, Ltd.","0","15301 Spectrum Drive","Addison","TX","75001","Casper R. Koble","Vice President"
"2020-04-28T00:00:00.000","Craft3 fka ShoreBank Enterprise Group","0","Two Center Point Dr. 6th Floor","Lake Oswego","OR","97036","Jonathan Miller","Credit Risk Assesment Mgr"
"2020-01-10T00:00:00.000","CTF Asset Management, LLC","1","1865 NW 169th Place, Sjite 208","Beaverton","OR","97006","Nick Flaherty","Managing Member"
"2020-01-27T00:00:00.000","Cutting Edge Federal Credit Union","0","PO Box 22192","Milwaukie","OR","97269","Sally K. Woodcock","Vice President"
"2020-05-22T00:00:00.000","Dennis E. Robinson & Catherine J. Robinson","0","180 East 11th Avenue","Eugene","OR","97401","Dennis E. Robinson","Individual"
"2020-02-14T00:00:00.000","Discover Bank","0","4375 Jutland Drive","San Diego","CA","92117","Victor Chen","Director"
"2020-01-07T00:00:00.000","Dollar Bank, Federal Savings Bank","0","300 W Tuscrarwas Street","Canton","OH","44702","Joan D. Ickes","Senior Vice President"
"2020-01-09T00:00:00.000","Eagle Home Mortgage, LLC","8","15550 Lightwave Drive, Suite 200","Ckearwater","FL","33760","Virginia Casagrande","VP Conroller"
"2020-02-05T00:00:00.000","Equity Trust Company Custodian FBO Galand Haas","0","800 Willamette Street","Eugene","OR","97401","Galand Haas","Individual"
"2020-02-05T00:00:00.000","Evergreen Federal Bank","0","969 SE 6th Street","Grants Pass","OR","97526","Kris Woodburn","Senior Vice President"
"2020-02-05T00:00:00.000","Evergreen Federal Savings and Loan Association","0","969 SE 6th Street","Grants Pass","OR","97526","Kris Woodburn","Senior Vice President"
"2020-02-13T00:00:00.000","Evergreen Moneysource mortgage Company","0","4500 S. Lakeshore Drive","Tempe","AZ","85282","Joe Moley","Vice President"
"2020-04-24T00:00:00.000","Fairview Investment Fund III","1","4665 MacArthur Court","Newport Beach","CA","92660","Carson Rasmussen","Managing Member"
"2020-03-27T00:00:00.000","FBC Mortgage LLC","1","4375 Jutland Drive","San Diego","CA","92117","Wilma Mylow","Vice President"
"2020-01-23T00:00:00.000","Fifth Third Bank, National Association","8","38 Fountain Square Plaza","Cincinnati","OH","45202","Glenn Meadows","Senior Vice President"
"2020-01-31T00:00:00.000","Finance of America Reverse LLC","10","2500 North Dallas Parkway, Suite 430","Plano","TX","75093","Carissa Cassatt","Vice President"
"2020-03-13T00:00:00.000","First Bank","0","14 N. Central Ave. Ste 104","Medford","OR","97501","Joseph E. Kellerman","Legal Representative"
"2020-02-12T00:00:00.000","First-Citizens Bank & Trust Company","6","5677 Oberlin Drive, Suite 210","San Diego","CA","92121","Meghan Pridemore","Vice President"
"2020-01-24T00:00:00.000","First Interstate Bank","1","4375 Jutland Drive","San Diego","CA","92117","Donna E. Smith","Assistant Vice President"
"2020-01-03T00:00:00.000","First Technology Federal Credit Union","28","5100 NE Dawson Creek Drive","Hillsboro","OR","97124","Mark Bacu","Senior Foreclosure Specialist"
"2020-01-30T00:00:00.000","Flagstar Bank","7","5151 Corporate Drive","Troy","MI","48098","Bella Karson","Assistant Vice President"
"2020-01-22T00:00:00.000","Franklin American Mortgage Company, Division of Citizens Bank N.A.","4","6100 Tower Circle, Suite 600","Franklin","TN","37067","Michael Sweklo","Senior Vice President"
"2020-01-27T00:00:00.000","Freedom Mortgage Corporation","79","10500 Kincaid Drive","Fishers","IN","46037","Lace Napier","Director"
"2020-05-20T00:00:00.000","Gallic & Johnson, LLC","0","800 Willamette Street","Eugene","OR","97401","Kerrie L. Johnson","Member"
