"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Curry","Azalea Reach Apts","650 Old Country Rd","Brookings","Cascade Management Inc.","541-412-1448","40",,,"8","12","12","8"
"Curry","Heron Ridge","521 Fir St","Brookings","Cascade Management Inc.","541-412-8200","36",,,"8","12","16",
"Curry","Hillside Apts","420 Hillside Ave","Brookings","Good Samaritan Society","541-469-3111","13",,,"13",,,
"Curry","Jerstad Manor","96 Park Ave","Brookings","Brookings Good Samaritan Housing, Inc.","605-362-3327","24",,,"24",,,
"Curry","Maple Leaf Apts","410 Maple St","Brookings","ColumbiaCare Services Inc.","541-858-8170","5",,,"3","2",,
"Curry","Ocean Winds","6577 Lucky Ln","Brookings","Lovelace Properties","541-412-1002","40",,,"12","18","10",
"Curry","Pacific View Gardens","1223 Moore St","Brookings","Grand Management Services, Inc.","541-269-5561","36",,,"32","4",,
"Curry","Pelican's Perch","1216 Moore St","Brookings","Lovelace Properties","541-412-8478","24",,,"22","2",,
"Curry","Gold Beach Apts","29800 Mary St","Gold Beach","Grand Management Services, Inc.","541-269-5561","34",,,"12","22",,
"Curry","Gold Beach Bungalows","29413 Russell St","Gold Beach","ColumbiaCare Services Inc.","541-858-8170","2",,"2",,,,
"Curry","Gold Beach Duplex","29721 Hillcrest St","Gold Beach","Umpqua Community Property Management","541-378-4233","2",,,,,,
"Curry","Gold Beach Senior Apts","29801 Hillcrest St","Gold Beach","Grand Management Services, Inc.","541-269-5561","9",,,"8","1",,
"Curry","Hillcrest Apts","29841 Hillcrest St","Gold Beach","ColumbiaCare Services Inc.","541-858-8170","2",,,"1","1",,
"Curry","Shoreview Gardens","94286 11th St","Gold Beach","Grand Management Services, Inc.","541-269-5561","34",,,"32","2",,
"Curry","Cedar Point Cottages","504 Cedar Point Pl","Port Orford","Umpqua Community Property Management","541-673-4909","10",,,,"10",,
"Curry","Gold Coast Apts","513 Madrona Ave","Port Orford","Umpqua Community Property Management","541-673-4909","8",,,"8",,,
"Curry","Lakeside Gardens","1534 Arizona St","Port Orford","Grand Management Services, Inc.","541-269-5561","12",,,,"10","2",
"Curry","Port Orford Apts","1250 Arizona St","Port Orford","Grand Management Services, Inc.","541-269-5561","14",,,"4","10",,
