"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Environmental Quality Dept.","Recycling Steering Committee meeting","The Recycling Steering Committee is meeting on Friday, January 17 to discuss the infrastructure research project, equity in the recycling system and the January 31 info session","2020-01-17T10:00:00.000","2020-01-17T15:00:00.000","Oregon DEQ Headequarters (700 NE Multnomah St, 3rd Floor Conference Room)","Portland","OR","Opportunity for the Recycling Steering Committee (RSC) to review preliminary results of collection infrastructure research and guide the next steps for analysis; follow up on equity discussions from 12/17 RSC meeting; and do final preparations for the 1/31 Information Session. 
","Yes","Sanne Stienstra","503-229-6494","sanne.stienstra@state.or.us",," ()"," ()","","","","true","669-900-6833","618 212 4864","https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf (https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf)"
"Environmental Quality Dept.","Recycling Steering Committee meeting","The Recycling Steering Committee is meeting on Friday, January 17 to discuss the infrastructure research project, equity in the recycling system and the January 31 info session","2020-01-17T10:00:00.000","2020-01-17T15:00:00.000","Oregon DEQ Headequarters (700 NE Multnomah St, 3rd Floor Conference Room)","Portland","OR","Opportunity for the Recycling Steering Committee (RSC) to review preliminary results of collection infrastructure research and guide the next steps for analysis; follow up on equity discussions from 12/17 RSC meeting; and do final preparations for the 1/31 Information Session. 
","Yes","Sanne Stienstra","503-229-6494","sanne.stienstra@state.or.us",," ()"," ()","","","","true","669-900-6833","618 212 4864","https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf (https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf)"
"Environmental Quality Dept.","Recycling Steering Committee meeting","The Recycling Steering Committee is meeting on Friday, January 17 to discuss the infrastructure research project, equity in the recycling system and the January 31 info session","2020-01-17T10:00:00.000","2020-01-17T15:00:00.000","Oregon DEQ Headequarters (700 NE Multnomah St, 3rd Floor Conference Room)","Portland","OR","Opportunity for the Recycling Steering Committee (RSC) to review preliminary results of collection infrastructure research and guide the next steps for analysis; follow up on equity discussions from 12/17 RSC meeting; and do final preparations for the 1/31 Information Session. 
","Yes","Sanne Stienstra","503-229-6494","sanne.stienstra@state.or.us",," ()"," ()","","","",,"669-900-6833","618 212 4864","https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf (https://www.oregon.gov/deq/recycling/Documents/RSCAgendaMaterials1-17-2020.pdf)"
"Environmental Quality Dept.","Public Hearing: Proposed ODOT MS4 Phase 1 Permit Renewal","","2020-03-11T12:00:00.000","2020-03-11T13:00:00.000","DEQ Salem Office"," Salem","OR","DEQ Salem Office
4026 Fairview Industrial Drive SE
Room 201
Salem, OR 97302","","Noosheen Pouya","","MS4Stormwater@deq.state.or.us",,"","","","","",,"","",""
"Environmental Quality Dept.","Environmental Quality Commission Meeting: Day 1","","2020-01-23T10:45:00.000","2020-01-23T17:00:00.000","Hillsboro Civic Center"," Hillsboro","OR","Hillsboro Civic Center
Main Auditorium
150 E Main Street
Hillsboro, Oregon 97123​​
","","Stephanie Caldera","","caldera.stephanie@deq.state.or.us",," ()"," ()","","","",,"","","https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx (https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx)"
"Environmental Quality Dept.","Environmental Quality Commission Meeting: Day 1","","2020-01-23T10:45:00.000","2020-01-23T17:00:00.000","Hillsboro Civic Center"," Hillsboro","OR","Hillsboro Civic Center
Main Auditorium
150 E Main Street
Hillsboro, Oregon 97123​​
","","Stephanie Caldera","","caldera.stephanie@deq.state.or.us",," ()"," ()","","","",,"","","https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx (https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx)"
"Environmental Quality Dept.","Environmental Quality Commission Meeting, Day 2","","2020-01-24T08:00:00.000","2020-01-24T15:30:00.000","Hillsboro Civic Center"," Hillsboro","OR","Hillsboro Civic Center
Main Auditorium
150 E Main Street
Hillsboro, Oregon 97123
","","Stephanie Caldera","","caldera.stephanie@deq.state.or.us",," ()"," ()","","","",,"","","https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx (https://www.oregon.gov/deq/about-us/eqc/Pages/01232020.aspx)"
"Environmental Quality Dept.","Public Hearing: ACDP Fee Increase 2020 Rulemaking","","2020-02-27T14:00:00.000","2020-02-27T16:00:00.000","DEQ Headquarters"," Portland","OR","DEQ Headquarters
700 NE Multnomah Street Suite 600
Room 601
Portland, OR 97232
Teleconference phone number: 888-278-0296
Participant code: 8040259
Instructions on how to join the webinar: https://www.oregon.gov/deq/Rulemaking%20Docs/participantlinklog.pdf ","","Dan DeFehr","503-229-5946","ACDPFees2020@deq.state.or.us ",," ()"," ()","","","",,"888-278-0296","8040259"," ()"
"Environmental Quality Dept.","Public Hearing: ACDP Fee Increase 2020 Rulemaking","","2020-02-27T14:00:00.000","2020-02-27T16:00:00.000","DEQ Headquarters"," Portland","OR","DEQ Headquarters
700 NE Multnomah Street Suite 600
Room 601
Portland, OR 97232
Teleconference phone number: 888-278-0296
Participant code: 8040259
Instructions on how to join the webinar: https://www.oregon.gov/deq/Rulemaking%20Docs/participantlinklog.pdf ","","Dan DeFehr","503-229-5946","ACDPFees2020@deq.state.or.us ",," ()"," ()","","","",,"888-278-0296","8040259"," ()"
"Environmental Quality Dept.","CWSRF 2020 Rulemaking: Advisory Committee Meeting #2","","2020-02-26T09:00:00.000","2020-02-26T12:00:00.000","DEQ Headquarters"," Portland","OR","DEQ Headquarters
700 NE Multnomah Street, Suite 600
Portland, OR 97232","","Lee Ann Lawrence","","lawrence.leeann@deq.state.or.us",,"","","","","",,"","",""
"Environmental Quality Dept.","Precision Castparts Corp. community meeting ","DEQ is holding a community meeting to provide an update on various air quality topics","2020-03-18T18:00:00.000","2020-03-18T21:00:00.000","Brentwood-Darlington Community Center (7211 SE 62nd Avenue)","Portland","OR","","yes","Lauren Wirtis","503-229-6488","wirtis.lauren@deq.state.or.us",,"","","","","",,"","",""
"Environmental Quality Dept.","Public Hearing for Columbia Boulevard Wastewater Treatment Plant Proposed Water Quality Permit","The Oregon Department of Environmental Quality invites the public to submit written or oral comment on the conditions of the Columbia Boulevard Wastewater Treatment Plant’s proposed water quality permit, known officially as a National Pollutant Discharge Elimination System permit.","2020-04-08T14:00:00.000","2020-04-08T16:00:00.000","Lloyd Building, 700 NE Multnomah Street, 3rd Floor Conference Room"," Portland","OR","Send written comments by mail fax or email to:
Mark Hynson – Water Quality Specialist
700 NE Multnomah St., Suite 600
Portland, OR 97232-4100
Fax: 503-229-6124
Email: NWRWQPermit@deq.state.or.us
Written comments due: 5 p.m., Monday, April 20, 2020.","yes","Mark Hynson","","NWRWQPermit@deq.state.or.us",,"","","","","",,"","",""
"Environmental Quality Dept.","Air Contaminant Discharge Permit Fee Increase 2020 advisory committee",,"2019-12-09T13:00:00.000","2019-12-09T17:00:00.000","700 NE Multnomah St., Suite 600,  3rd Floor Conference Room"," Portland","OR",,," Dan DeFehr",,"Defehr.Daniel@deq.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","Public hearing on Greenhouse Gas Reporting and Third-Party Verification 2019 rulemaking","DEQ plans to hold one public hearing. Anyone can attend a hearing in person, or by webinar or teleconference.","2020-01-16T15:00:00.000","2020-01-16T17:00:00.000","700 NE Multnomah St., Conference Room 610"," Portland","OR","
DEQ is now accepting public comments on the proposed rule changes. The comment period closes on Jan. 28, 2020 at 4 p.m.
For more information, see the Notice of Proposed Rulemaking and Draft Rules. The public notice packet includes the notice, proposed rules and any supporting documents.","yes"," Elizabeth Elbel",,"Elbel.Elizabeth@deq.state.or.us",,,,,,,"true","888-278-0296 ","8040259 ",
"Environmental Quality Dept.","Public Hearing About Bullseye Glass","DEQ invites the public to submit written comments on the conditions ofthe Bullseye Glass Company draft au- quality permit, known officially as Title V permit.","2019-12-17T18:00:00.000","2019-12-17T20:00:00.000","Copeland Commons at TaborSpace, 5441 SE Belmont Street"," Portland","OR",,"yes","Northwest Region Air Quality Permit Coordmator",,"WRAOpermitsfai.dea.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","Public Hearing: Title V General Permits 2020",,"2020-01-17T17:00:00.000","2020-01-17T17:30:00.000","Oregon DEQ Headquarters"," Portland","OR","DEQ Headquarters
700 NE Multnomah St.
Conference Room 610
Portland, OR 97232

Call-in phone number: 888-278-0296
Participant code: 8040259",,"Emil Hnidey","503-229-5946","HNIDEY.Emil@deq.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","Public Hearing for the proposed Water Quality Certification for the Grocery Outlet Bargain Market Tillamook","DEQ invites the public to attend a public hearing and to submit comments on a proposed Section 401 Water Quality Certification for the Grocery Outlet Bargain Market project in Tillamook.","2020-01-07T18:00:00.000","2020-01-07T20:00:00.000","Tillamook Bay Community College, Room 214-215, 4301 3rd Street"," Tillamook","OR","You can submit written comments by mail, fax or email to: 401 Public Comments Oregon Department of Environmental Quality 700 NE Multnomah St., Suite No. 600 Portland, OR 97232
Fax: 503-229-6945 Email: 401publiccomments@deq.state.or.us Written Comments Due: 5 p.m., Friday, January 17, 2020.

You can review the file in its entirety at the DEQ Northwest Region Office, 700 NE Multnomah, Suite 600 in Portland. For a review appointment, contact Blair Edwards at 503-229-5185 or email Edwards.Blair@deq.state.or.us.","yes","Blair Edwards","503-229-5185","Edwards.Blair@deq.state.or.us.",,,,,,,,,,
"Environmental Quality Dept.","Public Hearing About Genentech Inc.’s Proposed Air Quality Permit","DEQ invites the public to attend a public hearing and to comment on Genentech Inc.’s proposed air quality permit, known officially as Simple Air Contaminant Discharge Permit","2020-01-06T18:00:00.000","2020-01-06T20:00:00.000","City of Hillsboro Civic Center Auditorium, 150 E Main St"," Hillsboro","OR","You can send written comments by mail, fax or
email using the information below at any time up
until the time the public comment period ends. 
Northwest Region AQ Permit Coordinator
700 NE Multnomah St., Suite 600
Portland, OR 97232
Fax: 503-229-6945
Email: NWRAQPermits@deq.state.or.us
Comments due: 5 p.m., Monday, Jan. 13, 2020.","yes","J.R. Giska",,"Giska.Jonathan@deq.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","Public Hearing: Greenhouse Gas Emissions 2021 Rulemaking ","","2021-09-22T16:00:00.000","2021-09-22T19:00:00.000","Online Only","Portland","OR","DEQ plans to hold two public hearings. Anyone can attend the hearings. The hearings are by webinar and teleconference only. Anyone can provide oral comment at a hearing. Due to the high level of interest and limited amount of speaking time, DEQ requests each commenter provide oral comment at one hearing only and that the comment be limited to two minutes. A portion of each hearing will be reserved for pre-registered commenters. Time will also be available for commenters who do not pre-register. 

Join by Zoom: https://us02web.zoom.us/j/82646194819?pwd=TlNiL3Nxci9lbGdNZkhYcEtTWnlsdz09
Passcode: 227388

To join by phone, dial: 253-215-8782
Meeting ID: 826 4619 4819
Passcode: 227388
","Yes","Nicole Singh","","ghgcr2021@deq.state.or.us",,"","","","","","true","253-215-8782","826 4619 4819, passcode: 227388",""
"Environmental Quality Dept.","Clean water state revolving fund 2020 advisory committee",,"2020-02-26T09:00:00.000","2020-02-26T12:00:00.000","DEQ Headquarters, 700 NE Multnomah St.","Portand","OR",,,"Lee Ann Lawrence",,"lawrence.leeann@deq.state.or.us",,,,,,,"true","888-278-0296","8040259",
"Environmental Quality Dept.","Clean Water State Revolving Fund 2020 Advisory Committee - Part 1","","2020-08-05T13:00:00.000","2020-08-05T16:00:00.000","Online Only"," Portland","OR","Meeting will be online only. See web page for webinar details.","","Lee Ann Lawrence","","lawrence.leeann@deq.state.or.us",,"","","","","","true","888-278-0296","8040259",""
"Environmental Quality Dept.","Clean water state revolving fund 2020 advisory committee",,"2020-01-14T13:00:00.000","2020-01-14T16:00:00.000","DEQ Headquarters, 700 NE Multnomah St., Room 610","Portand","OR",,,"Lee Ann Lawrence",,"lawrence.leeann@deq.state.or.us",,,,,,,"true","888-363-4734","1910322",
"Environmental Quality Dept.","406th regular meeting of the Oregon Environmental Quality Commission",,"2019-11-15T08:30:00.000","2019-11-15T15:00:00.000","700 NE Multnomah Street"," Portland","OR",,,"Caldera Stephanie",,"Caldera.Stephanie@deq.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","406th regular meeting of the Oregon Environmental Quality Commission",,"2019-11-14T08:30:00.000","2019-11-14T12:00:00.000","1000 NE Multnomah Street"," Portland","OR",,,"Stephanie Caldera",,"caldera.stephanie@deq.state.or.us",,,,,,,,,,
"Environmental Quality Dept.","Recycling Steering Committee meeting","The Recycling Steering Committee is meeting on Tuesday, December 17 to learn about and discuss five recycling system scenarios created by the research team working on behalf of the committee","2019-12-17T09:30:00.000","2019-12-17T15:30:00.000","Oregon DEQ Headequarters (700 NE Multnomah St, 3rd Floor Conference Room)","Portland","OR","Meeting Purpose: The Recycling Steering Committee (RSC) understands straw-person framework scenarios drafted by the contractor (RRS), to examine different potential legal and relational elements to modernize Oregon’s recycling system. The RSC reaches agreement on any changes to those five frameworks for inclusion in the next round of in-depth evaluation by the RRS research team.","Yes","Sanne Stienstra","503-229-6494","sanne.stienstra@state.or.us",,,,,,,"true","669-900-6833","234-860-2747",
