"registry_date","entity_type","associated_name_type","business_name","address_","address_continued","city","state","zip_code"
"2022-07-01T07:54:56.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","VORTEXICAN LOUNGE","2053 MAIN ST",,"SPRINGFIELD","OR","97477"
"2022-07-05T00:00:00.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","BUILDING ENERGY WITH CONTROLS APPRENTICESHIP","1125 58TH ST SPC 41",,"SPRINGFIELD","OR","97478"
"2022-07-05T07:49:34.000","DOMESTIC BUSINESS CORPORATION","PRINCIPAL PLACE OF BUSINESS","OLD MILL CABINETS & COUNTERTOPS, CORP","303 S 5TH SUITE 185",,"SPRINGFIELD","OR","97477"
"2022-07-05T08:55:13.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","JS GOODS LLC","41415 MCKENZIE HWY",,"SPRINGFIELD","OR","97478"
"2022-07-05T09:00:29.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","SUZES MUSES LLC","4873 ELDERBERRY LOOP",,"SPRINGFIELD","OR","97478"
"2022-07-05T09:12:38.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","VIRIDIAN KAI LLC","718 ISLAND ST",,"SPRINGFIELD","OR","97477"
"2022-07-05T09:29:27.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","LOWE AND BEHOLD, LLC","475 LINDALE DR","#122","SPRINGFIELD","OR","97477"
"2022-07-05T13:51:54.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","RIDGELINE CABINETS LLC","480 SHELLEY ST STE G",,"SPRINGFIELD","OR","97477"
"2022-07-05T14:29:11.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","ROGERS RESTAURANTS LLC","246 H ST",,"SPRINGFIELD","OR","97477"
"2022-07-05T14:58:06.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","TALL FIRS CAFE AND EVENTS LLC","1488 18TH ST",,"SPRINGFIELD","OR","97477"
"2022-07-06T00:00:00.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","SPRINGFIELD ROTARY SCHOLARSHIP FUND","386 Q ST",,"SPRINGFIELD","OR","97477"
"2022-07-06T09:38:22.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","RIVERBEND COFFEE COMPANY","400 INTERNATIONAL WAY",,"SPRINGFIELD","OR","97477"
"2022-07-06T10:58:33.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","CALIBER CUSTOM CONSTRUCTION LLC","480 SHELLEY ST STE G",,"SPRINGFIELD","OR","97477"
"2022-07-06T12:09:42.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","FLAT TAIL PROPERTIES, LLC","812 MCKENZIE CREST DRIVE",,"SPRINGFIELD","OR","97477"
"2022-07-06T14:45:34.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","JS PRESSURE WASHING LLC","847 S 38TH ST",,"SPRINGFIELD","OR","97478"
"2022-07-06T15:05:42.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","MORENCY ESTATES LLC","3159 W HIGH POINT ST",,"SPRINGFIELD","MO","65810"
"2022-07-07T16:41:37.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","MOUNTAIN DEER CONSULTING LLC","1658 DOTIE DR",,"SPRINGFIELD","OR","97477"
"2022-07-08T08:25:51.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","AUTOWERKS LLC","1005 3RD PL",,"SPRINGFIELD","OR","97477"
"2022-07-08T08:28:20.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","JUNE HOGS LLC","916 G ST",,"SPRINGFIELD","OR","97477"
"2022-07-08T08:33:59.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","DOPE NATURE RENTALS LLC.","3258 PINYON ST",,"SPRINGFIELD","OR","97478"
"2022-07-08T15:52:54.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","OREGON SIGNWORKS LLC","2600 MAIN ST STE A",,"SPRINGFIELD","OR","97477"
"2022-07-11T08:39:15.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","LUKA'S MAINTENANCE","1466 A ST",,"SPRINGFIELD","OR","97477"
"2022-07-11T09:39:27.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","DALLAS ART WORKS","267 39TH STREET APT 18",,"SPRINGFIELD","OR","97478"
"2022-07-11T10:24:43.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","GONNA CRY ART AND DESIGN","1754 RAINBOW LOOP",,"SPRINGFIELD","OR","97477"
"2022-07-11T10:28:22.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","WENDELL WORKS, LLC","5133 F STREET",,"SPRINGFIELD","OR","97478"
"2022-07-11T11:32:49.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","DATURA STITCHERY","2222 11TH ST",,"SPRINGFIELD","OR","97477"
"2022-07-11T13:52:36.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","PRELLE FABRICATION AND CONSTRUCTION LLC","862 HAZELNUT LN",,"SPRINGFIELD","OR","97478"
"2022-07-11T15:32:55.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","SETH COHEN, LCSW, LLC","1390 M ST",,"SPRINGFIELD","OR","97477"
"2022-07-11T15:48:56.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","STEPS TO CHANGE, LLC","971 54TH ST",,"SPRINGFIELD","OR","97478"
"2022-07-12T00:00:00.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","ANA'S CLEANING SERVICES","497 S ST",,"SPRINGFIELD","OR","97477"
"2022-07-12T13:36:18.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","AG FOUNDATION","3900 S OVERLAND AVE",,"SPRINGFIELD","MO","65807"
"2022-07-12T14:42:50.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","WINDOW TO THE WALL PROPERTY LLC","88097 CHITA LOOP",,"SPRINGFIELD","OR","97478"
"2022-07-13T00:00:00.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","EMERGENCY VETERINARY HOSPITAL OF SPRINGFIELD","103 WEST Q ST",,"SPRINGFIELD","OR","97477"
"2022-07-13T08:50:01.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","GATEWAY KIDNEY CARE PROPERTIES, LLC","3355 RIVERBEND DRIVE SUITE 200",,"SPRINGFIELD","OR","97477"
"2022-07-13T09:44:26.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","CLEMENTS CONSULTING LLC","6451 THURSTON RD",,"SPRINGFIELD","OR","97478"
"2022-07-13T09:49:20.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","BACK PORCH SPROUTS LLC","8170 S A ST",,"SPRINGFIELD","OR","97478"
"2022-07-13T12:02:47.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","DZ FENCING LLC","716 ANDERSON LN",,"SPRINGFIELD","OR","97477"
"2022-07-13T12:03:37.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","HOT DUCK'S STAND LLC","716 ANDERSON LN",,"SPRINGFIELD","OR","97477"
"2022-07-13T15:34:54.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","EVERYTHING CON, LLC","3585 MAIN ST",,"SPRINGFIELD","OR","97478"
"2022-07-14T08:41:56.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","B & D CUSTOM DESIGNS LLC","87966 KEOLA CT",,"SPRINGFIELD","OR","97478"
"2022-07-14T08:43:27.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","OMEGA CLEANING LLC","5250 HIGHBANKS RD STE 340",,"SPRINGFIELD","OR","97478"
"2022-07-14T08:54:36.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","PALAHNIUK POLISHING","38758 CAMP CREEK RD",,"SPRINGFIELD","OR","97478"
"2022-07-14T10:56:02.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","WASHBURNE MASSAGE & HYPNOTHERAPY","740 MAIN ST","SUITE B","SPRINGFIELD","OR","97477"
"2022-07-14T11:01:09.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","VET CONSTRUCTION & ENGINEERING","749 53RD ST",,"SPRINGFIELD","OR","97478"
"2022-07-14T14:52:57.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","B'S FUREVER MOBILE GROOMING LLC","3624 INDUSTRIAL AVE",,"SPRINGFIELD","OR","97478"
"2022-07-15T09:02:22.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","SLAY FAMILY","6831 D COURT",,"SPRINGFIELD","OR","97478"
"2022-07-18T09:19:38.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","TEN80ONE LLC","251 18TH STREET",,"SPRINGFIELD","OR","97477"
"2022-07-18T11:36:55.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","DONT BE KOI LLC","2580 3RD ST",,"SPRINGFIELD","OR","97477"
"2022-07-18T13:52:00.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","LACEY'S CLEANING COMPANY LLC","1354 Q STREET",,"SPRINGFIELD","OR","97477"
"2022-07-18T14:49:11.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","SUBCONSCIOUS INK","1014 S 54TH ST",,"SPRINGFIELD","OR","97478"
"2022-07-19T08:04:35.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","LIBELULA DESIGN LLC","981 ISLAND ST",,"SPRINGFIELD","OR","97477"
"2022-07-19T09:37:35.000","ASSUMED BUSINESS NAME","PRINCIPAL PLACE OF BUSINESS","UNLEASH AUTO","1890 M ST APT 23",,"SPRINGFIELD","OR","97477"
"2022-07-20T09:52:11.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","SIMONS ANALYTICAL LLC","1009 S 70TH ST",,"SPRINGFIELD","OR","97478"
"2022-07-20T14:13:14.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","CAMPBELL HOME RESTORATION LLC","1652 H ST",,"SPRINGFIELD","OR","97477"
"2022-07-20T14:14:16.000","DOMESTIC LIMITED LIABILITY COMPANY","PRINCIPAL PLACE OF BUSINESS","ESMERALDA LLC","2532 GRAND VISTA DR",,"SPRINGFIELD","OR","97477"
"2022-07-21T10:23:40.000","DOMESTIC BUSINESS CORPORATION","PRINCIPAL PLACE OF BUSINESS","PAUL AND SAM, INC","91130 DONNA RD",,"SPRINGFIELD","OR","97478"
