Hospital Name,Hospital Location,Catheter Days,Observed Infections,Predicted Infections,SIR,SIR 95% CI,SIR Interpretation (2015 US Baseline),2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
Silverton Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,1061,1,0.54,*,*,#s too small to calculate,,MARION,Region2,"342 FAIRVIEW STREET
SILVERTON 97381
(45.0044832, -122.7899933)",,,18,9,2409
Providence Medford Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,5155,1,3.51,    0.285,"0.014, 1.406",Fewer infections,SIR Target (<0.75) Met,JACKSON,Region5,"1111 CRATER LAKE AVENUE
MEDFORD 97504
(42.3396452, -122.8628254)",https://data.oregon.gov/views/338d-zie3/files/c6edea57-cef8-4c5d-badd-dc16410eb0ff,https://data.oregon.gov/views/338d-zie3/files/d4ca758b-c59a-45e1-9c28-295515f1f00a,6,3,2367
Adventist Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,4394,1,3.11,    0.322,"0.016, 1.588",Fewer infections,SIR Target (<0.75) Met,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/338d-zie3/files/aae425e0-5cb4-4ce1-8b57-e8e89b47a401,https://data.oregon.gov/views/338d-zie3/files/44e5e1c8-dd88-421e-b49b-480f3a166f45,46,23,2410
 1. All Oregon,All Adult/Ped ICUs & M/S/MS Wards Combined*,171204,187,173.8,    1.076,"0.930, 1.239",More infections,Target Not Met,,,,https://data.oregon.gov/views/338d-zie3/files/89d8e256-2b0e-41a6-a165-f2de1e621f71,,,,
Legacy Good Samaritan Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,3699,1,3.61,    0.277,"0.014, 1.367",Fewer infections,SIR Target (<0.75) Met,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/338d-zie3/files/bf562b12-a592-4819-a145-4e02b5ae65f0,https://data.oregon.gov/views/338d-zie3/files/551c6b6a-e42b-4705-816f-146fef6085de,33,17,2410
Kaiser Permanente Westside Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,3721,3,2.77,    1.082,"0.275, 2.946",More infections,Target Not Met,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",https://data.oregon.gov/views/338d-zie3/files/3cce956e-9291-407b-874c-45e4af410bf5,,30,15,724
Mid-Columbia Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,714,0,0.39,*,*,#s too small to calculate,ZERO Infections,WASCO,Region6,"1700 EAST 19TH STREET
THE DALLES 97058
(45.5873161, -121.1644619)",,https://data.oregon.gov/views/338d-zie3/files/00901cdb-b38f-42ec-822d-63a9d23bb1b7,59,30,2451
St. Charles Medical Center - Redmond,All Adult/Ped ICUs & M/S/MS Wards Combined*,1228,2,0.62,*,*,#s too small to calculate,,DESCHUTES,Region7,"1253 NORTH CANAL BOULEVARD
REDMOND 97756
(44.288663, -121.1696273)",,,53,27,2362
Legacy Meridian Park Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,3604,2,2.53,    0.792,"0.133, 2.616",Fewer infections,Target Not Met,CLACKAMAS,Region1,"19300 SOUTHWEST 65TH AVENUE
TUALATIN 97062
(45.3786716, -122.740804)",https://data.oregon.gov/views/338d-zie3/files/3592e639-9c95-4bd8-85af-cbe313e6d83b,,37,19,2317
St. Alphonsus Medical Center - Ontario,All Adult/Ped ICUs & M/S/MS Wards Combined*,2248,0,1.66,    0.000," , 1.805",Fewer infections,SIR Target (<0.75) Met & ZERO Infections,MALHEUR,Region9,"351 SW 9TH STREET
ONTARIO 97914
(44.025249, -116.976891)",https://data.oregon.gov/views/338d-zie3/files/7be3e16b-a613-4dd5-ad0f-7e5402129e35,https://data.oregon.gov/views/338d-zie3/files/4b47a1b6-395b-4704-98ac-b7e60b632aae,60,30,2408
