"project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Canby Village Apts","488 NW 6th Ave","Canby","Guardian Real Estate Services","503-266-4434","52",,,"38","14",,
"Canby West Apts","621 N Douglas Ln","Canby","Viridian Management","503-266-2003","20",,,"20",,,
"Carriage Court","701 NW 5th Dr","Canby","Northwest Real Estate Capital Corp.","503-266-2332","30",,,"30",,,
"Casa Verde","718 Township Rd","Canby","Cascade Management Inc.","503-266-3615","26",,,,"10","12","4"
"Cascade House","1555 S Ivy St","Canby","Cascade Management Inc.","503-266-6320","50",,,"46","4",,
"Greenbriar Apts","250 S Locust St","Canby","Cascade Management Inc.","503-266-5638","86",,,,"65","21",
"Mountain View Apts","1549 N Manzanita St","Canby","Cascade Management Inc.","503-682-7788","12",,,,"12",,
"The Meadows","1546 S Fir St","Canby","Cascade Management Inc.","503-266-6430","50",,,"42","8",,
"300 Main","300 SE Main St","Estacada","Foundation Properties","503-630-2357","26",,"7","19",,,
"Estacada Village Apts","855 NE Hill Wy","Estacada","Viridian Management","503-630-3935","48",,,"32","13","3",
"Whispering Pines Senior Village","525 NW 6th Ave","Estacada","Volunteers of America","503-630-6460","62",,,"62",,,
"River Glen","1055 Risley Ave","Gladstone","Guardian Real Estate Services","503-656-7863","44",,,"30","10","4",
"Acadia Gardens","8370 SE Causey Ave","Happy Valley","Guardian Real Estate Services","503-272-6785","41",,"15","20","6",,
"Chez Ami","8358 SE Causey Ave","Happy Valley","Central City Concern","503-525-8483","40",,"40",,,,
"Easton Ridge","9009 SE Causey Ave","Happy Valley","Quantum Residential","503-654-1234","164",,,"120","44",,
"Terrace at Mt. Scott","10125 SE Bob Schumacher Rd","Happy Valley","Guardian Real Estate Services","503-272-6792","52",,,,"29","23",
"Town Center Courtyards","11475 SE 85th","Happy Valley","Central City Concern","503-525-8483","60",,,"20","32","8",
"Hollyfield Village","4077 Sunset Dr","Lake Oswego","Income Property Management","503-635-2606","30",,,"28","2",,
"Oakridge Park","4255 Oakridge Rd","Lake Oswego","Income Property Management","503-636-1050","45",,,"44","1",,
"Avalon House","15023 SE Laurie Ave","Milwaukie","The Inn","503-344-4075","7","7",,,,,
"Cascade Meadows Senior Apts","10005 SE Bell Ave","Milwaukie","Norris & Stevens","503-775-5604","61",,,"61",,,
"Charbern Apts","12514 SE Linwood Ave","Milwaukie","PHC Northwest","503-261-1266","53",,"6","38","8","1",
"Fox Pointe Apts","4616 SE Roethe Rd","Milwaukie","Pacificap Management","503-654-3114","96",,,"2","76","18",
"Hillside Manor","2889 SE Hillside Ct","Milwaukie","Housing Authority of Clackamas County","503.655.8267","100",,,"68","32",,
"Hillside Park","10230 SE D St","Milwaukie","Housing Authority of Clackamas County","503-794-8089","100",,,"65","35",,
"Ikoi So Terrace","1550 SE Oak Grove Blvd","Milwaukie","Guardian Real Estate Services","503-659-7019","35",,,"35",,,
"Jennings Lodge","4545 SE Ina Ave","Milwaukie","ColumbiaCare Services Inc.","541-858-8170","5",,,,,,
"Lake Crest Apts","8106 SE Lake Rd","Milwaukie","GSL Properties","503-654-0477","229",,"30","59","120","20",
"Madrona House","4772 SE Logus Rd","Milwaukie","The Inn","503-496-1160","4","4",,,,,
"North Main Apts","10554 SE Main St","Milwaukie","Income Property Management","503-513-6246","64",,"47","17",,,
"Seneca Terrace","11824 SE Fuller Rd","Milwaukie","Cascade Management Inc.","503-594-2128","32",,,,"32",,
"Willamalane","4707 SE Boardman Ave","Milwaukie","Northwest Real Estate Capital Corp.","503-659-0638","52",,,"16","24","12",
"Willard Street Duplex","2328 SE Willard St","Milwaukie","Northwest Housing Alternatives","503-654-1007","2",,,,"2",,
"Arbor Terrace","127 N Cole St","Molalla","HA of Clackamas County","503-665-8267","25",,,,"11","10","4"
"Northwest Housing 8","401 Berkley St","Molalla","Cascade Management Inc.","503-829-7206","8",,,,"8",,
"The Greens at Ridings Terrace","511 Ridings Ave","Molalla","Viridian Management","503-829-7031","34",,,,"19","15",
"Molalla Gardens","180 Fenton St","Molalla","Cascade Management Inc.","503-829-7206","30",,,"10","12","8",
"Plaza Los Robles","415 Toliver Rd","Molalla","Cascade Management Inc.","503-829-9482","24",,,,"8","12","4"
"Toliver Terrace Apts","615 W Heintz St","Molalla","Grand Management Services, Inc.","503-829-7360","32",,,"24","8",,
"Fisher Ridge","129 Morton Rd","Oregon City","Cascade Management Inc.","503-655-3130","19",,"16","3",,,
"Forest Edge Apts","14155 Beavercreek Rd","Oregon City","Princeton Property Management","503-861-6031","120",,,"80","40",,
