"project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Astoria Gateway I","2775 Steam Whistle Wy","Astoria","Cascade Management Inc.","503-325-2882","41",,,"38","3",,
"Astoria Gateway II","2850 Marine Dr","Astoria","Cascade Management Inc.","503-325-4184","33",,,,,,
"Edgewater at Mill Pond","300 29th St","Astoria","Cascade Management Inc.","503-325-4155","30",,,"12","18",,
"Hilltop Apts","1100 Niagara Ave","Astoria","Clatsop Community Action","503-325-1400","22",,,,"14","8",
"Meriwether Village","101 Madison Ave","Astoria","Income Property Management","503-325-3072","32",,,"30","2",,
"Owens-Adair Building","1508 Exchange St","Astoria","NW Oregon Housing Authority","503-325-4785","46",,,"46",,,
"Elk Creek Terrace Apts","357 Elk Creek Rd","Cannon Beach","Evolve Property Management","503-436-9562","36",,,"4","24","8",
"Shorewood Apts","1121 S Spruce St","Cannon Beach","Cascade Management Inc.","503-436-9709","34",,,"8","18","8",
"Parkview Apts","421 NW Ridge Rd","Hammond","Princeton Property Management","503-861-6031","36",,,,"22","14",
"Creekside Village","1953 Spruce Dr","Seaside","CBM Property Management","503-738-6880","40",,,"6","28","6",
"Hudson's Pointe Apts","1021 S Downing","Seaside","Princeton Property Management","503-738-9482","31",,"2","28","1",,
"Hyak Apts","1861 S Edgewood St","Seaside","NW Oregon Housing Authority","503-861-0119","9",,,"9",,,
"Salmonberry Knoll","1250 S Wahanna Rd","Seaside","Cascade Management Inc.","503-717-1120","36",,,"4","24","8",
"Sandhill Apts","150 N Wahanna Rd","Seaside","Evolve Property Management","503-738-5475","32",,,"12","20",,
"Alder Court Apts","235 SW Alder St","Warrenton","NW Oregon Housing Authority","503-994-5035","40",,,"32","8",,
"Tilikum Apts","1521 Willow Rd","Warrenton","NW Oregon Housing Authority","503-861-0119","8",,,"8",,,
"Wapiti Apts","1621 Honeysuckle Lp","Warrenton","NW Oregon Housing Authority","503-861-0119","8",,,"8",,,
