"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Douglas","Boyd Street","321 Boyd St","Canyonville","United Community Action Network (UCAN)","541-492-3510","1",,,,,"1",
"Douglas","Holiday Gardens","745 S Main St","Canyonville","Holiday Property Management","541-839-6397","28",,,"28",,,
"Douglas","Stagecoach Apts","601 Stagecoach Rd","Canyonville","Umpqua Community Property Management","541-839-4682","40",,,"6","18","16",
"Douglas","Cedar Hill Project","835 S Cedar","Drain","United Community Action Network (UCAN)","541-492-3510","2",,,"2",,,
"Douglas","Gateway Village Apts","203 Date St","Drain","Housing Authority of Douglas County","541-836-2928","14",,,"4","8","2",
"Douglas","Hillside Village","156 Montgomery Ave","Glendale","Cascade Management Inc.","541-832-2635","24",,,"1","21","2",
"Douglas","Mill Creek Apts","182 Molly St","Glendale","Cascade Management Inc.","541-832-2444","17",,,"1","16",,
"Douglas","Clearwater Manor","730 NE Johnson St","Myrtle Creek","Cambridge Real Estate Services","541.863.3637","24",,,,"22","2",
"Douglas","Meadowlark Court","721 SE Meadowlark Ave","Myrtle Creek","Viridian Management","541-863-4972","42",,,"12","30",,
"Douglas","Myrtle Terrace","1135 Simpson St","Myrtle Creek","Umpqua Community Property Management","541-863-0457","20",,,,"12","8",
"Douglas","Forest Hills Manor","2655 Frontage Rd","Reedsport","Northwest Real Estate Capital Corp.","541-271-4441","20",,,"6","11","3",
"Douglas","Forest Village Apts","2799 Frontage Rd","Reedsport","Housing Authority of Douglas County","541-271-1385","24",,,,"18","6",
"Douglas","Rainbow Villa","765 Juniper Ave","Reedsport","Housing Authority of Douglas County","541-673-6548","14",,,,"8","6",
"Douglas","Ridgeway Village","3117 Ridgeway Dr","Reedsport","Northwest Real Estate Capital Corp.","541-271-4441","8",,,"8",,,
"Douglas","Riverside Manor","1575 Hawthorne Ave","Reedsport","Northwest Real Estate Capital Corp.","541-271-4441","24",,,"24",,,
"Douglas","Woodland Apts","2401 Longwood Dr","Reedsport","Simpson Property Group","541-271-2361","36",,,"16","20",,
"Douglas","Glenhaven Apts","758 N 4th Ave","Riddle","Housing Authority of Douglas County","541-874-2461","24",,,"8","16",,
"Douglas","Ann Ave House","1655 W Ann Ave","Roseburg","Umpqua Community Property Management","541-673-4909","10",,,,,,"10"
"Douglas","Brookside Court","1623 NE Vine St","Roseburg","Umpqua Community Property Management","541-673-4340","50",,"24","25","1",,
"Douglas","Camas Ridge Apts","2975 W Toby Ct","Roseburg","United Community Action Network (UCAN)","541-492-3510","10",,,"10",,,
"Douglas","Chawick Apts","543 Chadwick","Roseburg","Umpqua Community Property Management","541-378-4233","8",,,"6","2",,
"Douglas","Crestview Terrace","1010 NE Crescent St","Roseburg","United Community Action Network (UCAN)","541-492-3510","11",,"11",,,,
"Douglas","Eagle Landing","990 NW Veterans Wy","Roseburg","Umpqua Community Property Management","541-673-4909","54",,,"54",,,
"Douglas","Esperanza Circle","2901 NE Dorwin Ave","Roseburg","United Community Action Network (UCAN)","541-492-3510","6",,"6",,,,
"Douglas","Grand Hotel Apts","730 SE Cass Ave","Roseburg","Umpqua Community Property Management","541-229-0980","37",,"28","8","1",,
