"warn","company_name","city","state","layoff_date","laid_off","layoff_type","received_date"
"1914","Monaco RV, LLC","Coburg","OR","2012-03-16T00:00:00.000","3","Permanent closure","2012-10-30T00:00:00.000"
"8424","DENNIS Uniform","Portland","OR","2022-11-01T00:00:00.000","71","Large Layoff - 10 or more workers","2022-08-30T00:00:00.000"
"8417","Columbia Steel Casting Co., Inc.","Portland","OR","2022-10-22T00:00:00.000","225","Permanent closure","2022-08-22T00:00:00.000"
"8394","RR Donnelley","Medford","OR","2022-09-11T00:00:00.000","97","Permanent closure","2022-07-13T00:00:00.000"
"8388","Center for Autism and Related Disorders","Plano","TX","2022-08-29T00:00:00.000","156","Permanent closure","2022-06-29T00:00:00.000"
"8377","Dr. Martens Airway USA, LLC - Anchor Pa","Portland","OR","2022-10-31T00:00:00.000","31","Permanent closure","2022-05-18T00:00:00.000"
"8377","Dr. Martens Airway USA, LLC - Anchor Pa","Portland","OR","2022-09-01T00:00:00.000","40","Permanent closure","2022-05-18T00:00:00.000"
"8356","ARS-Fresno, LLC.","Carlsbad","CA","2022-05-31T00:00:00.000","163","Large Layoff - 10 or more workers","2022-03-30T00:00:00.000"
"8341","Peloton","Portland","OR","2022-02-08T00:00:00.000","54","Permanent closure","2022-02-08T00:00:00.000"
"8335","Boyd Corporation","Portland","OR","2022-04-01T00:00:00.000","40","Permanent closure","2022-01-17T00:00:00.000"
"8330","GP Downs LLC dba The Flying Lark","Grants Pass","OR","2022-02-28T00:00:00.000","226","Permanent closure","2022-01-07T00:00:00.000"
"8330","GP Downs LLC dba The Flying Lark","Grants Pass","OR","2022-02-28T00:00:00.000","43","Permanent closure","2022-01-07T00:00:00.000"
"8319","Hematology Oncology Associates PC","Medford","OR","2021-12-31T00:00:00.000","95","Permanent closure","2021-10-22T00:00:00.000"
"8294","Eclipse Senior Living Support Center","Lake Oswego","OR","2021-12-01T00:00:00.000","171","Permanent closure","2021-10-01T00:00:00.000"
"8281","Sulzer","Portland","OR","2022-04-01T00:00:00.000","6","Permanent closure","2021-09-10T00:00:00.000"
"8281","Sulzer","Portland","OR","2022-01-14T00:00:00.000","12","Permanent closure","2021-09-10T00:00:00.000"
"8281","Sulzer","Portland","OR","2021-11-12T00:00:00.000","14","Permanent closure","2021-09-10T00:00:00.000"
"8274","4 Leaf LLC","Portland","OR","2021-09-30T00:00:00.000","63","Permanent closure","2021-09-17T00:00:00.000"
