Facility Name,BSI Count,Patient Months,BSI/100 Pt. Months,National BSI Mean,Comparison Interpretation,SIR Icon,County,HPPRegion,Location 1
BLUE MOUNTAIN KIDNEY CENTER,1,276,0.36,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/7cbe7acb-8e1b-449e-b3ef-8698a259df71,UMATILLA,Region9,"72556 COYOTE ROAD
PENDLETON 97801
(45.643201, -118.685751)"
FMC ALBANY,1,631,0.16,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/1b5f14c3-9567-4f19-a4af-43e3fc595292,LINN,Region2,"1050 7TH AVENUE, SW
ALBANY 97321
(44.631272, -123.116596)"
FMC BEND,1,771,0.13,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/a4138715-3510-4ed0-9dad-4b3492d623ac,DESCHUTES,Region7,"1239 NE MEDICAL CENTER DRIVE SUITE 100
BEND 97701
(44.063027, -121.264948)"
FMC CLACKAMAS,5,1004,0.5,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/3d468625-616c-47e6-b525-867fc4398a7f,CLACKAMAS,Region1,"13560 SE 97TH AVENUE
CLACKAMAS 97015
(45.425392, -122.562045)"
FMC COOS BAY,7,1038,0.67,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/61d44432-509e-4f41-8635-b68659b34640,COOS,Region3,"1971 THOMPSON ROAD
COOS 97420
(43.386065, -124.235906)"
FMC CORVALLIS OREGON,0,441,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/c6092abd-1593-41b4-8b30-986d4f81ce77,BENTON,Region2,"3580 NW SAMARITAN DRIVE
CORVALLIS 97330
(44.603359, -123.25331)"
FMC DIALYSIS SERVICES OF MT HOOD,4,970,0.41,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/29e562d8-963e-4f0c-ae75-6287b798cd88,MULTNOMAH,Region1,"23335 SE STARK STREET
GRESHAM 97030
(45.519067, -122.422791)"
FMC EUGENE,10,1479,0.68,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/62459700-5ef9-4e5d-bf50-70e015ae5be3,LANE,Region3,"201 RIVER AVENUE
EUGENE 97404
(44.095992, -123.123926)"
FMC LEBANON,2,651,0.31,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/44b30f63-41da-47c2-8230-db75f076483d,LINN,Region2,"665 NORTH 5TH STREET
LEBANON 97355
(44.552244, -122.914167)"
FMC MAYWOOD PARK,3,619,0.48,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f81d47a1-a316-49ee-bd09-36880e668ec0,MULTNOMAH,Region1,"11909 NE GLENN WIDING DRIVE
PORTLAND 97220
(45.568828, -122.539887)"
FMC NEWPORT,3,513,0.58,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/fc04688d-6f1c-4b9a-95f7-13f8a1d8c6c2,LINCOLN,Region2,"957 SW COAST HWY
NEWPORT 97365
(44.627951, -124.061575)"
FMC REDMOND,10,906,1.1,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/e0657c83-74c5-4408-a68b-08e4c564de9e,DESCHUTES,Region7,"916 SW 17TH STREET, SUITE 100
REDMOND 97756
(44.268506, -121.186731)"
FOUR RIVERS DIALYSIS CENTER,9,658,1.37,1.27,Worse: more infections,https://data.oregon.gov/views/3bu4-7bnc/files/92c2b149-a55f-4665-9b64-6c8b78dfa0e7,MALHEUR,Region9,"515 EAST LANE
ONTARIO 97914
(44.020232, -116.940371)"
FRESENIUS MEDICAL CARE FLORENCE OREGON,1,247,0.4,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/c59d110a-2387-4fba-9a38-b5fdd21a9634,LANE,Region3,"2820 KINGWOOD STREET
FLORENCE 97439
(43.990886, -124.109996)"
FRESENIUS MEDICAL CARE SCHOLLS FERRY,2,497,0.4,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f14035e3-fe16-4a4e-a613-5b6c40434871,WASHINGTON,Region1,"10300 SW NIMBUS STE P-A
PORTLAND 97223
(45.444385, -122.786089)"
HILLTOP DIALYSIS,3,409,0.73,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/ac19d62a-db48-4841-b83d-3e8871b6e24a,CLACKAMAS,Region1,"328 WARNER MILNE ROAD, BLDG 1
OREGON CITY 97045
(45.33651, -122.594039)"
LAKE ROAD DIALYSIS CENTER,2,1206,0.17,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/fc40067e-631d-4437-951f-cae81d22ec64,CLACKAMAS,Region1,"6902 SE LAKE ROAD, SUITE 100
MILWAUKIE 97267
(45.42336, -122.592225)"
MADRAS DIALYSIS,0,69,0,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/da4cd511-9186-4717-b203-3ba91c345a54,JEFFERSON,Region7,"1077 SW HIGHWAY 97
MADRAS 97741
(44.62033, -121.132305)"
