"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Union","Highland View Apts","800 N 15th Ave","Elgin","Viridian Management","541-437-0452","24",,,"4","16","4",
"Union","Mallard Heights Apts","870 N 15th Ave","Elgin","Viridian Management","541-437-0452","11",,,,"6","5",
"Union","Sommers Apts","45 N 8th Ave","Elgin","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","5",,"5",,,,
"Union","Blue Springs Crossing","10800 Walton Rd","Island City","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","38",,,,,,
"Union","Emily Drive Apts","10700 Emily Dr","Island City","Viridian Management","541-963-0906","11",,,"10","1",,
"Union","Clover Glen Apts","2212 Cove Ave","La Grande","Viridian Management","541-963-0906","43",,,"39","4",,
"Union","Cove Avenue Apts","1906 Cove Ave","La Grande","Viridian Management","541-963-3785","20",,,"4","10","6",
"Union","Grande Woods Apts","2005 Gekeler Ln","La Grande","Northwest Real Estate Capital Corp.","541-963-8051","50",,,,"41","9",
"Union","Green Tree Apts","2310 E Q Ave","La Grande","GSL Properties","541-963-7476","64",,"18","30","16",,
"Union","La Grande Plaza","713 12th St","La Grande","Taylor Real Estate","541-663-8516","21",,,,"11","10",
"Union","La Grande Retirement Apts","1612 7th Ave","La Grande","Viridian Management","541-963-7015","46",,"2","44",,,
"Union","May Lane Apts","2504 May Ln","La Grande","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","10",,,"10",,,
"Union","May Park Apts","2608 May Ln","La Grande","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","30",,,"30",,,
"Union","N.K. West Building","1206 Adams Ave","La Grande","Glennie Property Investments, Inc.","541-963-3149","24",,"3","18","3",,
"Union","Pinehurst Apts","1502 21st St","La Grande","Viridian Management","541-963-9292","46",,,"14","32",,
"Union","Tamarack Court","1613 21st St","La Grande","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","32",,,"28","4",,
"Union","Thunderbird Apts","307 20th St","La Grande","Viridian Management","541-963-3785","40",,,"4","20","16",
"Union","Z Ave Project","1306 Z Ave","La Grande","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","1",,,,,"1",
"Union","1st & Fir Street","1st & Fir St","Union","Northeast Oregon Housing Authority (NEOHA)","541-963-5360","1",,,,"1",,
"Union","Ramo Flats Apts","1091 S Main St","Union","Viridian Management","541-963-0906","11",,,"10","1",,
