"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Umatilla","McEwen Homes","404 5th St","Athena","Housing Authority of Umatilla County","541-276-7824","20",,,,"20",,
"Umatilla","Sunset Senior Housing","425 E Currant St","Athena","Cascade Management Inc.","541-566-2079","10",,,"5","5",,
"Umatilla","George Galloway","68549 Mill Creek Ln","Cove","George Galloway","503-294-9306","6",,,"6",,,
"Umatilla","4th Street Aspens","530 NE Aspen Dr","Hermiston","Housing Authority of Umatilla County","541-567-2441","48",,,"8","30","10",
"Umatilla","Applewood Village Apts","549 NW 12th Pl","Hermiston","Viridian Management","541-567-1400","32",,,,"12","20",
"Umatilla","Bliss Homes","901 W Orchard Ave","Hermiston","Housing Authority of Umatilla County","541-567-3241","32",,,"18",,"12","2"
"Umatilla","Buttercreek Apts","405 SW 11th","Hermiston","Viridian Management","541-567-7595","86",,,,,,
"Umatilla","Cottonwood Apts","610 SE 6th","Hermiston","Cascade Management Inc.","541-567-9089","46",,,,,"22",
"Umatilla","Desert Sage Manor","986 W Juniper Ave","Hermiston","Retirement Housing Foundation","541-667-8607","24",,,"24",,,
"Umatilla","Foxwood Apts","1074 W Orchard Ave","Hermiston","Housing Authority of Umatilla County","541-567-3241","60",,,"12","36","12",
"Umatilla","Golden Manor","980 Hermiston Ave","Hermiston","Housing Authority of Umatilla County","541-567-3241","50",,"22","26","2",,
"Umatilla","Hacienda West","515 W 13th Pl","Hermiston","Housing Authority of Umatilla County","541-567-3241","32",,,,"16","11","5"
"Umatilla","Hermiston Project","675 W Madrona Ave","Hermiston","Cascade Management Inc.","541-567-2723","10",,,"10",,,
"Umatilla","Juniper Buttercreek Apts","400 SW 11th; 990 W Juniper","Hermiston","Viridian Management","541-567-7595","87",,,"59","28",,
"Umatilla","Orchard Homes","W Orchard Ave","Hermiston","Housing Authority of Umatilla County","541-567-3241","16",,,"4","6","4","2"
"Umatilla","Quail Ridge","1915 NE 4th St","Hermiston","Cascade Management Inc.","541-566-2079","40",,,,"40",,
"Umatilla","Ridgeway Village","725 W Ridgeway Ave","Hermiston","Cascade Management Inc.","541-567-2723","40",,,"8","16","16",
"Umatilla","Sage Court","1300 Sunland Ave","Hermiston","Good Neighbor Care","503-747-3373","35",,,"8","17","10",
"Umatilla","Sunland Park Apts","1630 W Sunland Ave","Hermiston","Northwest Real Estate Capital Corp.","541-567-7260","40",,,,"31","9",
"Umatilla","Viewcrest Apts","525 SW 13th Place","Hermiston","FPI Management","541-564-0727","64",,,,"40","24",
"Umatilla","Mason Grove","1063 NE 4th Ave","Milton-Freewater","Cascade Management Inc.","541-938-4929","30",,,,"14","16",
"Umatilla","Mill Place","1413 Thorne Ave","Milton-Freewater","Cascade Management Inc.","541-938-4929","8",,,,"8",,
"Umatilla","The Greens at Montclair","141 W Broadway Ave","Milton-Freewater","Viridian Management","541-398-4119","24",,,"24",,,
"Umatilla","Pioneer Commons","213 Thorne Ave","Milton-Freewater","Cascade Management Inc.","541-938-4929","21",,"9","1","4","6","1"
"Umatilla","Washington Park","923 Cowl St","Milton-Freewater","Viridian Management","541-938-7447","46",,,"18","28",,
"Umatilla","Goodwin Court","238 S Main St","Pendleton","Glennie Property Investments","503-371-8014","26",,"14","12",,,
"Umatilla","Hailey Place Apts","600 SW 30th St","Pendleton","LINK CDC","541-276-5407","48",,,"12","26","10",
"Umatilla","Indian Hills Apts","1335 SW 2nd St","Pendleton","Viridian Management","541-276-2195","48",,,"18","24","6",
"Umatilla","La Casa Vida - Pendleton House","706 SW 2nd","Pendleton","EOAF","541-889-9167","5","5",,,,,
"Umatilla","McKay House","1104 SW 37th Pl","Pendleton","Lifeways, Inc.","541-276-6207","5",,,,,,
"Umatilla","Mission Creek","51 Umatilla Lp","Pendleton","Umatilla Reservation Housing Authority","503-276-7544","58",,,,"18","30","10"
"Umatilla","New Vision Homes Apts","3743 SW Nye St","Pendleton","EOAF","541-276-3518","30",,,"28","2",,
"Umatilla","Oregon Trail Manor","2430 SW Perkins Ave","Pendleton","Oregon Trail Manor, Inc.","541-276-6910","50",,"30","20",,,
"Umatilla","Pendleton Riverside","1300 NW Garden Ave","Pendleton","Tomlinson & Assoc","541-276-7223","40",,,"4","18","18",
"Umatilla","Pendleton Square I","300 SW 28th Dr","Pendleton","Northwest Real Estate Capital Corp.","541-276-0393","30",,,,,"30",
"Umatilla","Pendleton Square II","294 SW 28th Dr","Pendleton","Northwest Real Estate Capital Corp.","541-276-0393","15",,,,"15",,
"Umatilla","Rusty's House","23 SE Kirk Place","Pendleton","EOAF","541-276-3518","7",,,"7",,,
"Umatilla","Security Apts","130 SW Court Ave","Pendleton","Cascade Management Inc.","541-566-2079","25",,"12","13",,,
"Umatilla","Terwilliger Plaza","225 SW 5th St","Pendleton","Viridian Management","541-276-0416","20",,,"19","1",,
"Umatilla","Birch Creek Manor","125 SW 2nd St","Pilot Rock","Viridian Management","541-443-1244","157",,"34","111","12",,
"Umatilla","The Links","310 Klickitat St","Umatilla","Guardian Real Estate Services","541-922-2682","24",,,"18","6",,
"Umatilla","Tri-Harbor Landing","210 Klickitat St","Umatilla","Housing Authority of Umatilla County","541-922-4609","106",,,"59","43","4",
