"product_name","company","epa_reg_no","note","active_ingredient","pesticide_type","ag_worker_protection_standard_applies","_"
"20% VINEGAR","NATURE'S WISDOM","85208-1-90394",,"ACETIC ACID","HERBICIDE","Yes",
"GREEN GOBBLER 20% VINEGAR WEED KILLER","ECOCLEAN SOLUTIONS INC.","85208-1-93489",,"ACETIC ACID","HERBICIDE","Yes",
"VINAGREEN","FLEISCHMANN'S VINEAGAR CO., INC.","85208-1",,"ACETIC ACID","HERBICIDE","Yes",
"VINAGREEN","CASCADE COLUMBIA DISTRIBUTION","85208-1-73015",,"ACETIC ACID","HERBICIDE","Yes",
"VINEGAR WEED & GRASS KILLER","ENERGEN CAROLINA, LLC","85208-1-92429",,"ACETIC ACID","HERBICIDE","YES",
"Weed-Aside Herbicidal Soap","GardensAlive, Inc.","67702-8-56872",,"Ammoniated soap of fatty acids","Herbicide","No",
"R-T-U RO-PEL DEER & RABBIT REPELLENT","GRANT LABORATORIES  INC.","8119-8-1663",,"AMMONIUM SOAPS OF HIGHER FATTY ACIDS","VERTEBRATE REPELLENT","No",
"AZASOL WSP","ARBOR JET","81899-4-74578",,"AZADIRACHTHIN","INSECTICIDE","No",
"AMAZIN 1.2% ME PLUS","AMVAC CHEMICAL CORP","5481-559",,"AZADIRACHTIN","INSECTICIDE, NEMATICIDE","Yes",
"AZA-DIRECT BOTANICAL INSECTICIDE","GOWAN CO.","71908-1-10163",,"AZADIRACHTIN","INSECTICIDE, INSECT REPELLENT","Yes",
"AZAGUARD","BIOSAFE SYSTEMS LLC","70299-17",,"AZADIRACHTIN","INSECTICIDE, NEMATICIDE","Yes",
"AZAMAX","GENERAL HYDROPONICS","91865-4",,"AZADIRACHTIN","INSECTICIDE, MITICIDE, NEMATICIDE","YES",
"AZAMAX","PARRY AMERICA INC.","71908-1-81268","(Product back on list after meeting regulatory requirements, contact ODA for details)","AZADIRACHTIN","INSECTICIDE, MITICIDE, NEMATICIDE","NO",
"AZAPRO","CANN-CARE COMPANY","92629-1",,"AZADIRACHTIN","INSECTICIDE, MITICIDE, NEMATICIDE","YES",
"AZASOL","ARBORJET INC","81899-4-74578",,"AZADIRACHTIN","INSECTICIDE, NEMATICIDE","Yes",
"AZATIN XL BIOLOGICAL INSECTICIDE","OHP INC.","70051-27-59807",,"AZADIRACHTIN","INSECTICIDE","Yes",
"ECOGARDEN","PARRY AMERICA INC.","71908-1-81268",,"AZADIRACHTIN","REPELLANT, ANTIFEEDANT, AND INSECT GROWTH REGULATOR","No",
"ECOZIN PLUS 1.2% ME","AMVAC CHEMICAL CORP","5481-559",,"AZADIRACHTIN","INSECTICIDE, NEMATICIDE","Yes",
"MOLT-X","BIOWORKS INC","68539-11",,"AZADIRACHTIN","INSECTICIDE","Yes",
"ORNAZIN 3% EC BOTANICAL INSECTICIDE","SEPRO CORPORATION","5481-476-67690",,"AZADIRACHTIN","INSECTICIDE, NEMATICIDE","Yes",
"SAFER BRAND BIONEEM MULTI- PURP. INSECT&REPELL CONC.","SAFER INC / WOODSTREAM CORP.","70051-6-42697",,"AZADIRACHTIN","INSECTICIDE, INSECT REPELLENT","No",
"SOLUNEEM","THE ECOLOGY WORKS","8199-4-67419",,"AZADIRACHTIN","INSECTICIDE","YES",
"DEBUG TURBO","AGRO LOGISTIC SYSTEMS INC","70310-5",,"AZADIRACHTIN, NEEM OIL  COLD PRESSED","FUNGICIDE, INSECTICIDE, NEMATICIDE","Yes",
"AZERA INSECTICIDE","MCLAUGHLIN GORMLEY KING","1021-1872","See alert at bottom of list","AZADIRACHTIN, PYRETHRINS","INSECTICIDE","Yes",
"AZERA PRO","MGK","1021-1872",,"AZADIRACHTIN, PYRETHRINS","INSECTICIDE","Yes",
"Companion Biological Fungicide Wettable Powder","Plant Health Intermediate Inc.","87645-4-94485",,"Bacillus amyloliquefaciens","Fungicide","Yes",
"Revitalize Biofungicide Concentrate","Bonide Products, Inc.","70051-107-4",,"Bacillus amyloliquefaciens","Fungicide","No",
"Revitalize Biofungicide Ready to Use","Bonide Products, Inc.","70051-114-4",,"Bacillus amyloliquefaciens","Fungicide","No",
