"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"Salem Capitol Connections","Salem Capitol Connections","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2022-05-31T07:30:00.000","2022-05-31T09:00:00.000",,"Cost: FREE (In Person)",,,,"Register Here (https://salemcapitolconnections.org/)",,,,,
"Oregon Association of Minority Entrepreneurs","OAME Coffee and Issues","Connect with businesses, partners and resources at the monthly networking meeting of the Oregon Association of Minority Entrepreneurs","2022-05-27T07:30:00.000","2022-05-27T09:00:00.000",,"Cost: FREE (In Person)",,,,"More Info Here (https://oame.org/)",,,"Portland",,
"Oregon Association of Minority Entrepreneurs","OAME Contractors and AEPT Meeting","Contractors, Architects, Engineers and Professional/Technical businesses meet each month at this free networking event","2022-05-13T07:30:00.000","2022-05-13T09:00:00.000",,"Cost: FREE (In Person)",,,,"More Info Here (https://oame.org/)",,,,,
"Oregon Association of Minority Entrepreneurs","OAME Trade Show","The 34th Annual OAME Trade Show brings over 100 businesses, government agencies, and business resources together for in-depth conversations and networking.","2022-05-12T10:00:00.000","2022-05-12T15:00:00.000","PDT","Cost: FREE",,,,"More Info Here (https://oame.org/tradeshow/)",,,"Portland",,
"US Small Business Administration","National Small Business Week","SBA's Portland District Office has brought in local experts to present on various business topics with the goal of helping to support small businesses as they start, grow, expand, and recover.  During this five-day event, May 2nd to 6th, we will have a 1.5-hour presentation each day from 2:00 pm to 3:30 pm (PDT) ","2022-05-01T00:00:00.000","2022-05-07T23:59:00.000",,"Cost: FREE (Virtual)",,,,"Register and Get Details Here (https://content.govdelivery.com/accounts/USSBA/bulletins/310f794)",,,,,
"Oregon Association of Minority Entrepreneurs","Coffee and Issues","Connect with businesses, partners and resources at the monthly networking meeting of the Oregon Association of Minority Entrepreneurs","2022-04-29T07:30:00.000","2022-04-29T09:00:00.000","PDT","Cost: FREE",,,,"More Info Here (https://oame.org/)",,,,,
"Salem Capitol Connections","Salem Capitol Connections","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2022-04-26T07:30:00.000","2022-04-26T09:00:00.000",,,,,,"Register Here (https://salemcapitolconnections.org/)",,,,,
"Redmond Chamber of Commerce","Central Oregon Business Expo","Are you looking for the newest products and services from local, Central Oregon companies? How about looking for practical advice on how to successfully grow your business and navigate an ever-changing economy? Are you looking for a way to network better with other business owners in your area? If the answer is YES to any of these questions, then you will want to make sure to attend the Annual Central Oregon Business Expo and Job Fair.","2022-04-20T13:00:00.000","2022-04-20T17:30:00.000","PDT","Cost: FREE",,,,"More Info Here (https://www.visitredmondoregon.com/event/central-oregon-business-expo/#!event-register/2022/4/20/c-o-business-expo-job-fair)",,,,,
"Eastern Oregon University","Entrepreneur Day","This virtual event is open to all existing business owners in Eastern Oregon. Savvy professionals from the business world will be teaching valuable classes on a variety of topics.","2022-04-19T08:00:00.000","2022-04-19T14:00:00.000","PDT","Register with the Eastern Oregon University SBDC",,,,"Those participating need to call the EOU Small Business Development Center at 541-962-1532 or email eousbdc@gmail.com to register",,,,,
"USDA Rural Development ","Webinar: How to Apply to the Value Added Producer Grant Program","The U.S. Department of Agriculture (USDA) Rural Development invites you to participate in a free webinar on the application process for the Value Added Producer Grant (VAPG) Program. Rural Development is currently accepting applications for this program, which provides grants to develop new products from raw agricultural products or to expand marketing opportunities for value-added products. Farmers, ranchers, and owners of producer-based rural small businesses in Oregon that plan to apply for the VAPG Program this year are encouraged to attend the webinar to learn more about the application process","2022-03-31T15:00:00.000","2022-03-31T16:00:00.000","Oregon","Cost: No Fee","Erika Moellmer","(503) 414-3333","erika.moellmer@usda.gov","Register Online (https://register.gotowebinar.com/register/6743351414362308111)",,,,,"2022-03-31T13:00:00.000"
,"OAME Coffee and Issues","Monthly networking meeting of the Oregon Association of Minority Entrepreneurs","2022-02-25T07:30:00.000","2022-02-25T09:00:00.000",,,,,,"http://www.oame.org",,,,,
"SCORE Portland ","10 Key Steps to Grow Your Solo Business-SCORE Portland ","Starting a business is not easy, but successfully building a business that brings in profit is even more difficult. So how can you grow your solo business into a profitable brand that will enable you to live the life you want to live?","2022-01-20T10:00:00.000","2022-01-20T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1515520&tp_key=e89550544e&origination=https%253A//portlandor.score.org/pdx-score-workshops%253Ff%25255B0%25255D%253Dim_field_format_ref%25253A45%2526f%25255B1%25255D%253Dim_field_business_stage%25253A442)",,,,,
