"fiscal_year","award_number","award_title","award_type","company_name","company_address","city","state","zip_code","company_phone","contract_effective_date","contract_expiration_date","original_contract_value","total_amendments","total_contract_value"
"2021","J1761","Ricoh IM7000 Copier (60 Month Lease)","Lease","Ricoh USA","PO Box 100345","Pasadena","CA","91189","(503) 315-7627","2021-03-17T00:00:00.000","2026-04-29T00:00:00.000","12619.80",,
"2021","M1763","Herman Miller furniture for Criminal Unit","furniture","Pacific WRO","825 NE Multnomah St #270","Portland","OR","97232","(503) 238-1590","2021-03-17T00:00:00.000",,"34499.88",,
"2021","J1753","Furniture for COA / Supreme Court Building & Justice Building","Furniture","Oregon Corrections Enterprises (OCE)","3691 State St","Salem","OR","97301","(503) 428-5500","2021-03-15T00:00:00.000",,"9330.00",,
"2021","J1754","Ricoh IMC 4500 Copier (48 Month Lease)","Lease","Ricoh USA","PO Box 100345","Pasadena","CA","91189","(503) 315-7627","2021-03-15T00:00:00.000","2025-04-29T00:00:00.000","9440.64",,
"2021","J1755","Ricoh IMC 6500 Copier (48 Month Lease)","Lease","Ricoh USA","PO Box 100345","Pasadena","CA","91189","(503) 315-7627","2021-03-15T00:00:00.000","2025-04-29T00:00:00.000","17003.04",,
"2021","M1748","Year 3 of  3 year commitment - MS Enterprise and SCE Agreements","Hardware","Software House International (SHI)","290 Davidson Ave.","Somerset","NJ","8873","(800) 477-6479","2021-03-10T00:00:00.000","2022-03-31T00:00:00.000","1804804.73",,
"2021","J1745","Ricoh IMC6500 Copier (48 Month Lease)","Lease","Ricoh USA","PO Box 100345","Pasadena","CA","91189","(503) 315-7627","2021-03-09T00:00:00.000","2025-04-29T00:00:00.000","17003.04",,
"2021","B1704","(2) Micro-Imag Capture 9 Digital Microfische/Microfilm Scanner Reader","Hardware","Data Financial, Inc.","1100 Glen Oaks Lane","Mequon","WI","53092","(262) 243-5511","2021-03-08T00:00:00.000","2024-05-09T00:00:00.000","13390.00",,
"2021","B1741","Dell Equipment Statewide Lifecycle Order","Various","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-03-08T00:00:00.000",,"1555880.32",,
"2021","B1742","SolarWinds Addirtional Polling Engine and Additional Web Server licenses","Software","Software House International (SHI)","290 Davidson Ave.","Somerset","NJ","8873","(800) 477-6479","2021-03-08T00:00:00.000","2022-03-09T00:00:00.000","15452.30",,
"2021","J1740","Diversified equipment ( Diversified side of the statewide lifecycle order)","Various","Diversified","10035 SW Arctic Dr","Beaverton","OR","97005","(503) 601-5616","2021-03-08T00:00:00.000",,"687698.15",,
"2021","J1743","(42) Chairs (H4008) Solutions 4000 Series","Furniture","Workspace Interiors by Office Depot","6805 217th St.","Kent","WA","98032","(206) 306-3950","2021-03-08T00:00:00.000",,"6893.04",,
"2021","B1733","Mediasite Annual Software Renewal and Hosting Services","Service","The Chariot Group","4110 SE Hawthorne Blvd","Portland","OR","97214","(503) 848-2400","2021-03-02T00:00:00.000","2022-03-10T00:00:00.000","20795.00",,
"2021","J1655","(32) Samaritan Pad Adult PAD-PAK-01 (Replacement defibrillation batteries)","Hardware","American AED","3151 Executive Way","Miramar","FL","33025","(954) 458-6618","2021-01-22T00:00:00.000",,"5600.00",,
"2021","J1724","(48) New chairs for all BFSD employees (Carmel and Rainier chair variations / sizes)","Furniture","RFM Preferred Seating (Commercial Business Furniture)","1070 Commercial St NE","Salem","OR","97301","(503) 363-3161","2021-03-02T00:00:00.000",,"25238.40",,
"2021","J1731","(1) Fujitsu fi-7600 - document scanner w/ 3 yr maintenance (For: BFSD/Accounting)","Hardware","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-03-02T00:00:00.000","2024-03-01T00:00:00.000","8042.46",,
"2021","M1706","Sharp MX-M5071 50ppm Monochrome Copier System with print/scan/fax. 48 months @ $188.72  (replaces PO 8111D)","lease","Pacific Office Automation","14747 NW Greenbrier Parkway","Beaverton","OR","97006","(503) 378-4000","2021-03-02T00:00:00.000","2025-03-01T00:00:00.000","9058.56",,
"2021","M1725","Misc. office freestanding furniture","Furniture","Pacific WRO","825 NE Multnomah St #270","Portland","OR","97232","(503) 238-1590","2021-03-02T00:00:00.000",,"42122.46",,
"2021","M1727","CISCO VOIP Equipment","Hardware","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-03-02T00:00:00.000",,"187394.00",,
"2021","M1732","HermanMiller Systems furntiure","Furniture","Pacific WRO","825 NE Multnomah St #270","Portland","OR","97232","(503) 238-1590","2021-03-02T00:00:00.000",,"39229.00",,
"2021","M1722","Refurbished Poly equipment with one year warranty","Hardware","323.TV, LLC","32525 Lexington Ave.","DeSoto","KS","66018","(913) 422-9811","2021-03-01T00:00:00.000","2022-02-28T00:00:00.000","10593.00",,
"2021","B1717","Misc. Flat Screens and Associated Hardware and Components","Hardware","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-02-26T00:00:00.000",,"17339.93",,
"2021","B1713","48 Month Lease @ $248.07 per month plus CPP for RICOH IM7000 CONFIGURABLE PTO Model (Replaces PO 8471N)","Lease","Ricoh USA","PO Box 100345","Pasadena","CA","91189","(503) 315-7627","2021-02-25T00:00:00.000","2025-03-17T00:00:00.000","11907.36",,
"2021","J1714","(5) Lexmark CX431adw - multifunction printer - color & Extra High Yileld / High Yield Toner (2yrs supply)","Hardware","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-02-25T00:00:00.000",,"22530.20",,
"2021","B1708","(1) Dell Server - CTO PE R540 4206 16GB","Hardware","CDWG","230 N. Milwaukee Ave.","Vernon Hills","IL","60061","(800) 594-4239","2021-02-23T00:00:00.000","2024-03-04T00:00:00.000","5320.40",,
"2021","J1710","Desks, Tables, File Cabinets, Electric Work Stations, & Bookcases for Court of Appeals","Furniture","Oregon Corrections Enterprises (OCE)","3691 State St","Salem","OR","97301","(503) 428-5500","2021-02-23T00:00:00.000",,"12333.00",,
"2021","B1701","(2) Canon imageRUNNER DX 6780i (IRADVDX6780I) Purchase","Hardware","Canon Solutions America, Inc.","One Canon Park","Melville","NY","11747","(800) 613-2228","2021-02-18T00:00:00.000","2026-02-26T00:00:00.000","24075.74",,
"2021","J1695","48 Month Lease - iX-7 Series Neopost Mail Machine","Lease","MailFinance, Inc. / Bullfrog Enterprises","478 Wheelers Farms Rd","Milford","CT","6461","(541) 726-6800","2021-02-17T00:00:00.000","2025-03-02T00:00:00.000","21510.72",,
"2021","J1695-A","48 Month Lease - iX-7 Series Neopost Mail Machine","Lease","Quadient Leasing USA, Inc.","478 Wheelers Farm Rd.","Milford","CT","6461","(503) 989-9840","2021-02-17T00:00:00.000","2025-03-02T00:00:00.000","21510.72",,
"2021","J1696","Courtroom pew seating and counsel tables (DES)","Furniture","Oregon Corrections Enterprises (OCE)","3691 State St","Salem","OR","97301","(503) 428-5500","2021-02-17T00:00:00.000",,"29385.00",,
