"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Linn","30th Place Duplex","204 30th Pl SE","Albany","Glorietta Bay","541-928-9390","2",,,,"2",,
"Linn","Clayton Meadows Senior Apts","2080 Queen Ave SE","Albany","Linn-Benton Housing Authority","541-791-9175","50",,,"32","18",,
"Linn","Cottage Creek","1437 SE 7th","Albany","Linn-Benton Housing Authority","541-791-9175","15",,,,,,
"Linn","Denver Street Duplexes","411 Denver St SE","Albany","Glorietta Bay","541-928-9390","2",,,,"2",,
"Linn","Hillhouse Apts","1900 Hill St SE","Albany","Cascade Management Inc.","541-928-3111","40",,,"8","8","16","8"
"Linn","Millwood Manor","2550 14th Ave SE","Albany","Cambridge Real Estate Services","541-928-2545","46",,,"46",,,
"Linn","Mitchell Place","1925 Waverly Dr SE","Albany","Chamberlin House, Inc.","541-926-6148","9",,,"9",,,
"Linn","Oak Plaza Apts","1265 Salem Ave SE","Albany","PHC Northwest","503-261-1266","20",,"4","16",,,
"Linn","Parkrose Apts","2078 6th Ave SE","Albany","Albany Partnership for Housing & Community Dev","541-926-5451","13",,,,"13",,
"Linn","Parkside Court","715 24th Ave SE","Albany","Albany Partnership for Housing & Community Dev","541-928-5612","40",,,"10","20","10",
"Linn","Periwinkle Creek Apts","2020 Queen Ave SE","Albany","Bowen Property Management","541-924-1234","79",,,"12","39","28",
"Linn","River View Place Apts","635 3rd Ave SW","Albany","Cascade Housing Group","503-799-9454","40",,"4","28","8",,
"Linn","Santiam Terrace","855 Chicago St SE","Albany","Cascade Management Inc.","541-928-3111","56",,"28","28",,,
"Linn","Scheler House","1921 Waverly Dr SE","Albany","Chamberlin House, Inc.","541-928-1103","1",,,,,,"1"
"Linn","Songbird Village","215 21st Ave SW","Albany","Albany Partnership for Housing & Community Dev","541-924-1003","44",,,"8","13","5","18"
"Linn","The Lehigh Project","2238 30th Ave SE","Albany","Chamberlin House, Inc.","541-928-1893","5","5",,,,,
"Linn","Woodwind Apts","1440 Second Ave SE","Albany","Income Property Management","541-602-1183","54",,,"16","14","12","12"
"Linn","Pioneer Court","225 Spaulding Ave","Brownsville","Viridian Management","541-928-6901","4",,,"4",,,
"Linn","Riverside Park","137 Galbraith St","Brownsville","Viridian Management","541-928-6901","4",,,,"3","1",
"Linn","Fountain Court Apts","225 Fountain St","Harrisburg","Grand Management Services, Inc.","541-269-5561","5",,,"5",,,
"Linn","La Salle Court Apts","225 LaSalle St","Harrisburg","Grand Management Services, Inc.","541-269-5561","8",,,"8",,,
"Linn","Sommerville Place Apts","885 Sommerville Lp","Harrisburg","Viridian Management","541-995-8681","28",,,,"10","18",
"Linn","Anderlik Manor","780 W Grant St","Lebanon","Viridian Management","541-259-3949","20",,,"20",,,
"Linn","Carolina 100 Apts","100 E Carolina St","Lebanon","Cascade Management Inc.","541-259-6654","16",,"1","4","11",,
"Linn","Carolina Court","170 S 5th St","Lebanon","Cascade Management Inc.","541-259-6654","10",,,,"6","4",
"Linn","Cypress Gardens","2009 Cypress Ct","Lebanon","Linn-Benton Housing Authority","541-926-4497","8",,"8",,,,
"Linn","Park Manor","42 Market St","Lebanon","Guardian Real Estate Services","541-259-2140","40",,,"10","20","10",
"Linn","Stillwater Apts","1811 S 2nd St","Lebanon","Lovelace Properties","541-258-8690","40",,,"36","4",,
"Linn","Village Manor Senior Apts","2411 S 2nd St","Lebanon","Guardian Real Estate Services","541-451-1122","40",,,"36","4",,
"Linn","Willamette Manor","176 W C St","Lebanon","Willamette Manor Inc.","541-258-8178","42",,,"8","32","2",
"Linn","Thomas Creek Court","38924 NW 1st Ave","Scio","Viridian Management","541-928-6901","8",,,"4","4",,
"Linn","Ames Creek Court Apts","1794 Fir St","Sweet Home","Cascade Management Inc.","541-367-4880","31",,,"28","3",,
"Linn","Cascadia Village Apts","1241 23rd Ave","Sweet Home","Linn-Benton Housing Authority","541-926-4497","31",,,"8","16","7",
"Linn","Linnhaven Apts","1220 23rd Ave","Sweet Home","Cascade Management Inc.","541-367-4880","26",,,"22","4",,
"Linn","Stonebrook Apts","300 W Holley Rd","Sweet Home","Cascade Management Inc.","541-367-4437","25",,,"12","12","1",
"Linn","Sunset Corners","1321 Sunset Ln","Sweet Home","Cascade Management Inc.","541-367-4437","48",,,"14","24","10",
