"award_year","business_name","award_type","award_amount"
"FY2020","Abrazo Style","Grant","3938"
"FY2020","Ampere Scientific","Grant","1759"
"FY2020","Audix Corporation","Grant","20000"
"FY2020","Cascade Engineering Technologies, Inc","Grant","5539"
"FY2020","CTF Enterprises, Inc.","Grant","1210"
"FY2020","Cycle Dog","Grant","5569"
"FY2020","Drink Tanks Corporation","Grant","5860"
"FY2020","Earthwell","Grant","15191"
"FY2020","Ecliptic Brewing","Grant","1908"
"FY2020","Element Grow","Grant","8268"
"FY2020","Eola Hills Wine Cellars","Grant","6947"
"FY2020","Kawak Aviation Technologies","Grant","2261"
"FY2020","North River Boats","Grant","6610"
"FY2020","Oregon Fruit Products","Grant","3705"
"FY2020","Portland Pet Food Company","Grant","4538"
"FY2020","Reverend Nat's Hard Cider","Grant","1906"
"FY2020","Rolf Prima","Grant","5085"
"FY2020","Simplex Aerospace","Grant","1846"
"FY2020","Six Moon Designs","Grant","3143"
"FY2020","Skull Hooker","Grant","7520"
"FY2020","The Chocolate Maker's Studio","Grant","4637"
"FY2020","Tunnel Radio of America","Grant","4835"
"FY2020","TZ Medical Inc.","Grant","8931"
"FY2021","None awarded",,
