"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Baker","Brookside Manor","1600 Eldon Ave","Baker City","Taylor Real Estate & Management","541-523-8912","20",,,"20",,,
"Baker","Eldon Court Apts","1645 Eldon Ave","Baker City","NE Oregon Housing Authority","541-963-5360","10",,,"10",,,
"Baker","Elkhorm Village","3085 Resort St","Baker City","Viridian Management","541-523-6578","36",,,,,,
"Baker","The Elms","2920 Elm St","Baker City","Viridian Management","541-523-5908","23",,,,"23",,
"Baker","Green Acres Apts","1560 Indiana Ave","Baker City","NE Oregon Housing Authority","541-523-9374","24",,,"5","17","2",
"Baker","The Grove Apts","2970 Walnut St","Baker City","NE Oregon Housing Authority","541-963-5360","30",,,"30",,,
"Baker","Homes Enabling Livability","1190 Park St","Baker City","Step Forward Activities Inc.","541-523-2549","3",,,,,,"3"
"Baker","Haines Family Duplexes","510 Olson","Haines","NE Oregon Housing Authority","541-963-5360","1",,,,,"1",
"Baker","Richland School Apts","42008 Moody Rd","Richland","NE Oregon Housing Authority","541-963-5360","10",,"10",,,,
"Benton","Alexander Court","100 SW Alexander","Corvallis","Cascade Management Inc.","541-752-0369","73",,,"54","10","9",
"Benton","Benton Plaza Apts","408 SW Monroe Ave","Corvallis","Cascade Management Inc.","541-753-4411","53",,,"53",,,
"Benton","Camas Commons","5140 SW Meadow Flower Dr","Corvallis","Viridian Management","541-753-6885","56",,,"10","12","30","4"
"Benton","Glenwood Manor","1687 NW Division St","Corvallis","Cambridge Real Estate Services","541-753-3408","60",,,"60",,,
"Benton","Julian Hotel","150 SW Monroe","Corvallis","Cascade Management Inc.","541-753-0253","35",,"5","30",,,
"Benton","Lancaster Bridge Apts","3384 NE Oxford Cir","Corvallis","Cascade Management Inc.","541-757-0842","49",,,"15","30","4",
"Benton","Larson Commons","2566 SW Coho St","Corvallis","Cascade Management Inc.","541-752-0369","24",,,"13","5","6",
"Benton","Oak Crest Family Housing","3402 NE Lancaster St","Corvallis","Oak Crest Family Housing LLC","541-753-6533","50",,,,"30","20",
"Benton","Pickford Leonard Apts","2600 SW Pickford St","Corvallis","Cascade Management Inc.","541-752-0369","10",,,"10",,,
"Benton","Samaritan Village","285 NW 35th St","Corvallis","Cascade Management Inc.","541-758-7888","84",,"65","19",,,
"Benton","Seavey Meadow","1099 NE Sorrel Pl","Corvallis","Cascade Management Inc.","541-752-0661","51",,,,,,
"Benton","South Corvallis Townhouses","2550 SW Pickford","Corvallis","Cascade Management Inc.","541-752-0369","7",,,,,,
"Benton","Walnut Court","842 NE 2nd St","Corvallis","Cascade Management Inc.","541-928-3111","24",,"12","12",,,
"Clackamas","Canby Village Apts","488 NW 6th Ave","Canby","Guardian Real Estate Services","503-266-4434","52",,,"38","14",,
"Clackamas","Canby West Apts","621 N Douglas Ln","Canby","Viridian Management","503-266-2003","20",,,"20",,,
