"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Raspberry and Blackberry Commission, Oregon","ORBC Regular Meeting","ORBC Meeting","2020-09-16T09:00:00.000","2020-09-16T01:00:00.000","Zoom conference call"," Portland","OR","Please contact the administrative office for conference link.","","Philip Gutt","","eatoregonberries@gmail.com",,"","","","","",,"","",""
"Raspberry and Blackberry Commission, Oregon","ORBC Regular Meeting & Committee","ORBC Meeting","2020-02-18T10:30:00.000","2020-02-18T15:00:00.000","Hayden’s Lakefront Grill 8187 SW Tualatin-Sherwood Rd, Tualatin, OR"," Tualatin","OR","9:15 am Research Committee
9:45 am Budget Committee","","Philip Gutt","","berries@oregon-berries.com",," ()"," ()","","","",,"",""," ()"
"Raspberry and Blackberry Commission, Oregon","ORBC Special Meeting","ORBC Meeting","2020-01-28T14:00:00.000","2020-01-28T15:30:00.000","Conference Call"," Corvallis","OR","Please contact the Administrative Office for dialing instructions","","Philip Gutt","","berries@oregon-berries.com",," ()"," ()","","","",,"",""," ()"
"Raspberry and Blackberry Commission, Oregon","Legislative/Labor/Education Committee","ORBC Meeting","2015-11-17T14:00:00.000","2015-11-17T15:00:00.000","Conference Call"," Corvallis","OR","Conference Call Instructions
1) Dial the toll free number 1-866-779-0773
2) You will hear ""Welcome to Genesys meeting center…....""
3) Dial the meeting number starting and ending with * :   *7584043*
4) You will hear ""Please wait for entry into conference"".
",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committee Meetings","ORBC Meeting","2013-04-30T16:30:00.000",,"Haydens Grill 8187 SW Tualatin-Sherwood Rd"," Tualatin","OR","Legislative/Labor/Education Committee 4:30 pm
Research 4:50 pm
Promotion 5:10 pm
Budget 5:30 pm
Regular Meeting & Budget Hearing 6:00 pm",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Special Commission Meeting","ORBC Meeting","2012-06-22T12:00:00.000","2012-06-22T12:30:00.000","Conference Call"," Corvallis","OR","Conference Call Instructions
1) Dial the toll free number 1-866-779-0773
2) You will hear ""Welcome to Genesys meeting center…....""
3) Dial the meeting number starting and ending with * :   *7584043*
4) You will hear ""Please wait for entry into conference"", and that is all you will have to do.
If you have any difficulties with the call, dial *10* when in the Genesys center",,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Annual Meeting","ORBC Meeting","2013-12-18T09:00:00.000",,"Wellspring Conference Center"," Woodburn","OR","The ORBC will be holding their Annual Grower Meeting on December 18, 2013 at the Wellspring Conference Center at Woodburn Health Center, 1475 Mt. Hood Ave., Woodburn, Oregon.  All researchers who received funding in the previous FY will be required to attend and provide a progress report.

http://silvertonhealth.org/in-the-community/wellspring-conference-center",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committee Meetings","OSC Meeting","2015-01-07T14:00:00.000","2015-01-07T16:00:00.000","282 NW Macleay Blvd."," Portland","OR","2 pm Communications and Product Safety Committee
3 pm Promotion Committee
282 NW Macleay Blvd. Portland, Oregon",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Commission Meeting & Budget Hearing","ORBC Meeting","2012-04-18T09:00:00.000","2012-04-18T13:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committees, Regular Meeting & Budget Hearing","ORBC Meeting","2015-04-21T12:00:00.000","2015-04-21T16:00:00.000","Hayden’s Lakefront Grill 8187 SW Tualatin-Sherwood Rd, Tualatin, OR"," Tualatin","OR","10.00 Legislative/Labor/Education Committee
10.30 Research Committee
11.00 Budget Committee
12.00 Regular Commission Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committees & Regular Meeting","ORBC Meeting","2015-10-21T11:00:00.000","2015-10-21T16:00:00.000","Hayden’s Lakefront Grill 8187 SW Tualatin-Sherwood Rd,"," Tualatin","OR","9.00 Promotion Committee
9.30 Legislative/Labor/Education Committee
9.50 Communications and Product Safety Committee
10.10 Research Committee
10.30 Budget Committee
11.00 Regular Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Annual Growers Meeting","ORBC Meeting","2012-12-13T09:00:00.000","2012-12-13T13:00:00.000","The Woodlands at Wellspring"," Woodburn","OR","Wellspring Medical Center
The Woodlands at Wellspring
1475 Mt. Hood Ave
Woodburn,OR  97071",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Budget Committee Meeting","ORBC Meeting","2013-01-24T08:00:00.000","2013-01-24T09:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Commission Meeting & Budget Hearing","ORBC Meeting","2013-04-30T18:00:00.000",,"Haydens Grill 8187 SW Tualatin-Sherwood Rd"," Tualatin","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Regular Commission Meeting","ORBC Meeting","2012-03-16T10:00:00.000","2012-03-16T14:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committees & Regular Meeting","ORBC Meeting","2015-09-17T12:00:00.000","2015-09-17T16:00:00.000","TBA"," Aurora","OR","10.00 Promotion Committee
10.30 Legislative/Labor/Education Committee
10.45 Communications and Product Safety Committee
11.00 Research Committee
11.30 Budget Committee
12.00 Regular Commission Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","2012 Caneberry Breeding Selections Evaluation","ORBC Meeting","2012-12-10T10:00:00.000",,"OSU Wiegand Hall"," Corvallis","OR","Colleagues - We are having the research evaluations of the USDA-ARS/OSU berry breeding selections in the upcoming weeks.  We are not looking to invite everyone in the world, but we are looking for anyone who knows berries and knows what the industry needs.  There will be two evaluation days:

Blackberries, Raspberries and Black Raspberries will be evaluated on Monday, December 10, starting at 10 am.

Strawberries and Blueberries will be evaluated on Wednesday, December 19, starting at 10 am.

You will be expected to evaluate over 100 IQF selections and cultivars.  We will be evaluating ALL the selections and varieties from the 2011 season, many from several harvest dates.  Results from this evaluation will be used to determine which cultivars and selections will be discarded and which will continue on in the breeding program. We will also decide which selections will be displayed at the Commission research meetings and at the Northwest Food Processors meeting.

The evaluation will be held in the OSU Food Science Department, Wiegand Hall, at the corner of 30th and Campus Way in Corvallis.  For those coming from I-5, take the Highway 34/Corvallis exit.  Head west on 34.  As you approach Corvallis, DO NOT TURN LEFT AT THE LIGHT to follow 34 toward the Coast.  Continue straight ahead and cross the river on the Harrison St. bridge.  Follow Harrison straight ahead to 30th St.  Turn left on 30th.  Continue 5 blocks; turn right on Campus Way.  The Food Science building will be on your right but turn left and park in the STUDENT PARKING section of the Crop Science lot.  It’s free!  

Chad will again be buying pizza for lunch.  No you can’t just come for lunch.

Questions?  Call me or email me.  See you here.

Thanks,
Brian Yorgey
brian.yorgey@oregonstate.edu
(541) 737-6496
",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Regular Commission Meeting","ORBC Meeting","2012-10-26T09:00:00.000","2012-10-26T11:30:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Budget Hearing & Committee Meeting","ORBC Meeting","2014-04-25T17:00:00.000",,"Haydens Grill"," Tualatin","OR","Haydens Grill 8187 SW Tualatin-Sherwood Rd, Tualatin, OR

There will be a Budget Committee meeting at 4 pm prior to the Regular Commission meeting and Budget Hearing at 5 pm",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","OSC Promotion Committee Meeting","ORBC Meeting","2012-04-11T13:00:00.000","2012-04-11T14:00:00.000","GoTo Conference Call"," Corvallis","OR","Please join the promotion committee for the April meeting, scheduled for Wednesday, April 11th at 1pm.   

A public computer will be available at the Starbucks at 4437 Southeast 39th Avenue, Portland, OR.  

Please join this call to discuss the 2012-2013 Promotion Projects & Budget

To join the meeting follow the instructions below.  

1.  Click on the following link to access the GoToMeeting.com site. 
https://www4.gotomeeting.com/join/759543631

2.  Use your microphone and speakers (VoIP) - a headset is recommended. 
Or, call in using your telephone.
Dial +1 (630) 869-1014
Access Code: 759-543-631
Audio PIN: Shown after joining the meeting
Meeting ID: 759-543-631",,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Meeting","ORBC Meeting","2013-03-13T10:30:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Regular & Committee Meetings","ORBC Meeting","2014-09-18T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR","Committee Meetings Prior to Regular Meeting

4.00 Promotion Committee
4.30 Legislative/Labor/Education Committee
4.45 Communications and Product Safety Committee
5.00 Budget Committee
5.15 Research Committee",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
