"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Washington","Aloha Park Apts","875 SW 185th Ave","Aloha","Infinity Property Management","503-649-6340","80",,,"20","40","20",
"Washington","Aloha Project","4455 SW 184th Ave","Aloha","Cascade Management Inc.","503-671-0752","10",,,"10",,,
"Washington","Brentwood Oaks","3245 SW 182nd Ave","Aloha","Cascade Management Inc.","503-356-8530","78",,,"42","36",,
"Washington","Kinnaman Townhomes","17400 SW Kinnaman Rd","Aloha","Income Property Management","503-649-7639","40",,,,"22","18",
"Washington","Reedville Apts","21195 SW Alexander","Aloha","Cascade Management Inc.","503-356-0318","48",,,,"24","21","3"
"Washington","Willow Creek Commons","19145 SW Alexander St","Aloha","Housing Authority of Washington County","503-846-4794","120",,,"90","30",,
"Washington","Willow Springs","3240 SW Doyle Pl","Aloha","Willow Springs Apartment Homes","503-848-8100","120",,,"80","40",,
"Washington","185th & Johnson Duplexes","SW 185th Ave","Beaverton","Infinity Property Management","503-693-6300","6",,,,"2","4",
"Washington","Barcelona at Beaverton","12055 SW 2nd St","Beaverton","Infinity Property Management","503-223-6327","47",,"3","41","3",,
"Washington","Beaverton Apts","11815 SW 5th Ave","Beaverton","Gearin Properties","503-626-7544","1",,,,,"1",
"Washington","Belleau Woods","14902 SW Tracy Ann Ct","Beaverton","Grand Peak Property Management","503-626-8404","64",,,,"24","40",
"Washington","Birch Pointe","17520 NW Cornell Rd","Beaverton","Prometheus Real Estate","503-470-5144","246",,"8","73","109","56",
"Washington","Briar Creek","1001 SW Briarcreek Wy","Beaverton","GSL Properties","503-645-8622","216",,,"108","108",,
"Washington","The Bridge","5920 SW 141st Ave","Beaverton","Cascade Management Inc.","503-671-0752","15",,,"15",,,
"Washington","Bridge Meadows","13745 SW Allen Blvd","Beaverton","Guardian Real Estate Services","503-802-3548","37",,,"20","8","7","2"
"Washington","Crestview Court","4600 SW 141st Ave","Beaverton","NW Real Estate Capital Corp","503-941-5857","48",,,"15","33",,
"Washington","Farmington Meadows","4566 SW 160th Ave","Beaverton","Liberty Group","503-772-0548","69",,,"8","44","17",
"Washington","Farmington Park","4878 SW 170th Ave","Beaverton","Housing Authority of Washington County","503-846-4794","6",,,"6",,,
"Washington","Fircrest Manor","13765 SW Allen Blvd","Beaverton","Guardian Real Estate Services","503-644-9379","59",,,"16","16","19","8"
"Washington","Franklin Street Apts","4920 SW Franklin Ave","Beaverton","Gearin Properties","503-626-7544","50",,,"47","3",,
"Washington","Holly Tree Village","5335 SW Murray Blvd","Beaverton","Infinity Property Management","503-544-2744","140",,,"140",,,
"Washington","Marilann Terrace","21250 SW Alexander","Beaverton","Infinity Property Management","503-693-6300","18",,,,"18",,
"Washington","Merlo Station Apts","2032 SW Merlo Ct","Beaverton","Guardian Real Estate Services","503-746-6346","130",,"4","6","14","91","15"
"Washington","Pomeroy Place","18670 Blanton St","Beaverton","Cascade Management Inc.","971-238-4280","20",,,"5","10","5",
"Washington","Quatama Crossing","20700 NW Trailwalk Dr","Beaverton","Simpson Property Group","503-645-8215","711",,,"222","424","65",
"Washington","Spencer House Apts","13665 SW Larch Pl","Beaverton","Income Property Management","503-644-4496","48",,,"12","25","11",
"Washington","Spruce Place","4565 SW 185th Ave","Beaverton","Sequoia MH Services","503-591-9280","15",,,,,,
"Washington","Tualatin View","18481 SW Boones Ferry Rd","Beaverton","Grand Peak Property Management","503-968-1137","210",,"16","74","80","40",
"Washington","Villa Capri","20733 NW Quatama Rd","Beaverton","Cascade Management Inc.","503-533-2277","63",,,"23","25","15",
"Washington","Cornelius Park Apts","481 S Alpine","Cornelius","Cascade Management Inc.","503-941-5909","64",,,,"10","10","4"
"Washington","Cornelius Place","1310 N Adair St","Cornelius","Bridge Housing","503-718-7781","44",,"6","37","1",,
"Washington","Covey Run Apts","1726 Covey Run Dr","Forest Grove","Cascade Management Inc.","503-992-0687","40",,,,,"26","14"
"Washington","Elm Park Apts","2350 Elm St","Forest Grove","Cascade Management Inc.","503-359-4532","62",,,,"22","34","6"
"Washington","Forest Manor Apts","2141 Quince St","Forest Grove","Taylor & Co NW Inc","503-357-5144","28",,,"4","24",,
"Washington","Forest Villa Apts","2141 Quince St","Forest Grove","Taylor & Co NW Inc","503-357-5144","84",,,,,,
"Washington","Garden Grove","2727 SW 22nd Ave","Forest Grove","Northwest Real Estate Capital Corp.","503-359-4654","48",,,,"26","22",
"Washington","Harkson Court","2900 22nd Ave","Forest Grove","Cascade Management Inc.","503-227-2358","20",,,"2","18",,
"Washington","Jose Arciga Apts","2922 19th","Forest Grove","Cascade Management Inc.","503-359-4425","12",,,,"12",,
"Washington","Juniper Gardens","2718 Juniper St","Forest Grove","Cascade Management Inc.","503-941-5909","46",,,,"15","25","6"
"Washington","Parkside Apts","2715 Main St","Forest Grove","Infinity Property Management","503-992-0444","24",,,"6","12","6",
"Washington","VanRich Apts","2016 B St","Forest Grove","Infinity Property Management","503-992-0444","17",,,"4","12","1",
"Washington","Villager Apts","1921 Fir Rd","Forest Grove","Infinity Property Management","503-992-0444","36",,,"8","20","8",
"Washington","Willow Park Apts","2824 22nd Ave","Forest Grove","Cascade Management Inc.","503-357-9622","46",,,,"46",,
"Washington","Alma Gardens","6200 NE Campus Ct","Hillsboro","Affinity Property Management","503-213-1309","56",,,"56",,,
"Washington","Amberwood Apts","1605 SE Maple St","Hillsboro","Infinity Property Management","503-693-6300","40",,,,"20","20",
"Washington","City Center Apts","160 SE Washington","Hillsboro","GSL Properties","503-693-9095","91",,,"57","34",,
"Washington","Fredrick House","509 SE 2nd Ave","Hillsboro","LifeWorks Northwest","503-645-3581","5","5",,,,,
"Washington","Gateway Commons Apts","181 SE 18th St","Hillsboro","Cascade Management Inc.","503-640-6019","138",,,"21","66","51",
"Washington","Laceleaf Apts","1250 E Main St","Hillsboro","Sequoia MH Services","503-591-9280","14",,,,,,
"Washington","Maples I","1136 SE Maple St","Hillsboro","REACH Community Development, Inc.","503-681-9096","50",,"7","43",,,
"Washington","Maples II","1138 SE Maple St","Hillsboro","REACH Community Development, Inc.","503-681-9096",,,,,,,
"Washington","Montebello Apts","220 SE 12th","Hillsboro","Cascade Management Inc.","503-846-9266","48",,,,"24","21","3"
"Washington","Orchards at Orenco I","6520 NE Cherry Dr","Hillsboro","REACH Community Development, Inc.","503-403-1803","57",,,"40","17",,
"Washington","Orchards at Orenco II","6598 NE Cherry Dr","Hillsboro","REACH Community Development, Inc.","503-403-1803","58",,,"44","14",,
"Washington","Orchards at Orenco III","6616 NE Cherry Dr","Hillsboro","REACH Community Development, Inc.","503-403-1818","52",,,,"33","19",
"Washington","Rolling Green Apts","2206 SE 44th Ave","Hillsboro","Quad Inc.","503-287-4260","24",,,"19","5",,
"Washington","Sierra West Apts","356 SE 12th Ave","Hillsboro","Cascade Management Inc.","503-640-9204","57",,,,"41","16",
"Washington","Smallwood Apts","1300 E Main St","Hillsboro","Sequoia MH Services","503-591-9280","17",,,,,,
"Washington","Sunset Gardens","951 SE 13th Ave","Hillsboro","Cascade Management Inc.","503-648-1400","98",,,,"1","95","2"
"Washington","Tarkington Square","357 N 1st Ave","Hillsboro","Infinity Property Management","503-648-3494","48",,,"47","1",,
"Washington","Villa Capri","1160 SE Washington","Hillsboro","Cascade Management Inc.","503-533-2277","63",,,"22","25","16",
"Washington","The Willows Apts","365 NW Adams St","Hillsboro","Sequoia MH Services","503-591-9280","8",,,,,,
"Washington","Woodland Park","280 SE 12th Ave","Hillsboro","Bridge Housing","503-693-1416","111",,,"48","48","15",
"Washington","Wyndhaven Apts","230 SW Edgeway Dr","Hillsboro","GSL Properties","503-614-9141","396",,,"119","117","160",
"Washington","Kaybern Terrace Apts","31380 NW Kaybern St","North Plains","Infinity Property Management","503-625-6555","12",,,"12",,,
"Washington","North Plains Senior Plaza","31484 NW Kaybern St","North Plains","Cascade Management Inc.","503-647-5335","33",,"2","31",,,
"Washington","Bethany Meadows","16145 NW Spartan Wy","Portland","GSL Properties","503-533-1000","340",,,"170","170",,
"Washington","Westridge Meadows","18476 NW Chemeketa Ln","Portland","GSL Properties","503-439-9098","276",,,"138","138",,
"Washington","Carriage Place","995 N Sherwood Blvd","Sherwood","Bowen Property Management","503-274-8406","24",,,"23","1",,
"Washington","Linnwood Apts","23455 SW Main","Sherwood","Viridian Management","503-925-0763","24",,,"4","16","4",
"Washington","Sherwood Park Apts","21961 SW Sherwood Blvd","Sherwood","Guardian Real Estate Services","503-625-7883","44",,,"40","4",,
"Washington","Stewart Terrace","1000 N Sherwood Blvd","Sherwood","Guardian Real Estate Services","503-625-1740","24",,,"24",,,
"Washington","Bonita Villa Apts","7520 SW Bonita Rd","Tigard","Infinity Property Management","503-684-9655","96",,,"12","72","12",
"Washington","Colonies Apts","14220 SW 112th Ave","Tigard","Infinity Property Management","503-639-7408","96",,,"40","56",,
"Washington","Edwin House","10855 SW Hall Blvd","Tigard","Luke-Dorf Inc.","503-726-3690","5","5",,,,,
"Washington","Greenburg Apts","11380 SW Greenburg Rd","Tigard","ColumbiaCare Services Inc.","541-858-8170","8",,,,,,
"Washington","Greenburg Oaks","11895 SW 91st Ave","Tigard","Income Property Management","503-639-6514","84",,,"12","60","12",
"Washington","Hawthorne Villa","7705 SW Pfaffle St","Tigard","Cascade Management Inc.","503-639-8158","118",,"30","83","5",,
"Washington","Hill Street Duplex","9283 SW Hill St","Tigard","Benchmark Properties","503-244-5702","2",,,,"2",,
"Washington","The Knoll","12291 SW Knoll Dr","Tigard","Income Property Management","503-718-7982","48",,,"45","3",,
"Washington","Metzger Park Apts","10025 SW 85th Ave","Tigard","Income Property Management","503-892-2340","32",,,"12","12","8",
"Washington","Sunflower Apts I","11547 SW 135th Ave","Tigard","ICM Resources, Inc.","503-524-5511","238",,,"168","70",,
"Washington","Village at Washington Square","11157 SW Hall Blvd","Tigard","Income Property Management","503-245-6990","20",,"1","7","5","7",
"Washington","Woodspring Apts","16100 SW 113th Ave","Tigard","Targa Real Estate Serv","503-639-7409","172",,,,"172",,
"Washington","Terrace View Apts","6685 SW Sagert St","Tualatin","GSL Properties","503-692-0290","100",,,"60","28","12",
"Washington","Tualatin Meadows","18755 SW 90th Ave","Tualatin","GSL Properties","503-885-9828","240",,,"120","120",,
"Washington","Woodridge Apts","11999 SW Tualatin Rd","Tualatin","GSL Properties","503-691-9085","264",,,"105","105","54",
