"overall_project_name","key_number","overall_description","overall_benefits","mntr_cd1","child_project_name","child_project_key_number","previous_project_cost","current_project_cost","previous_bid_opening_date","current_bid_opening_date","previous_completion_date","current_completion_date","create_date","region","opt","congressional_district","state_senate_district","state_representative_district"
"Port of Morrow","17119",,,,"PORT OF MORROW ACCESS IMPROVEMENTS","16794","7966063","10468560","5/24/2010","5/24/2010",,,"2/1/2019","5","L","2","29","57"
"Port of Morrow","17119","This project at the Port of Morrow consists of the installation of 25,000+ feet of roads extending to Highway 730 for east access to Port of Morrow East Beach Industrial Park. This project extends Lewis & Clark Drive in the Industrial Park to Highway 730.  <P>This new road will make a crossing over the Union Pacific Mainline and the West Extension Irrigation District canal. This also includes new roads in the park. Gar Swanson lane will be developed and connected to Lewis & Clark Drive.</P> 

<P>Work includes property acquisition, utility relocation and redistribution, excavation, placement of sub-grade and base, paving and 2 bridges.</P> 

<P>Special condition of approval is to complete an IAMP for the Port of Morrow (I84) Interchange that addresses access on US730. Must be developed and approved by the Local Jurisdiction and approved by the Transportation Commission prior to the expenditure of funds.</P>","This project will open up access to over 1600 acres of industrial zoned property.","Design work is complete and right-of-way is acquired.  All utilities are relocated.  75 percent of the roadway is paved.  Construction on the Lewis and Clark Bridge began in December 2013 and is complete. There is 0.75 miles of roadway to be constructed on Gar Swanson Road, and the Gar Swanson Bridge is in the design phase, and will go to bid for construction in 2016. All work will be completed in mid 2017.  Additionally, a right turn acceleration lane is is approved for construction on Highway 730 and may be added to the work pending final design.",,,,,,,,,,,,,,
"Port of Umatilla","17117",,,,"PORT OF UMATILLA ACCESS IMPROVEMENTS","16793","4366875","4438050","11/3/2009","11/3/2009",,,"5/31/2013","5","L","2","29","57"
"Port of Umatilla","17117","The current entrance to the Port of Umatilla terminals (grain, fuel, and containers), from Bud Draper Dr. north on Roxbury has a steep grade, an at-grade railroad crossing, and a hard hair-pin turn at the bottom. This proposal is to make the existing road a secondary access road and to construct a new road across Port land from Beach Access Rd. west to Launch Lane.  <P>The project consists of upgrading Beach Access Rd. to meet county standards for trucks. This includes building two intersections or one roundabout (engineer decision); constructing approximately 1 mile of new access road on Port property: improving entrances to the fuel dock and grain elevators and sleeve fuel dock piping under road; enhancing the Container Dock Entrance gate with safety bumpers, guard station, lights, and surveillance cameras; widening the hill portion of Roxbury including truck turnouts for the weigh station and at fuel dock; moving one existing scale to the new road; installing automated gate systems at the west exit of the container dock and Launch Lane, overlaying Bud Draper Drive and provide truck turnout at North end for scale, and providing signage for intersections, truck turnouts, dock entrance gates.</P> 

<P>Also included is some curb, sidewalk, lighting, signage, and drainage as required. The new entrance will lessen the grade, eliminate the at-grade railroad crossing, and eliminate the hair-pin corner. The trucks will have safer access to the respective terminals because of increased visibility, less grade, wider lanes, engineered truck turnouts, and no railroad crossing.</P>","This project will improve the capacity and safety of these facilities.","Construction is complete.  The project spent all but $ 62,260.",,,,,,,,,,,,,,
"City of Ontario","17115","This project in Ontario will make paving and intersection (including turning lanes and signal modifications) improvements on East Idaho Avenue between 4th Street and Idaho State Line.HB 2001 has $1.2 million set aside for an Ontario project. The city has approximately $800,000 that was collected from developers along the E Idaho corridor east of I-84. By combining City funds and HB 2001 funds, the City should be able to upgrade E Idaho west of the Snake River which includes grinding down the rutted pavement, overlaying the pavement, construct additional turn lanes at Goodfellow and E Lane, modify the traffic signals and redo the landscaping where necessary. ODOT will take the lead on the design for this project. No right of way acquisition will be necessary.","This project will improve the capacity and safety of these facilities.","Construction is Complete.",,,,,,,,,,,,,,
"City of Ontario","17115",,,,"E IDAHO AVE PAVING & TRAFFIC MOD (ONTARIO)","16792","2272834","2417701","9/22/2011","9/22/2011","9/15/2012","9/15/2012","5/31/2013","5","L","2","30","60"
"City of Milton-Freewater","17113",,,,"CITY STREET & PED IMPROVEMENTS (MILTON-FREEWATER)","16791","3136538","3005656","11/3/2009","11/3/2009",,,"5/31/2013","5","L","2","29","57"
"City of Milton-Freewater","17113","This project in Milton-Freewater will make paving and pedestrian improvements.  This project will (1) make paving and pedestrian improvements on S. Main St, (2) make pedestrian improvements on College St, (3) make paving, widening and pedestrian improvements on S. Mill St, (4) extend Key Blvd. to S. Main street, and (5) pave various city streets.","This project will improve the capacity and safety of these facilities.","Construction is complete.",,,,,,,,,,,,,,
"City of Heppner","17110",,,,"DRAINAGE/SLOPE & PEDESTRIAN IMPROVEMENTS (HEPPNER)","16790","1656000","1533655","11/3/2009","11/3/2009",,,"1/24/2014","5","L","2","29","57"
"City of Heppner","17110",,,,"BARRATT BLVD RECONSTRUCTION (HEPPNER)","16797","1779364","1759364","1/17/2013","1/17/2013","10/31/2013","10/31/2013","1/24/2014","5","L","2","29","57"
"City of Heppner","17110","This project in Heppner will provide pedestrian, drainage and slope stabilization improvements at various locations. The HB 2001 project is being accomplished by two separate projects: Draining, Slope, and Pedestrian Improvements (Heppner) and Barratt Blvd. Reconstruction (Heppner)The project will provide pedestrian, drainage and slope stabilization improvements at various locations within Heppner.","This project will improve the capacity and safety of these facilities.","Current status of the two different sub-projects:

DRAINAGE/SLOPE & PEDESTRIAN IMPROVEMENTS (HEPPNER): Project is complete.  This is the last update for this project.

BARRATT BLVD RECONSTRUCTION (HEPPNER): Project is complete.  This is the last update for this project.",,,,,,,,,,,,,,
"City of Nyssa","17108",,,,"LOCUST AVE & THIRD ST IMPROVEMENTS (NYSSA)","16789","1071505","994842","11/3/2009","11/3/2009",,,"2/14/2014","5","L","2","30","60"
"City of Nyssa","17108","This project in Nyssa will make numerous improvements to roadway facilities on Locust Avenue and 3rd Street. The work begins at US Highway 20-26/Thunderegg Blvd at Locust Avenue continues east to North 3rd Street then south on 3rd Street, and ends at Main Street/Hwy 20/26.  The City of Nyssa will construct two travel lanes on Locust Avenue including sub-base, base and asphalt, construct bike lane(s), parking and ADA compliant sidewalk on the south side of Locust Avenue from US 20-26 Thunderegg Blvd to 3rd Street. Constructing ADA pedestrian ramps and sidewalks, where needed, on one side of 3rd Street from Locust Avenue south on 3rd Street ending on Main/US 20-26. Storm drainage will be improved as required by the project. Project length along Locust Avenue is approximately 2600 feet.","<P>This project will improve the capacity, safety, sustainability, and connectivity  of these facilities.</P>
<P>Locust Avenue is the most feasible alternate route if the railroad underpass is blocked on US 20-26 at mile post 266.41, and 3rd is a collector street/truck route. This project will improve this major collector street that is in poor repair thus providing connectivity and provide ADA compliant sidewalk on one side of Locust Avenue and 3rd Street improving pedestrian safety and connectivity. Safety and Sustainability: Connectivity and safety for bicyclists and pedestrians linking residents to City Parks, local stores, and schools will help encourage the use of alternative modes of transportation and a “Green Community”. These elements will remove users from the traffic system, thereby reducing safety conflicts for all users. Installing ADA compliant sidewalks will keep pedestrians off the street and onto a safe path.</P>","The project is complete.  This is the last update for this project.",,,,,,,,,,,,,,
"Umatilla County","17106",,,,"OR334: ATHENA MAIN STREET IMPROVEMENTS","14678","2818286","2807749","4/26/2012","4/26/2012","10/25/2013","10/25/2013","3/11/2014","5","S","2","29","58"
"Umatilla County","17106",,,,"PENDLETON INDUSTRIAL PARK ACCESS IMPROVEMENTS","16801","1354771","2165312","9/30/2011","9/30/2011",,,"2/1/2019","5","L","2","29","58"
"Umatilla County","17106","This project in Umatilla County will reconstruct Stage Gulch Road, NW ""C"" Avenue, Daniel Road, Airport and NW ""A"" Avenue Intersection, and NW 50th street and airport road paving. The HB 2001 project is being accomplished by two separate projects: OR 332 @ Athena Street Improvements and Pendleton Industrial Park Access Improvements.  The project will also newly construct a road on the airport business park's eastern boundary and contribute $300,000 toward OR 334 Athena Main Street Improvements.","This project will improve the capacity and safety of these facilities.","CCurrent Status of the two sub-projects:

PENDLETON INDUSTRIAL PARK ACCESS IMPROVEMENTS: Initial construction is complete.  The Oregon Transportation Commission has approved expanded work to use remaining funds following a recommendation from the Northeast Area Commission on Transportation; The City is designing final work for completion in 2016.

OR334: ATHENA MAIN STREET IMPROVEMENTS: Construction is Complete.",,,,,,,,,,,,,,
"Union County","17104",,,,"12TH STREET IMPROVEMENTS (LA GRANDE)","16788","1300000","1300000","3/25/2010","3/25/2010",,,"5/31/2013","5","L","2","29","57"
"Union County","17104","This project in La Grande will make roadway improvements to South 12th Street/Bushnell Road. The project objective will be to improve safety for pedestrians, vehicular traffic, and bicyclists, correct deficient roadway structure, and correct existing roadway surface water deficiencies. <P>South 12th Street/Bushnell Road is partially under the jurisdiction of Union County and partially under the jurisdiction of the City of La Grande. Union county will be the lead agency on this project. The roadway provides a primary access to a major residential area in south La Grande, as well as a school bus route for this area of La Grande.</P> 

<P>This project connects to north 12th Street, which was reconstructed in 2008, and also connects to Gekeler Lane, which was reconstructed in 2007 (see attached vicinity Map). These combined projects provide vehicular, pedestrian, and bicycle access  to all of south La Grande and key transportation links to Grande Ronde Hospital, Eastern Oregon University, Highway 30/I-84, public schools, and downtown La Grande. Immediate access is provided to the new Veteran’s Clinic, which was constructed in 2008, Blue Mt. Conference Center, Oregon National Guard Armory, local commercial businesses, assisted living facilities, churches, etc.</P> 

<P>The existing paved roadway width is 20 feet, with no sidewalks, curbs, bike, lanes, and no roadway surface water management. The pavement condition is poor with very little base structure. This is the last section of 12th Street that does not have sidewalks or bicycle lanes.</P> 

<P>Roadway improvements will provide curb gutters, sidewalks, bicycle lanes, and a surface water management system. Safety is a major concern for pedestrians and bicyclists. A lack of surface water facilities results in runoff routing across adjacent residential and other private property. Appropriate base and HMAC pavement structure will be provided. Project length is approximately 4,500 feet.</P>","This project will improve roadway conditions, pedestrian facilities, and the surface water management system.","Construction is complete.",,,,,,,,,,,,,,
"Malheur County","17102",,,,"LYTLE BLVD & ASSOC STS REHAB & NW 36TH ST BR REPL","16800","5804408","5800198","7/29/2010","7/29/2010",,,"5/31/2013","5","L","2","30","60"
"Malheur County","17102","This project between Vale and Nyssa in Malheur County consists of paving, curb, gutter, sidewalk improvements, and bridge improvements. <P>Lytle and Enterprise are key components of a shortcut route between Vale and the Nyssa/Adrian area and points south. This route connects Hwy. 20 to Hwy. 201 and diverts traffic off of Hwy. 20/26. These roads barely survive on chip seals and are in desperate need of an overlay.</P> 

<P>Also included are 4 blocks of Glenn St. in Vale, a major collector that needs curb, gutter, sidewalk, and repaving.</P> 

<P>The concrete bridge on NW 36th St. was built in 1968. It is 80’ long and 24’wide (22’driving width). NW 36th St. is a major north-south collector near Ontario Serving both commuters and farm-to-market. The bridge deck is too narrow for today’s traffic, and the opining underneath is often too small for the Malheur River. These features create bottlenecks during busy traffic times and during high water events. The solution is a longer, higher, and wider bridge.</P.","This project will improve roadway conditions, pedestrian facilities, and the capacity of a concrete bridge.","36th Street bridge is complete and the ribbon cutting was on Oct 31 2012.  Lytle Boulevard was awarded to Knife River and is under construction.  It is anticipated that all funds will be expended.",,,,,,,,,,,,,,
"Harney County","17100",,,,"DOUBLE ""O""/NARROWS-PRINCETON & EAST STEENS RD","16787","4090231","4106000","11/3/2009","11/3/2009",,,"5/23/2014","5","L","2","30","60"
"Harney County","17100","This project in Harney County will reconstruct and widen Double ""O"" Road and East Steens Road.  It will also reconstruct widen and realign Narrows-Princeton Road.","This project will improve the capacity and safety of these facilities.","Constuction is complete, This is the last report on this project.",,,,,,,,,,,,,,
"Grant County","17098",,,,"WEST BENCH RD AND PINE CREEK BRIDGE(CANYON CITY)","16795","1198000","1198000","10/22/2009","10/22/2009",,,"5/31/2013","5","L","2","30","59"
"Grant County","17098","This project in Grant County will (1) widen West Bench Road from MP 1.9 to MP 2.8 to standardize with the rest of the road, (2) resurface the roadway from MP 1.9 to 3.7 and (3) replace Pine Creek Bridge (single lane structure) with a double lane structure to fit the width of the existing road.","This project will accommodate traffic and commercial needs.","Construction is complete.",,,,,,,,,,,,,,
"Baker County","17096",,,,"RESORT ST & BEST FRONTAGE RD IMPROVEMENTS (BAKER)","16802","7066146","7047253","2/28/2013","2/28/2013",,,"2/1/2019","5","L","2","30","60"
"Baker County","17096","Baker County and the City of Baker City have several street projects to complete utilizing funds from the Transportation Bill.  <P>The following describes and prioritize these projects:</P>
<P>Resort Street Improvements. Resort Street is an integral piece of Baker City’s transportation network. Serving as a collector for one of our largest commercial areas, the street provides a connection between Highway 7 and Highway 30, as well as an alternative route for traffic from Main Street (Highway 30). The scope of this project would include eight blocks between Campbell Street and Auburn. The street itself is in poor condition, the only commercial street in Baker City to receive such a designation in our adopted Pavement Management Plan. Large sections of the base have failed, the asphalt is severely cracked and the sidewalks are crumbling. A major overhaul is needed to make this street a viable alternative for the community. The scope of work includes a complete rebuild of the street and construction of new sidewalks, including street trees and pedestrian lighting. Best Frontage Road Improvements.</P>
<P>Another essential piece of Baker City and County’s transportation infrastructure is the completion of Best Frontage Road. East of Interstate 84, Best Frontage Road provides a co<p>nnection between Baker City’s two busiest interchanges (302 and 304). The scope of the project would be phased, depending on available funding. Improvements would include construction of a new street with curbs, gutters and sidewalks built to Baker County City standards. A multi-use path would be constructed on one side of the street for bicycle and pedestrian use. Street lighting would also be placed where needed. Our preference would be to complete the street between Exits 302 and 304, providing a connection from Highway 86 to Campbell Street and Highway 7. Any remaining funds would be used to rebuild sections of Best Frontage Road that are in disrepair.<P>","<P>The Resort Street portion of the project will improve the roadway surface, improve sidewalks, and provide a better pedestrian environment.</P>
<P>The Best Frontage Road work will open up a great deal of commercial property adjacent to the Interstate, giving us an opportunity to locate new businesses in our community.  It will also improve pedestrian and bicycle facilities.</P>","The Best Frontage Road Project is complete and Resort Street portion of the project is complete.  Some remaining JTA funds will go toward additional components within the project boundaries.

SB 258 (2013) transferred funds not needed from the Chandler Lane and Chico Road projects to the Baker County allocation.",,,,,,,,,,,,,,
