Hospital Name,Procedures Performed,Procedure Type,Observed Infections,Predicted Infections,2016 SIR,SIR 95% CI,SIR Interpretation (2006-08 US Baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
 1. All Oregon,10413,KPRO,48,61.67,0.778,"0.580, 1.023",Fewer infections,Target Not Met,71-75%,,,,https://data.oregon.gov/views/2dni-sbp5/files/d7dbdd4d-dac3-4c77-83e7-c0a31d8a9c8c,,,,
Adventist Medical Center,252,KPRO,1,1.65,0.606,"0.030, 2.987",Fewer infections,SIR Target (<0.75) Met,56-60%,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/2dni-sbp5/files/e94e0e81-c149-415f-bc87-7beeaac87d48,https://data.oregon.gov/views/2dni-sbp5/files/5139385f-021f-4993-a606-232182f910de,46,23,2410
Asante Rogue Regional Medical Center,354,KPRO,4,1.97,2.028,"0.644, 4.892",More infections,Target Not Met,96-100%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/2dni-sbp5/files/ca77cd26-15f5-41aa-b512-0e2fb144e2e8,,6,3,2367
Asante Three Rivers Medical Center,151,KPRO,1,0.82,*,*,#s too small to calculate,,*,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",,,3,2,2368
Ashland Community Hospital,126,KPRO,0,0.57,*,*,#s too small to calculate,ZERO Infections,*,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",,https://data.oregon.gov/views/2dni-sbp5/files/183baa95-bd51-4c9a-b4ea-623f78d29476,5,3,2367
Bay Area Hospital,229,KPRO,1,1.42,0.702,"0.035, 3.464",Fewer infections,SIR Target (<0.75) Met,66-70%,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/2dni-sbp5/files/dafeb1dd-5163-40f4-8457-4a07770639a9,https://data.oregon.gov/views/2dni-sbp5/files/96f9159a-7f22-4a4b-8085-c5e8619e2e80,9,5,2320
Columbia Memorial Hospital,51,KPRO,0,0.24,*,*,#s too small to calculate,ZERO Infections,*,CLATSOP,Region1,"2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",,https://data.oregon.gov/views/2dni-sbp5/files/a5639828-0fde-4638-94dd-e0dca5761fe1,32,16,2318
Coquille Valley Hospital District,33,KPRO,0,0.22,*,*,#s too small to calculate,ZERO Infections,*,COOS,Region3,"940 EAST 5TH STREET
COQUILLE 97423
(43.1794727, -124.1793669)",,https://data.oregon.gov/views/2dni-sbp5/files/d25fc881-1bd6-4893-8da9-210ed2a09f3e,1,1,2320
Good Samaritan Regional Medical Center,325,KPRO,0,1.97,0," , 1.518",Fewer infections,SIR Target (<0.75) Met & ZERO Infections,0-30%,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/2dni-sbp5/files/f14bea67-4517-4a33-b569-c508f2ffa190,https://data.oregon.gov/views/2dni-sbp5/files/3b7c37de-eb7f-42b6-9b94-422fe3e3f48f,16,8,2316
Good Shepherd Medical Center,113,KPRO,0,0.76,*,*,#s too small to calculate,ZERO Infections,*,UMATILLA,Region9,"610 NORTHWEST 11TH STREET
HERMISTON 97838
(45.8468145, -119.3084334)",,https://data.oregon.gov/views/2dni-sbp5/files/5bac3923-b6b3-4860-8b55-d05c924295f7,57,29,2413
Grande Ronde Hospital,63,KPRO,0,0.28,*,*,#s too small to calculate,ZERO Infections,*,UNION,Region9,"900 SUNSET DRIVE
LA GRANDE 97850
(45.3195774, -118.1084603)",,https://data.oregon.gov/views/2dni-sbp5/files/9b06918e-8e4f-4d62-9530-a9a9db8a87cb,58,29,2414
Kaiser Permanente Westside Medical Center,1043,KPRO,9,5.5,1.636,"0.798, 3.003",More infections,Target Not Met,91-95%,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",https://data.oregon.gov/views/2dni-sbp5/files/5317e60d-851c-4cf7-bf03-af8f55873ea0,,30,15,724
Legacy Emanuel Medical Center,85,KPRO,0,0.97,*,*,#s too small to calculate,ZERO Infections,*,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",,https://data.oregon.gov/views/2dni-sbp5/files/211fb949-055b-4393-aab0-57fdb9ca3186,43,22,2410
Legacy Good Samaritan Medical Center,192,KPRO,0,1.3,0," , 2.305",Fewer infections,SIR Target (<0.75) Met & ZERO Infections,0-30%,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/2dni-sbp5/files/5dc69c8a-d082-4c2e-a82a-1ad217842f25,https://data.oregon.gov/views/2dni-sbp5/files/06354ed9-e1b8-4a6c-be12-e3a3e55c558f,33,17,2410
Legacy Meridian Park Medical Center,588,KPRO,2,2.51,0.797,"0.134, 2.634",Fewer infections,Target Not Met,71-75%,CLACKAMAS,Region1,"19300 SOUTHWEST 65TH AVENUE
TUALATIN 97062
(45.3786716, -122.740804)",https://data.oregon.gov/views/2dni-sbp5/files/4aa190e1-7a62-43c1-8cf9-fa79d2c7150d,,37,19,2317
Legacy Mount Hood Medical Center,129,KPRO,0,0.57,*,*,#s too small to calculate,ZERO Infections,*,MULTNOMAH,Region1,"24800 SOUTHEAST STARK STREET
GRESHAM 97030
(45.5166262, -122.4070368)",,https://data.oregon.gov/views/2dni-sbp5/files/670c3e3c-4052-43b5-9db1-a07d83030abf,49,25,2410
McKenzie-Willamette Medical Center,101,KPRO,0,0.56,*,*,#s too small to calculate,ZERO Infections,*,LANE,Region3,"1460 G STREET
SPRINGFIELD 97477
(44.0530441, -123.0039526)",,https://data.oregon.gov/views/2dni-sbp5/files/cae36b09-155e-477b-bbd6-b78ac9240225,12,6,2371
Mercy Medical Center,220,KPRO,2,1.12,1.787,"0.300, 5.903",More infections,Target Not Met,91-95%,DOUGLAS,Region3,"2700 NORTHWEST STEWART PARKWAY
ROSEBURG 97470
(43.2414531, -123.3669708)",https://data.oregon.gov/views/2dni-sbp5/files/87ebfea1-4563-4f6b-9fc2-6c1152bb42fc,,2,1,2363
Mid-Columbia Medical Center,58,KPRO,0,0.27,*,*,#s too small to calculate,ZERO Infections,*,WASCO,Region6,"1700 EAST 19TH STREET
THE DALLES 97058
(45.5873161, -121.1644619)",,https://data.oregon.gov/views/2dni-sbp5/files/6af7732d-e83b-468a-b36f-dd92c1df05a3,59,30,2451
Oregon Health & Science University,334,KPRO,3,2.61,1.151,"0.293, 3.134",More infections,Target Not Met,81-85%,MULTNOMAH,Region1,"3181 SOUTHWEST SAM JACKSON PARK ROAD
PORTLAND 97239
(45.4989708, -122.6861182)",https://data.oregon.gov/views/2dni-sbp5/files/de4e07ce-eae7-4a05-99a3-1f93388dcff8,,36,18,2410
Peace Harbor Hospital,49,KPRO,0,0.34,*,*,#s too small to calculate,ZERO Infections,*,LANE,Region3,"400 9TH STREET
FLORENCE 97439
(43.9731003, -124.1174552)",,https://data.oregon.gov/views/2dni-sbp5/files/a885fcbe-4c66-4294-a519-194f98986d88,9,5,2371
Providence Hood River Memorial Hospital,99,KPRO,0,0.55,*,*,#s too small to calculate,ZERO Infections,*,HOOD RIVER,Region6,"810 12TH STREET
HOOD RIVER 97031
(45.7048557, -121.5243182)",,https://data.oregon.gov/views/2dni-sbp5/files/83ab306e-4744-4b77-9861-4f1eb6d2f15a,52,26,2366
Providence Medford Medical Center,222,KPRO,1,1.13,0.888,"0.044, 4.379",Fewer infections,Target Not Met,76-80%,JACKSON,Region5,"1111 CRATER LAKE AVENUE
MEDFORD 97504
(42.3396452, -122.8628254)",https://data.oregon.gov/views/2dni-sbp5/files/345f30a7-767f-45f0-aec8-b2d3198636e8,,6,3,2367
Providence Milwaukie Hospital,122,KPRO,0,0.64,*,*,#s too small to calculate,ZERO Infections,*,CLACKAMAS,Region1,"10150 SOUTHEAST 32ND AVENUE
PORTLAND 97222
(45.4495992, -122.6276076)",,https://data.oregon.gov/views/2dni-sbp5/files/739fd45f-d348-49a1-90fd-960d32a199fb,41,21,2317
Providence Newberg Medical Center,93,KPRO,1,0.36,*,*,#s too small to calculate,,*,YAMHILL,Region2,"1001 PROVIDENCE DRIVE
NEWBERG 97132
(45.3081804, -122.9358992)",,,25,13,2453
