"Agency, Board, Commission, Branch",Meeting Title,Short Description,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Transportation Department,Oregon Transportation Safety Committee (OTSC),"Under ORS 802.300: (1) The Transportation Safety Committee is created within the Department of Transportation to advise the department and the Oregon Transportation Commission concerning the functions described under ORS 802.310 and to perform any other functions related to transportation safety that the commission delegates. The committee established under this section shall consist of five members appointed by the Governor on the recommendation of the commission. The term of office of each member is four years. Before the expiration of the term of a member, the Governor shall appoint a successor. A member is eligible for reappointment. In case of a vacancy for any cause, the Governor shall appoint a person to fill the office for the unexpired term.",12/14/2022 12:00:00 PM,ODOT TLC in Salem or Virtually,Salem,OR,Please see weblink for more information.,,Alycen Ozawa,503-986-3883,alycen.ozawa@odot.oregon.gov,,,,,,,true,,,,,,,,
Transportation Department,Oregon Transportation Safety Committee (OTSC),"Under ORS 802.300: (1) The Transportation Safety Committee is created within the Department of Transportation to advise the department and the Oregon Transportation Commission concerning the functions described under ORS 802.310 and to perform any other functions related to transportation safety that the commission delegates. The committee established under this section shall consist of five members appointed by the Governor on the recommendation of the commission. The term of office of each member is four years. Before the expiration of the term of a member, the Governor shall appoint a successor. A member is eligible for reappointment. In case of a vacancy for any cause, the Governor shall appoint a person to fill the office for the unexpired term.",11/16/2022 12:00:00 PM,ODOT TLC in Salem or Virtually,Salem,OR,Please see weblink for more information.,,Alycen Ozawa,503-986-3883,alycen.ozawa@odot.oregon.gov,,,,,,,true,,,,,,,,
Transportation Department,Oregon Transportation Safety Committee (OTSC),"Under ORS 802.300: (1) The Transportation Safety Committee is created within the Department of Transportation to advise the department and the Oregon Transportation Commission concerning the functions described under ORS 802.310 and to perform any other functions related to transportation safety that the commission delegates. The committee established under this section shall consist of five members appointed by the Governor on the recommendation of the commission. The term of office of each member is four years. Before the expiration of the term of a member, the Governor shall appoint a successor. A member is eligible for reappointment. In case of a vacancy for any cause, the Governor shall appoint a person to fill the office for the unexpired term.",10/12/2022 12:00:00 PM,ODOT TLC in Salem or Virtually,Salem,OR,Please see weblink for more information.,,Alycen Ozawa,503-986-3883,alycen.ozawa@odot.oregon.gov,,,,,,,true,,,,,,,,
Transportation Department,Historic Columbia River Highway Advisory Committee,"The Oregon Legislature created the Historic Columbia River Highway Advisory Committee in 1987 (ORS 366.550) to make recommendations to ODOT and OPRD concerning the Historic Highway.  Membership includes representatives from ODOT, OPRD, the State Historic Preservation Office, and the Oregon Tourism Commission. Six private citizens are on the committee, two from each of the three counties (Multnomah, Hood River and Wasco).",09/15/2022 02:00:00 PM,"Hood River County Library, 502 State Street and Zoom",Hood River,OR,,,Terra Lingley,,Terra.m.lingley@odot.oregon.gov,,,,,503-731-4128,,true,,,,https://www.oregon.gov/odot/Regions/Pages/HCRH-Advisory-Committee.aspx,,,,
Transportation Department,Oregon Transportation Safety Committee (OTSC),"Under ORS 802.300: (1) The Transportation Safety Committee is created within the Department of Transportation to advise the department and the Oregon Transportation Commission concerning the functions described under ORS 802.310 and to perform any other functions related to transportation safety that the commission delegates. The committee established under this section shall consist of five members appointed by the Governor on the recommendation of the commission. The term of office of each member is four years. Before the expiration of the term of a member, the Governor shall appoint a successor. A member is eligible for reappointment. In case of a vacancy for any cause, the Governor shall appoint a person to fill the office for the unexpired term.",09/14/2022 12:00:00 PM,ODOT TLC in Salem or Virtually,Salem,OR,Please see weblink for more information.,,Alycen Ozawa,503-986-3883,alycen.ozawa@odot.oregon.gov,,,,,,,true,,,,,,,,
Transportation Department,Region 1 Area Commission on Transportation,"The Region 1 Area Commission on Transportation, also known as R1ACT, is an advisory body established to provide a forum for stakeholders to collaborate on transportation issues affecting Oregon Department of Transportation Region 1.",08/01/2022 07:30:00 PM,Zoom,Portland,OR,,Yes,Chris Ford,,Chris.Ford@odot.oregon.gov,,,,,,,true,,,,,,,,
Transportation Department,Historic Columbia River Highway Advisory Committee,"The Oregon Legislature created the Historic Columbia River Highway Advisory Committee in 1987 (ORS 366.550) to make recommendations to ODOT and OPRD concerning the Historic Highway.  Membership includes representatives from ODOT, OPRD, the State Historic Preservation Office, and the Oregon Tourism Commission. Six private citizens are on the committee, two from each of the three counties (Multnomah, Hood River and Wasco).",06/16/2022 03:00:00 PM,"234 SW Kendall Ct, Troutdale, and Online via Zoom",Troutdale,OR,,,Terra Lingley,,Terra.m.lingley@odot.oregon.gov,,,,,,,true,https://us02web.zoom.us/j/84239291875?pwd=MlJmZXR5TWFMTXZJTFpEY2VxdkRvUT09  (https://us02web.zoom.us/j/84239291875?pwd=MlJmZXR5TWFMTXZJTFpEY2VxdkRvUT09%20),,,https://www.oregon.gov/odot/Regions/Pages/HCRH-Advisory-Committee.aspx,,,,
Transportation Department,Region 1 Area Commission on Transportation,"The Region 1 Area Commission on Transportation, also known as R1ACT, is an advisory body established to provide a forum for stakeholders to collaborate on transportation issues affecting Oregon Department of Transportation Region 1.",06/06/2022 07:30:00 PM,Zoom,Portland,OR,,,Chris Ford,,Chris.Ford@odot.oregon.gov,,,,,503-731-4128,,true,https://us02web.zoom.us/j/81324004342,1 253 215 8782,813 2400 4342,https://www.oregon.gov/odot/Get-Involved/Documents/06062022-R1ACT-agenda.pdf,,,,
Transportation Department,Connect Oregon Online Public Hearing,,04/20/2022 02:00:00 PM,online,Salem,OR,"Opportunity for interested parties to comment on this cycle of the Connect Oregon competitive grant program. Interested parties must sign-up to speak via the program website at http://www.oregon.gov/odot/Programs/Pages/ConnectOregon.aspx  Alternatively, for those who wish to comment but who are unable or do not wish to speak at the April 20 public meeting may choose to send in written comments to ODOT staff to be included as part of the record that goes to the Oregon Transportation Commission as part of the package of materials for Connect Oregon. Meeting link will be posted at program website.",Yes,John Boren,5410000000,john.boren@odot.oregon.gov,,,,,,,true,http://www.oregon.gov/odot/Programs/Pages/ConnectOregon.aspx,,,,,,,
Transportation Department,Connect Oregon Final Review Committee,,04/06/2022 05:00:00 PM,Virtual - Zoom,Salem,OR,"The Final Review Committee (FRC) will deliberate and come to a recommendation on which projects to fund that the Oregon Transportation Commission should fund for the 2021 Connect Oregon competitive grant cycle. The FRC will review a combined list of recommendations from each modal committee (aviation, marine, rail and freight) and from the Region Review Committees from all 5 ODOT Regions. The FRC is charged with reviewing the 49 eligible projects totaling $126 million in requested funds and determining which projects best meet the statutory considerations for the program which focus on investment in non-highway modes of transportation that result in a more strong, diverse and efficient transportation system.
Detailed meeting information and access links will be posted on the program page at https://www.oregon.gov/odot/programs/pages/connectoregon.aspx
",,John Boren,503-986-3703,john.boren@odot.oregon.gov,,,,,,,true,,,,https://www.oregon.gov/odot/programs/pages/connectoregon.aspx,,,,
