Hospital Name,Procedures Performed,Procedure Type,Complex SSIs,Predicted SSIs,SIR,SIR 95% CI,SIR Icon,SIR Interpretation (2006-08 US baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,Location,Location 1,2010 House Districts,2010 Senate Districts,Counties
Adventist Medical Center,64,COLO,3,1.54,1.943,"0.494, 5.287",https://data.oregon.gov/views/3pn4-9cmx/files/230bccc8-19e6-4588-aafe-103f20c9a15b,More infections,Target Not Met,86-90%,MULTNOMAH,Region1,"(45.512666, -122.5585885)","10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",46,23,2410
 All Oregon,3870,COLO,77,117,0.658,"0.523, 0.818",https://data.oregon.gov/views/3pn4-9cmx/files/888c6537-abe2-4cc9-b1d5-2abeeafa5b9b,Statistically fewer infections,SIR Target (<0.75) Met,41-45%,,,,,,,
Asante Rogue Regional Medical Center,173,COLO,0,4.13,0," , 0.726",https://data.oregon.gov/views/3pn4-9cmx/files/3ab07934-4f99-4200-be34-6b5d939e0561,Statistically fewer infections,SIR Target (<0.75) Met & ZERO Infections,0-15%,JACKSON,Region5,"(42.3174104, -122.8302961)","2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",6,3,2367
Asante Three Rivers Medical Center,97,COLO,1,2.52,0.397,"0.020, 1.959",https://data.oregon.gov/views/3pn4-9cmx/files/2a261ac2-cbde-4a97-b403-33589413c8be,Fewer infections,SIR Target (<0.75) Met,26-30%,JOSEPHINE,Region5,"(42.4212882, -123.3428747)","500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",3,2,2368
Ashland Community Hospital,13,COLO,0,0.36, *, *,,#s too small to calculate,ZERO Infections,,JACKSON,Region5,"(42.2057909, -122.7247932)","280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",5,3,2367
Bay Area Hospital,56,COLO,0,1.25,0," , 2.398",https://data.oregon.gov/views/3pn4-9cmx/files/90a5a054-71d2-498a-b701-f57df096f86b,Fewer infections,SIR Target (<0.75) Met & ZERO Infections,0-15%,COOS,Region3,"(43.3835349, -124.2329741)","1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",9,5,2320
Columbia Memorial Hospital,5,COLO,0,0.16, *, *,,#s too small to calculate,ZERO Infections,,CLATSOP,Region1,"(46.1877604, -123.8190951)","2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",32,16,2318
Curry General Hospital,0,COLO,0,0, *, *,,#s too small to calculate,ZERO Infections,,CURRY,Region3,"(42.4113416, -124.4184903)","94220 4TH STREET
GOLD BEACH 97444
(42.4113416, -124.4184903)",1,1,2321
Good Samaritan Regional Medical Center,116,COLO,4,2.88,1.389,"0.441, 3.352",https://data.oregon.gov/views/3pn4-9cmx/files/6f0fc7e3-9207-4c81-83e2-b17d229bc5bc,More infections,Target Not Met,76-80%,BENTON,Region2,"(44.6034337, -123.2523328)","3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",16,8,2316
Grande Ronde Hospital,18,COLO,0,0.4, *, *,,#s too small to calculate,ZERO Infections,,UNION,Region9,"(45.3195774, -118.1084603)","900 SUNSET DRIVE
LA GRANDE 97850
(45.3195774, -118.1084603)",58,29,2414
