"fiscal_year","classification","salary","full_part_time","service_type","agency","agency_1"
"2021","ADMINISTRATIVE SUPPORT","64068","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","99192","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","PROTECTIVE SERVICES WORKERS","70272","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","ADMINISTRATIVE SUPPORT","63948","FULL-TIME LD","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","OFFICIALS AND ADMINISTRATORS","131220","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","102576","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","TECHNICIANS","75804","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROTECTIVE SERVICES WORKERS","71112","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","87252","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","ADMINISTRATIVE SUPPORT","63948","FULL-TIME LD","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","OFFICIALS AND ADMINISTRATORS","154980","FULL-TIME","EXECUTIVE SERVICE","LOTTERY, OREGON STATE","17700"
"2021","OFFICIALS AND ADMINISTRATORS","135396","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","OFFICIALS AND ADMINISTRATORS","214932","FULL-TIME","EXECUTIVE SERVICE","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","106716","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","TECHNICIANS","70380","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","TECHNICIANS","75804","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","TECHNICIANS","48672","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROTECTIVE SERVICES WORKERS","71112","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","87252","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","87252","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","ADMINISTRATIVE SUPPORT","65640","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","ADMINISTRATIVE SUPPORT","66372","FULL-TIME","UNREPRESENTED","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","119088","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","PROFESSIONALS","102588","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
"2021","ADMINISTRATIVE SUPPORT","75804","FULL-TIME","MANAGEMENT SERVICE","LOTTERY, OREGON STATE","17700"
