"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,Webinar/Webcast Link,Owner,Agenda Upload,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Accountancy State Board,Board meeting (day 2),,09/18/2020 08:30:00 AM,09/18/2020 02:00:00 PM,Zoom, Salem,OR,Contact the Board office at 503-378-4181 to receive information about the Zoom meeting.,,Julie Nadeau,,julie.nadeau@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,"review investigation files, discuss board business, approve applications for licensure",01/30/2020 08:30:00 AM,01/30/2020 04:00:00 PM,3218 Pringle Rd SE, Salem,OR,,Yes,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee (BOACC),Review investigation cases,08/07/2020 08:30:00 AM,08/07/2020 03:00:00 PM,To be determined, Salem,OR,,,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,"review investigation files, discuss board business, approve applications for licensure",12/17/2020 08:30:00 AM,12/17/2020 03:00:00 PM,To be determined,salem,OR,,,Joel Parks ,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,"review investigation files, discuss board business, approve applications for licensure",05/21/2020 08:30:00 AM,05/21/2020 04:00:00 PM,To be determined, Salem,OR,,Yes,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee (BOACC),Review investigation cases,01/06/2020 08:30:00 AM,01/06/2020 02:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee (BOACC),Review investigation cases,11/15/2019 08:30:00 AM,11/15/2019 01:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,"review investigation files, discuss board business, approve applications for licensure",09/17/2020 08:30:00 AM,09/18/2020 12:00:00 PM,To be determined, Salem,OR,,,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Qualifications Committee,"Review of Industry, Government Licensing Applications",01/13/2020 09:00:00 AM,01/13/2020 01:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Stacey Janes,5033782264,stacey.janes@oregon.gov,,,,,5033782264,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee (BOACC),Review investigation cases,04/24/2020 08:30:00 AM,04/24/2020 03:00:00 PM,3218 Pringle Rd SE - Large Conference Room, Salem,OR,,,Joel Parks,5033782270,joel.parks@oregon.gov,,,,,5033782270,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,"Review Proposed Rules, investigation reports and licensing matters",12/06/2019 08:30:00 AM,12/06/2019 02:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Julie Nadeau,503-378-2270,julie.nadeau@oregon.gov,,,,Joel Parks,503-378-2270,joel.parks@oregon.gov,,,,,,,,,,,,
Accountancy State Board,Laws and Rules Task Force,Develop and review possible rule amendments,06/17/2014 10:30:00 AM,,"Board of Accountancy Office, 2nd Floor Conference Room", Salem,OR,,,Kimberly Fast,,kimberly.fast@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/7EG6dP7jpff6erTmmq69oUhvdbI4zftkh5OluogNZcE?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Continuing Professional Education Meeting,Review Municipal Auditor Roster Applications,01/29/2014 01:30:00 PM,,Conference Call, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/KyCw_feb7L0Z-d_NJowsm49yvEvi6g2KzcRY8gN_pQ0?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
