Hospital Name,Patient Days,Observed Infections,Predicted Infections,2015 SIR,SIR 95% CI,SIR Interpretation (2010-11 US baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,(none),Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
1. All Oregon,1395478,909,1034.81,0.878,"0.823, 0.937",Statistically fewer infections,Target Not Met,56-60%,,,,,https://data.oregon.gov/views/2wwz-gfew/files/b540ebee-7e13-41ee-9a64-94382598f3ac,,,,
Adventist Medical Center,28948,9,26.32,0.342,"0.167, 0.627",Statistically fewer infections,SIR Target (<0.7) Met,21-25%,MULTNOMAH,Region1,(45.512666,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/2wwz-gfew/files/2c90f574-a382-4029-8f13-47392873b0e4,https://data.oregon.gov/views/2wwz-gfew/files/1a801f78-8020-4738-b035-2d8d4bfb3599,46,23,2410
Asante Rogue Regional Medical Center,66927,58,60.41,0.96,"0.736, 1.232",Fewer infections,Target Not Met,61-65%,JACKSON,Region5,(42.317410,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/2wwz-gfew/files/46d7c05d-12ef-4306-ba5a-1fccb5bf36b4,,6,3,2367
Asante Three Rivers Medical Center,27618,11,20.84,0.528,"0.278, 0.917",Statistically fewer infections,SIR Target (<0.7) Met,31-35%,JOSEPHINE,Region5,(42.421288,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/2wwz-gfew/files/28c46f8e-b9fb-43c9-a379-08b6c0a2e9ef,https://data.oregon.gov/views/2wwz-gfew/files/48712fb4-8350-4375-8cb8-58d3d8eeee28,3,2,2368
Ashland Community Hospital,4516,6,3.27,1.836,"0.744, 3.819",More infections,Target Not Met,96-100%,JACKSON,Region5,(42.205790,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",https://data.oregon.gov/views/2wwz-gfew/files/ebfcebed-1bc2-4355-8eba-379ea3c8556a,,5,3,2367
Bay Area Hospital,25767,19,17.84,1.065,"0.660, 1.632",More infections,Target Not Met,71-75%,COOS,Region3,(43.383534,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/2wwz-gfew/files/8204c3d4-97a6-4a10-9fed-a12787ddd511,,9,5,2320
Blue Mountain Hospital,504,0,,*,*,Neither predicted number of infections nor SIRs were generated because hospitals did not submit data to NHSN,ZERO Infections,,GRANT,Region7,(44.417134,"170 FORD ROAD
JOHN DAY 97845
(44.417134, -118.9595777)",,https://data.oregon.gov/views/2wwz-gfew/files/291b282c-ea2b-4c5b-8fe2-91ef3d7722ac,60,30,2365
Columbia Memorial Hospital,3899,0,1.73,0," , 1.731",Fewer infections,SIR Target (<0.7) Met & ZERO Infections,0-10%,CLATSOP,Region1,(46.187760,"2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",https://data.oregon.gov/views/2wwz-gfew/files/532d01e2-1105-458b-aad3-cca1d8b13a9f,https://data.oregon.gov/views/2wwz-gfew/files/b4a29abe-396f-448a-a199-27542be12707,32,16,2318
Coquille Valley Hospital District,1562,1,0.85,*,*,#s too small to calculate,,,COOS,Region3,,"940 EAST 5TH STREET
COQUILLE 97423
(43.1794727, -124.1793669)",,,1,1,2320
Cottage Grove Community Hospital,1377,0,0.86, *,*,#s too small to calculate,ZERO Infections,,LANE,Region3,(43.803706,"1515 VILLAGE DRIVE
COTTAGE GROVE 97424
(43.8037061, -123.0394123)",,https://data.oregon.gov/views/2wwz-gfew/files/551f909a-8ae2-47db-935a-40b5be87c905,7,4,2371
Curry General Hospital,1100,0,0.5, *,*,#s too small to calculate,ZERO Infections,,CURRY,Region3,(42.411341,"94220 4TH STREET
GOLD BEACH 97444
(42.4113416, -124.4184903)",,https://data.oregon.gov/views/2wwz-gfew/files/8435b52f-eca5-4659-af9c-1d41e60f452f,1,1,2321
Good Samaritan Regional Medical Center,37415,13,25,0.52,"0.289, 0.867",Statistically fewer infections,SIR Target (<0.7) Met,26-30%,BENTON,Region2,(44.603433,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/2wwz-gfew/files/bc1b4f1f-e4bb-4451-82be-83e7ad2d456b,https://data.oregon.gov/views/2wwz-gfew/files/0146def0-7433-4e81-a78c-164c7e3c0871,16,8,2316
Good Shepherd Medical Center,5572,0,3.79,0," , 0.791",Statistically fewer infections,SIR Target (<0.7) Met & ZERO Infections,0-10%,UMATILLA,Region9,(45.846814,"610 NORTHWEST 11TH STREET
HERMISTON 97838
(45.8468145, -119.3084334)",https://data.oregon.gov/views/2wwz-gfew/files/a47e7055-9c25-421a-a4b2-cef8b183682f,https://data.oregon.gov/views/2wwz-gfew/files/ec8e2562-88a5-4439-adb5-b6a8a08c07f1,57,29,2413
Grande Ronde Hospital,5280,3,2.1,1.431,"0.364, 3.894",More infections,Target Not Met,86-90%,UNION,Region9,(45.319577,"900 SUNSET DRIVE
LA GRANDE 97850
(45.3195774, -118.1084603)",https://data.oregon.gov/views/2wwz-gfew/files/2c4a7c71-8ad7-41ff-9908-17ce9569c10e,,58,29,2414
