"fiscal_year","contract_id","award_title","contract_classification","contractor_name","street1","city","state_province","postal_code","effective_date","supplemental_effective_date","expiration_date","supplemental_expiration_date","contract_nte_amount","supplemental_contract_amount"
"2021","3173","Membership Dues","Services","Society for Human Resource Management","1800 Duke Street","Alexandria","VA","22314-3499","2020-08-01T00:00:00.000",,"2021-07-31T00:00:00.000",,"219.00",
"2021","3441","Oregon Arts Commission - Proposal fee","Services","Grade Brinkley Team","9704 Beacon Ave South","Seattle","WA","98118","2020-11-01T00:00:00.000",,"2021-02-28T00:00:00.000",,"2000.00",
"2021","3624","Software Development Package Renewal","Goods","SHI International Corp","290 Davidson Ave","Somerset","NJ","8873","2021-02-21T00:00:00.000",,"2022-02-20T00:00:00.000",,"519.79",
"2021","3169","IT Software License Renewal","Services","SHI International Corp","290 Davidson Ave","Somerset","NJ","8873","2020-07-31T00:00:00.000",,"2021-07-30T00:00:00.000",,"55934.14",
"2021","3749","IT Hardware","Goods","CDW Government LLC","230 N Milwaukee Ave","Vernon Hills","IL","60061","2021-04-15T00:00:00.000",,"2021-11-30T00:00:00.000",,"57680.23",
"2021","3445","Oregon Arts Commission - Proposal fee","Services","Deb Stoner","933 SE River Forest Ct","Milwaukie","OR","97267","2020-11-01T00:00:00.000",,"2021-02-28T00:00:00.000",,"1000.00",
"2021","3466","Training Registration","Services","Business Management Daily","7600A Leesburg Pike, West Building","Falls Church","VA","22043","2020-11-19T00:00:00.000",,"2020-11-19T00:00:00.000",,"197.00",
"2021","3623","Software Development Package Renewal","Services","SHI International Corp","290 Davidson Ave","Somerset","NJ","8873","2021-02-21T00:00:00.000",,"2022-02-20T00:00:00.000",,"591.51",
"2021","3811","Climate Consultant","Services","Manifest Climate","1255 Bay Street Suite 801","Toronto","Ontario","M5R 2A9","2021-05-07T00:00:00.000",,"2022-05-06T00:00:00.000",,"144800.00",
"2021","3167","CFA Membership Renewal","Services","CFA Institute","915 East High Street","Charlottesville","VA","22902","2020-07-01T00:00:00.000",,"2021-06-30T00:00:00.000",,"350.00",
"2021","3266","Training Registration","Services","Government Finance Officers Association","203 N LaSalle Street","Chicago","IL","60601","2020-07-16T00:00:00.000",,"2020-12-03T00:00:00.000",,"125.00",
"2021","3750","Membership Dues Renewal","Services","CAIA - Chartered Alternative Investment Analyst Association","100 University Dr","Amherst","MA","1002","2021-06-01T00:00:00.000",,"2022-05-31T00:00:00.000",,"350.00",
"2021","3598","Art In Secured Area of Resilient Building","Goods","Deb Stoner","933 SE River Forest Ct","Milwaukie","OR","97267","2021-02-01T00:00:00.000",,"2022-06-30T00:00:00.000",,"15000.00",
"2021","3446","Underwriting Services","Services","JP Morgan Securities LLC","383 Madison Avenue","New York","NY","10179","2020-10-16T00:00:00.000",,"2022-01-28T00:00:00.000",,"0.00",
"2021","3391","MSCI Factor ESG Target Index","Services","MSCI","101 California Street","San Francisco","CA","94111","2020-09-08T00:00:00.000",,"2021-09-07T00:00:00.000",,"22400.00",
"2021","3465","Training Registration","Services","Business Management Daily","7600A Leesburg Pike, West Building","Falls Church","VA","22043","2020-11-19T00:00:00.000",,"2020-11-19T00:00:00.000",,"197.00",
"2021","3550","Membership Dues","Services","P2F2","P.O. Box 33","Hilliard","OH","43026","2021-01-01T00:00:00.000",,"2021-12-31T00:00:00.000",,"200.00",
"2021","3622","Office Supplies","Goods","Amazon.com, Inc.","410 Terry Ave N","Seattle","WA","98109","2021-02-04T00:00:00.000",,"2021-02-28T00:00:00.000",,"11.58",
"2021","3714","Electronic Trading System & Communication","Services","Tradeweb LLC","1177 Avenue of the Americas","New York","NY","10036","2021-03-24T00:00:00.000",,"2025-03-23T00:00:00.000",,"100000.00",
"2021","3810","License Renewal","Goods","Meeting Zone","1221 S. Clarkson St, STE 122","Denver","CO","80210","2021-05-18T00:00:00.000",,"2022-05-17T00:00:00.000",,"4800.00",
"2021","3305","IT Software Renewal","Services","SHI International Corp","290 Davidson Ave","Somerset","NJ","8873","2020-09-29T00:00:00.000",,"2021-09-28T00:00:00.000",,"25965.75",
"2021","3227","Membership Dues Renewal","Services","Oregon Government Finance Officer Association (OGFOA)","P.O. Box 995","Canby","Oregon","97013","2020-07-01T00:00:00.000",,"2021-06-30T00:00:00.000",,"220.00",
"2021","3264","Training Registration","Services","Government Finance Officers Association","203 N LaSalle Street","Chicago","IL","60601","2020-07-16T00:00:00.000",,"2020-12-04T00:00:00.000",,"125.00",
"2021","3280","Membership Dues Renewal","Services","Project Management Institute","14 Campus Blvd","Newtown Square","PA","19073","2020-12-01T00:00:00.000",,"2021-11-30T00:00:00.000",,"129.00",
"2021","3872","Subscription Dues","Services","Arizent","1 State Street Plaza","New York","New York","10004","2021-06-12T00:00:00.000",,"2022-06-11T00:00:00.000",,"6600.00",
"2021","3752","Certification Fee","Services","DAMA International, IInc.",,,,,"2021-04-19T00:00:00.000",,"2021-04-30T00:00:00.000",,"300.00",
"2021","3670","Training Pass Registration","Services","WOBI - World of Business Ideas","33 East 33rd Street","New York","New York","10016","2021-03-02T00:00:00.000",,"2021-12-16T00:00:00.000",,"790.00",
"2021","3600","Services","Services","1099Express.com","512 Woodlake Dr,","McQueeney","TX","78123","2021-01-26T00:00:00.000",,"2021-02-28T00:00:00.000",,"28.96",
"2021","3526","IT Software","Goods and Services","SHI International Corp","290 Davidson Ave","Somerset","NJ","8873","2020-12-04T00:00:00.000",,"2021-12-04T00:00:00.000",,"3335.00",
"2021","3448","Subscription","Services","NewRetirement",,,,,"2020-10-21T00:00:00.000",,"2021-10-21T00:00:00.000",,"72.00",
"2021","3354","Training Registration","Services","Oregon Department of Administrative Services","155 Cottage St NE","Salem","OR","97301","2020-09-01T00:00:00.000",,"2020-09-30T00:00:00.000",,"0.00",
"2021","3390","Financial Advisor Services for OFA","Services","Wye River Group","122 Severn Avenue","Annapolis","MD","21403","2020-10-01T00:00:00.000",,"2023-09-30T00:00:00.000",,"250000.00",
"2021","3428","IT Computer Bundle","Goods","CDW Government LLC","230 N Milwaukee Ave","Vernon Hills","IL","60061","2020-10-19T00:00:00.000",,"2020-11-02T00:00:00.000",,"1702.07",
