Org Name,County,Phone,Fax,Location 1,Website,Hours,2010 House Districts,2010 Senate Districts,Counties
Clackamas County Social Services,Clackamas,503-655-8640,503-650-5722,"2051 Kaen Rd SE
Oregon City, OR 97045
(45.33227, -122.598683)",http://www.clackamas.us/socialservices/,"Monday through Thursday, 7 a.m. to 6 p.m.",40,20,2317
Community Action Organization,Washington,503-648-6646,503-648-4175,"1001 SW Baseline St
Hillsboro, OR 97123
(45.519968, -123.000685)",https://caowash.org/,"Monday through Friday, 8:30 a.m. to 5 p.m.",29,15,724
Community Action Program of East Central Oregon (CAPECO),Umatilla,541-276-1926,541-276-7541,"1565 N First St #1
Hermiston, OR 97838
(45.852717, -119.290141)",http://www.capeco-works.org/index.htm,"Monday through Friday, 8 a.m. to 5 p.m. (closed Noon to 1 p.m.)",57,29,2413
Community Action Program of East Central Oregon (CAPECO),Umatilla,541-276-1926,541-276-7541,"721 SE 3rd St Ste D
Pendleton, OR 97801
(45.667803, -118.781082)",http://www.capeco-works.org/index.htm,"Monday through Friday, 8 a.m. to 5 p.m. (closed Noon to 1 p.m.)",58,29,2413
Community Action Resource Enterprises (CARE),Tillamook,503-842-5261,503-842-5821,"2310 First St, Suite 2
Tillamook, OR 97141
(45.457179, -123.840417)",https://www.careinc.org/,"Monday through Friday, 9 a.m. to 6 p.m. (closed 11:30 a.m. to Noon)",32,16,2412
Community In Action,Malheur,541-889-9555,541-889-0768,"915 SW 3rd Ave
Ontario, OR 97914
(44.025836, -116.975296)",http://www.communityinaction.info/,"Monday through Friday, 9 a.m. to 4 p.m.",60,30,2408
Community In Action - Harney Senior Center,Harney,541-889-9555,541-889-0768,"17 S Alder
Burns, OR 97720
(43.585843, -119.053366)",http://www.communityinaction.info/,"Monday through Friday, 9 a.m. to 4 p.m.",60,30,720
Crook County Health and Human Services,Crook,541-447-3260,541-447-8570,"422 NW Beaver St
Prineville, OR 97754
(44.30443, -120.848319)",http://www.co.crook.or.us/Departments/HealthDepartment/HealthHome/tabid/2169/Default.aspx,"Monday through Friday, 8 a.m. to 5 p.m. (closed Noon to 1 p.m.)",55,28,719
Deschutes County Health Service - Behavioral Health Division,Deschutes,541-330-4638,541-330-4630-,"1128 NW Harriman
Bend, OR 97703
(44.061079, -121.310151)",https://www.deschutes.org/health/page/behavioral-health,"Monday through Friday, 8 a.m. to 5 p.m.",54,27,2362
HOAP (Homeless Outreach & Advocacy Project),Marion,503-588-5827,503-315-0714,"694 Church St NE
Salem, OR 97301
(44.945693, -123.032326)",http://www.northwesthumanservices.org/HOAP.html,"Monday through Friday, 9 a.m. to 2 p.m.",21,11,2409
Just Compassion of East Washington County,Washington,503-624-4666,,"12280 SW Hall Blvd
Tigard, OR 97224
(45.431274, -122.76468)",http://justcompassionewc.com/,,35,18,724
Medicine Wheel Recovery Services,Columbia,503-396-5322,503-410-5678,"58147 Columbia River Hwy Suite C
Saint Helens, OR 97051
(45.839584, -122.837223)",http://www.medicinewheelrecovery.org/,"Monday through Friday, 8 a.m. to 5 p.m.; Saturday, 9 a.m. to 3 p.m.; extended hours on Tuesday",31,16,2319
NeighborImpact,Deschutes,541-548-2380-,541-548-6013,"2303 SW First St
Redmond, OR 97756
(44.254831, -121.168851)",http://www.neighborimpact.org/,"Monday through Friday, 8:30 a.m. to 4:30 p.m.",53,27,2362
Oregon Coast Community Action,Coos,541-435-7080,541-435-7101,"1855 Thomas St
Coos Bay, OR 97420
(43.390105, -124.254529)",https://www.orcca.us/,"Monday through Friday, 8 a.m. to 5 p.m.",9,5,2320
Rogue Retreat,Jackson,541-499-0880,541-690-1670,"711 E Main St #25
Medford, OR 97504
(42.32787, -122.865689)",https://www.rogueretreat.org/,"Monday through Friday, 8 a.m. to 5 p.m.",6,3,2367
ShelterCare,Lane,541-686-1262,541-686-0359,"499 W 4th Ave
Eugene, OR 97401
(44.055454, -123.099903)",https://www.sheltercare.org/,Monday through Friday 8:30am-4:30pm,13,7,2371
The ARCHES Project,Polk,503-699-9080,503-399-9118,"182 SW Academy St #302
Dallas, OR 97338
(44.923887, -123.317463)",http://www.mwvcaa.org/CRP/ARCHES_project.html,"Monday through Friday, 8:30 a.m. to 4:30 p.m.",23,12,723
The ARCHES Project,Marion,503-699-9080,503-399-9118,"615 Commercial St NE
Salem, OR 97301
(44.946359, -123.037484)",http://www.mwvcaa.org/CRP/ARCHES_project.html,"Monday through Friday, 8:30 a.m. to 4:30 p.m.",21,11,2409
White Bird Clinic,Lane,541-342-8255,541-341-7987,"341 E 12th Ave
Eugene, OR 97401
(44.046618, -123.087622)",http://whitebirdclinic.org/,"Monday through Friday, 9 a.m. to 5 p.m.",8,4,2371
Yamhill Valley Treatment dba Provoking Hope,Yamhill,503-895-0934,503-883-9647,"213 NE 10th St
McMinnville, OR 97128
(45.214964, -123.197809)",http://provokinghope.com/,,24,12,2453
