"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Webinar/Webcast Link,Map Location,Owner,Agenda Upload,Weblink to Meeting Minutes/Summaries
Transportation Department,Lower John Day Area Commission on Transportation,LJDACT,01/07/2013 10:00:00 AM,,Bob's Texas T-Bone Restaurant, Rufus,,,Brad,,bradley.k.dehart@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Rogue Valley Area Commission on Transportation,RCVACT meeting,01/08/2013 09:00:00 AM,01/08/2013 03:30:00 PM,Jackson County Public Works Auditorium,,,,Pat,,pfoley@rvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,LaneACT meeting to discuss transportation topics within Lane County area,01/09/2013 05:30:00 PM,01/09/2013 07:30:00 PM,644 A Street, Springfield,Meeting information and materials are posted at www.laneact.org.,,Savannah Crawford,,savannah.crawford@odot.state.or.us,,,,,,,,,,,,,savannah.crawford@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,LaneACT,01/09/2013 05:30:00 PM,01/09/2013 07:30:00 PM,"ODOT Area 5, 644 A Street", Springfield,,Yes,Stacy,,sclaussen@lcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Northwest Area Commission on Transportation,NWACT meeting,01/10/2013 01:00:00 PM,,Scappoose Fire Hall, Scappoose,,Yes,Mary,,nbmcarthur@nworegon.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Central Oregon Area Commission on Transportation,COACT meeting,01/10/2013 03:00:00 PM,01/10/2013 05:00:00 PM,City of Redmond Public Works Training Room, Redmond,,,Andrew,,aspreadborough@coic.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,01/11/2013 09:00:00 AM,01/11/2013 12:00:00 PM,"ODOT TLC Bldg., Alsea Conference Room, 4040 Fairview Industrial Dr.", Salem,"Variable Message Signs (VMS) Guidelines Update, Passing Lane striping discussion.",Yes,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,http://www.oregon.gov/ODOT/HWY/TRAFFIC-ROADWAY/Pages/traffic_control_devices_committee.aspx,,,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,734-414-0271,500038,,,,kathleen.e.mcconnell@odot.state.or.us,,
Transportation Department,Public Transportation Advisory Committee (PTAC),PTAC meetings are typically held the second Monday of every other month from 1:00 p.m. to 4:30 p.m.,01/14/2013 01:00:00 PM,01/14/2013 04:30:00 PM,"ODOT TLC Building, 4040 Fairview Industrial Dr.", Salem,PTAC provides a forum for public and special-needs transportation providers within Oregon and provides input regarding significant transportation issues to the Oregon Transportation Commission and the Public Transit Division.,Yes,Martha Smith,503-986-3416,PTAC@odot.state.or.us,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx,,,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,,,,jenny.erickson@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx
Transportation Department,Southeast Area Commission on Transportation,SEACT meeting,01/28/2013 10:00:00 AM,,"Harney County Courthouse, 450 N. Buena Vista", Burns,,,Karen,,karen.kendall@geodc.net,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Rogue Valley Area Commission on Transportation,RVACT Meeting,01/29/2013 09:00:00 AM,,"Jackson County Public Works Auditorium, 7520 Table Rock Road, White City",,,,Pat,,pfoley@rvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
