"guideline_number","title"
"1","Routine cervical cancer screening"
"2","Fetoscopic surgery"
"3","Prophylactic treatment for prevention of breast cancer in high risk women"
"4","TOBACCO DEPENDENCE, INCLUDING DURING PREGNANCY"
"5","Obesity and overweight"
"6","Rehabilitative and habilitative therapies"
"7","Erythropoiesis-stimulating agent (ESA) guideline"
"8","Bariatric surgery"
"9","Wireless capsule endoscopy"
"10","Central serous chorioretinopathy and posterior cyclitis"
"11","Colony stimulating factor (CSF) guidelines"
"12","PATIENT-CENTERED CARE OF ADVANCED CANCER"
"13","Hemangiomas, complicated"
"14","Second bone marrow transplants"
"15","Heterotopic bone formation"
"16","Proton beam therapy for cancer"
"17","Preventive dental care"
"18","Ventricular assist devices"
"19","NEUROPSYCHOLOGICAL TESTING FOR PTSD"
"20","Attention deficit/hyperactivity disorders in children"
"21","SEVERE INFLAMMATORY SKIN DISEASE"
"22","Planned cesarean delivery"
"23","Colon cancer surveillance"
"24","Complicated hernias"
"25","Stem cell transplantation for neuroblastoma"
"26","Breast cancer surveillance"
"27","Sleep apnea"
"28","Trochanteric bursitis"
"29","Tympanostomy tubes in acute otitis media"
"30","Testicular cancer"
"31","Cochlear implantation"
"32","Cataract"
"33","Nitrous oxide for labor pain"
"34","Extraction of impacted wisdom teeth"
"35","Sinus surgery"
"36","Adenotonsillectomy for indications other than obstructive sleep apnea"
"37","Surgical interventions for conditions of the back and spine other than scoliosis"
"38","Subtalar arthroereisis"
"39","Endometriosis and adenomyosis"
"40","Uterine leiomyoma"
"41","Scoliosis"
"42","Chemodenervation for chronic migraine"
"43","Lymphedema"
"44","Menstrual bleeding disorders"
"45","Chemodenervation of the bladder"
"46","Age-related macular degeneration"
"47","Urinary incontinence"
"48","Frenulectomy/frenulotomy"
"49","Wearable cardiac defibrillators"
"50","Pelvic organ prolapse surgery"
"51","Chronic otitis media with effusion"
"52","Chronic anal fissure"
"53","Basic periodontics"
"54","Conduct disorder"
"55","Pelvic pain syndrome"
"56","Non-interventional treatments for conditions of the back and spine"
"57","PELVIC PHYSICAL THERAPY FOR INTERSTITIAL CYSTITIS"
"58","Impulse disorders"
"59","Dysmenorrhea"
"60","Opioids for conditions of the back and spine"
"61","Hospitalization for acute viral infections"
"62","Negative pressure wound therapy"
"63","Hydrocele repair"
"64","Pharmacist medication management"
"65","Telephone and email consultations"
"66","Cervical dysplasia"
"67","ENZYME REPLACEMENT THERAPY"
"68","Hysteroscopic bilateral fallopian tube occlusion"
"69","Electroconvulsive therapy (ECT)"
"70","Heart-kidney transplants"
"71","Hip resurfacing"
"72","Congenital urologic conditions"
"73","Penile anomalies"
"74","Growth hormone treatment"
"75","Applied behavior analysis for autism spectrum disorder"
"76","Diagnostic testing for liver fibrosis to guide treatment of hepatitis C in non-cirrhotic patients"
"77","Tips procedure"
"78","Hepatic metastases"
"79","Breast reconstruction"
"80","Repair of nose tip"
"81","Buerger’s disease"
"82","Early intervention for psychosis"
"83","Hip core decompression"
"84","Medical nutrition therapy for epilepsy"
"85","Elective induction of labor"
"86","Organic mental disorders"
"87","Influenza"
"88","Use of progesterone containing IUDs for non-contraceptive indications"
"89","Revascularization for chronic stable angina"
"90","Cognitive rehabilitation"
"91","Caries arresting medicament application"
"92","Acupuncture"
"93","Implantable GNRH analog therapy"
"94","Pectus excavatum"
"95","IMPLANTABLE CARDIAC DEFIBRILLATORS"
"96","Treatment of benign neoplasm of urinary organs"
"97","Management of acromioclavicular joint sprain"
"98","Significant injuries to ligaments, tendons and menisci"
"99","Routine prenatal ultrasound"
"100","SMOKING AND SPINAL FUSION"
"101","Artificial disc replacement"
"102","Repetitive transcranial magnetic stimulation"
"103","Bone anchored hearing aids"
"104","Viscosupplementation of the knee"
"105","Mediastinitis"
"106","Preventive Services"
"107","Hyperbaric oxygen"
"108","Continuous glucose monitoring"
"109","Vertebroplasty, kyphoplasty, and sacroplasty"
"110","Chronic pelvic inflammatory conditions"
"111","Intra-aortic balloon pumps"
