"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Oregon Educators Benefit Board","Strategies on Evidence and Outcomes Workgroup (SEOW)","SEOW Meeting","2012-01-12T09:30:00.000","2012-01-12T11:30:00.000","PEBB/OEBB Boardroom, General Services Building, 1225 Ferry Street SE, Salem, OR 97301"," Salem","OR","The Strategies on Evidence and Outcomes Workgroup (SEOW) will conduct a public meeting to discuss benefit design considerations and other potential issues for the 2012-2013 plan year. 

***********
Parking at the Dept. of Administrative Services General Services Building:
Limited metered parking is available on Ferry Street, nearby streets and in the surface lot at the corner of Ferry and 13th streets. Full- and half-day permits ($3 or $6) are available for the rooftop only of the Ferry St. parking structure.  Permits can be purchased at the Parking Office, 1225 Ferry St SE, 1st  floor. The parking structure is located directly across the street from the meeting location.

***************************

The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Rose Mann at 503-378-4606.","no","Rose Mann","503-378-4606","rose.mann@state.or.us","http://www.oregon.gov/oha/oebb",,,"Rose Mann","503-378-4606","rose.mann@state.or.us","true",,,
"Oregon Educators Benefit Board","Board Meeting","OEBB Board Meeting","2012-01-12T12:15:00.000","2012-01-12T15:15:00.000","PEBB/OEBB Boardroom, General Services Building, 1225 Ferry Street SE, Salem, OR 97301"," Salem","OR","The OEBB Board will conduct a public meeting to receive updates on various topics including, but not limited to, future trends, the procurement process for an FSA vendor and two future topics and to review and consider a proposed rule change under Division 5 (Procurement and Contracting).
* * * * * * * * * * * * *

 
Parking at the Dept. of Administrative Services General Services Building:
Limited metered parking is available on Ferry Street, nearby streets and in the surface lot at the corner of Ferry and 13th streets. Full- and half-day permits ($3 or $6) are available for the rooftop only of the Ferry St. parking structure.  Permits can be purchased at the Parking Office, 1225 Ferry St SE, 1st  floor. The parking structure is located directly across the street from the meeting location.

******************
The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Rose Mann at 503-378-4606.","yes","Rose Mann","503-378-4606","rose.mann@state.or.us","http://www.oregon.gov/oha/oebb",,,"Rose Mann","503-378-4606","rose.mann@state.or.us","true",,,
"Oregon Educators Benefit Board","Administrative Review Committee Meeting","OEBB ARC Meeting","2012-02-21T11:00:00.000","2012-02-17T13:00:00.000","1225 Ferry Street SE"," Salem","OR","The Administrative Review Committee will review and consider three members’ third-level appeals.",,"Rose Mann",,"rose.mann@state.or.us",,,,,,,,,,"http://www.oregon.gov/OHA/OEBB/docs/Agendas/2012/ARC_Agenda022112.pdf"
"Oregon Educators Benefit Board","Strategies on Evidence and Outcomes Workgroup Meeting","SEOW Meeting","2012-03-08T09:30:00.000","2012-03-08T11:30:00.000","PEBB/OEBB Board Room, 1225 Ferry St SE"," Salem","OR","The Strategies on Evidence and Outcomes Workgroup (SEOW) will conduct a public meeting to review utilization reports and discuss benefit design considerations for the 2012-2013 plan year.",,"Rose Mann","503-378-4606","rose.mann@state.or.us",,,,"Rose Mann","503-378-4606","rose.mann@state.or.us","true",,,
"Oregon Educators Benefit Board","OEBB Board Executive Session","OEBB Board Executive Session","2012-03-08T12:15:00.000","2012-03-08T12:45:00.000","PEBB/OEBB Boardroom, 1225 Ferry Street SE"," Salem","OR","The OEBB Board will convene in executive session* to receive staff and consultant advisories relating to the Flexible Savings Account (FSA) vendor selection.

*Executive Session: No admittance unless stated below. Thank you.

The executive session is being held pursuant to ORS 192.660(2)(f) which allows a governing body to hold an executive session to consider information or records that are exempt by law from public inspection.

Representatives of the news media, OEBB staff and individuals specifically invited to participate are allowed to attend this executive session. Representatives of the news media are specifically directed not to report on any of the deliberations during executive session, except to state the general subject of the session as previously announced. No decision may be made in executive session. 
",,"Rose Mann","503-378-4606","rose.mann@state.or.us",,,,,,,,,,
"Oregon Educators Benefit Board","OEBB Board Meeting","OEBB Board Meeting","2012-03-08T12:45:00.000","2012-03-08T16:30:00.000","PEBB/OEBB Boardroom, 1225 Ferry Street SE"," Salem","OR","The OEBB Board will conduct a public meeting to select the Apparent Successful Proposer (ASP) for the Flexible Spending Account (FSA) contract and receive updates on various topics including, but not limited to, HEDIS measure reports from the three OEBB medical carriers, the annual utilization data report, the comparability methodology and a possible tool for entities considering moving to a tiered rate structure.","yes","Rose Mann","503-378-4606","rose.mann@state.or.us",,,,"Rose Mann","503-378-4606","rose.mann@state.or.us","true",,,
"Oregon Educators Benefit Board","Business & Operations Workgroup","BOW Meeting","2012-04-03T10:15:00.000","2012-04-03T12:00:00.000","Neahkanie Conference Room, General Services Building, 1225 Ferry Street SE"," Salem","OR","The Business and Operations Workgroup will conduct a public meeting to review proposed permanent rules and public comments on Division 5 administrative rule amendments, review proposed temporary rules and begin the permanent rule making process on Divisions 10, 30, 40, 50, 65 and 80 administrative rules, review the proposed 2012-13 OEBB administrative fee, receive updates on expanding plan options and administration of Early Retiree groups, and review and discuss the comparability rule, methodology and testing.",,"Rose Mann","503-378-4606","rose.mann@state.or.us",,,,,,,,,,"http://www.oregon.gov/OHA/OEBB/docs/Agendas/2012/BOWAgenda040312.pdf"
"Oregon Educators Benefit Board","Strategies on Evidence and Outcomes Workgroup","SEOW Meeting","2012-04-12T09:30:00.000","2012-04-12T11:30:00.000","PEBB/OEBB Boardroom, Department of Administrative Services ÛÒ General Services Building, 1225 Ferry Street SE"," Salem","OR","The Strategies on Evidence and Outcomes Workgroup (SEOW) will conduct a public meeting to discuss utilization data and preliminary results from the 2011 Behavioral Risk Factor Surveillance System Survey for School Employees.",,"Rose Mann","503-378-4606","rose.mann@state.or.us",,,,,,,,,,
"Oregon Educators Benefit Board","Executive Session OEBB Board Meeting","Executive Session Board Meeting","2012-04-12T11:45:00.000","2012-04-12T12:45:00.000","PEBB/OEBB Boardroom, Department of Administrative Services ÛÒ General Services Building, 1225 Ferry Street SE"," Salem","OR","The OEBB Board will convene in executive session* to receive a staff and consultant advisory on the status of rate renewal negotiations.

*Executive Session: No admittance unless stated below. Thank you.

The executive session is being held pursuant to ORS 192.660(2)(f) which allows a governing body to hold an executive session to consider information or records that are exempt by law from public inspection.

Representatives of the news media, OEBB staff and individuals specifically invited to participate are allowed to attend this executive session. Representatives of the news media are specifically directed not to report on any of the deliberations during executive session, except to state the general subject of the session as previously announced. No decision may be made in executive session.
",,"Rose Mann","503-378-4606","rose.mann@state.or.us",,,,,,,,,,
"Oregon Educators Benefit Board","OEBB Board Meeting","OEBB Board Meeting","2012-04-12T13:00:00.000","2012-04-12T16:30:00.000","PEBB/OEBB Boardroom, Department of Administrative Services ÛÒ General Services Building, 1225 Ferry Street SE"," Salem","OR","The OEBB Board will conduct a public meeting.  Topics to be announced.","yes","Rose Mann","503-378-4606","rose.mann@state.or.us",,,,,,,"true",,,
