"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Yamhill","Fresa Park","995 Ferry St","Dayton","Housing Authority of Yamhill County","503-864-4292","12",,,,"9","9","4"
"Yamhill","Palmer Creek Apts","206 Mill St","Dayton","Housing Authority of Yamhill County","503-864-4292","10",,,"8","2",,
"Yamhill","Dunhill Apts","500 SW 11th St","Dundee","Viridian Management","503-537-7015","28",,,"3","16","9",
"Yamhill","Abbey Heights","219 12th St","Lafayette","Housing Authority of Yamhill County","503-864-9206","32",,,,"11","17","4"
"Yamhill","Baker Street Apts","1920 Baker St","McMinnville","Home Again Property Management","503-472-4381","14",,"8","6",,,
"Yamhill","Bridges Apts","103 N Irvine","McMinnville","Housing Authority of Yamhill County","503-437-3351","6",,,"6",,,
"Yamhill","Heritage Place Apts","2915 NE Hembree St","McMinnville","Housing Authority of Yamhill County","503-434-1200","60",,,"16","44",,
"Yamhill","Jandina Park Apts","1750 Sesame St","McMinnville","Guardian Real Estate Services","503-472-1044","36",,,"12","20","4",
"Yamhill","Orchards Plaza","1310 E 27th St","McMinnville","Guardian Real Estate Services","503-472-1892","60",,,"54","6",,
"Yamhill","Redwood Commons","2161 NE Lafayette Ave","McMinnville","Rembold Companies","503-472-9500","64",,,,"40","24",
"Yamhill","Sunflower Park Apts","267 NE May Ln","McMinnville","Housing Authority of Yamhill County","503-883-2065","33",,,,"15","18",
"Yamhill","Sunnyside Apts","2195 NE Lafayette Ave","McMinnville","Housing Authority of Yamhill County","503-437-3351","15",,,"15",,,
"Yamhill","Tice Park","2965 NE Evans","McMinnville","Housing Authority of Yamhill County","503-472-8986","88",,,,"60","28",
"Yamhill","Villa de Sol","315 N May Ln","McMinnville","Cascade Management Inc.","503-474-9391","24",,,,"8","12","4"
"Yamhill","Villa West Apts","201 SW Agee St","McMinnville","Guardian Real Estate Services","503-472-1156","48",,,"4","40","4",
"Yamhill","Village Quarter","333 NE Irvine St","McMinnville","Housing Authority of Yamhill County","971-237-3362","50",,,"38","12",,
"Yamhill","Western Terrace Apts","935 W 2nd St","McMinnville","Yamhill Co CDC","503-434-5265","32",,,,"20","12",
"Yamhill","Willamette Place Apts","1925 McDonald Ln","McMinnville","Guardian Real Estate Services","503-472-0397","48",,,"44","4",,
"Yamhill","Camellia Court","601 N Sitka Ave","Newberg","Cascade Management Inc.","503-537-1182","24",,,,"17","7",
"Yamhill","Deborah Court Apts","1412 N Deborah","Newberg","Viridian Management","503-538-8825","40",,,"10","28","2",
"Yamhill","Deskin Commons","1103 N Meridian","Newberg","Housing Authority of Yamhill County","503-857-2852","56",,,"11","37","8",
"Yamhill","Haworth Terrace Apts","2700 Haworth Ave","Newberg","Housing Authority of Yamhill County","503-538-2922","38",,,"18","20",,
"Yamhill","Newberg Village Apts","1209 N Springbrook","Newberg","Viridian Management","503-538-8825","32",,,"16","16",,
"Yamhill","Springbrook Place","3105 Middlebrook Dr","Newberg","Cascade Management Inc.","503-487-6227","15",,,"14","1",,
"Yamhill","Vittoria Square Apts","3300 Vittoria Wy","Newberg","Housing Authority of Yamhill County","503-538-3698","43",,,"38","5",,
"Yamhill","Woodside Park","802 E 9th St","Newberg","Housing Authority of Yamhill County","503-538-5326","84",,,,"84",,
"Yamhill","Riverside Terrace Apts","200 SE Riverside Dr","Sheridan","Housing Authority of Yamhill County","503-843-3807","27",,,"14","13",,
"Yamhill","Willamina Villa Apts","320 NE 1st St","Willamina","Viridian Management","503-876-2557","24",,,"6","12","6",
