"division","classification","position","title","_07_31_15","_08_31_15","_09_30_15","_10_31_15","_11_30_15","_12_31_15","_01_31_16","_02_29_16","_03_31_16","_04_30_16","_05_31_16","_06_30_16","_07_31_16","_08_31_16","_09_30_16","_10_31_16","_11_30_16","_12_31_16","_01_31_17","_02_28_17","_03_31_17","_04_30_17","_05_31_17","_06_30_17","total"
"Administration","Accountant 1","4103404","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","23.56"
"Administration","Accountant 1","4103404","DENTAL INSURANCE","110.72","110.72","110.72","110.72","110.72","124.15","124.15","124.15","124.15","124.15","124.15","124.15","124.15","124.15","124.15","124.15","124.15","150.33","150.33","150.33","150.33","150.33","150.33","150.33","3095.71"
"Administration","Accountant 1","4103404","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","46.08"
"Administration","Accountant 1","4103404","HEALTH INSURANCE","1382.51","1382.51","1382.51","1382.51","1382.51","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1298.46","1532.32","1532.32","1532.32","1532.32","1532.32","1532.32","1532.32","33220.31"
"Administration","Accountant 1","4103404","OVERTIME PAYMENTS",,,,,,,"124.11",,"74.28",,,,,,,,,,,,,,,,"198.39"
"Administration","Accountant 1","4103404","PERS PENSION OBLIGATION BOND PAYMENT","266.19","266.19","266.19","266.19","238.38","243.72","251.17","243.72","258.30","255.36","255.36","255.36","255.36","255.36","255.36","255.36","255.36","262.38","262.38","262.38","273.18","274.80","274.80","274.80","6227.65"
"Administration","Accountant 1","4103404","PERS RETIREMENT","765.99","765.99","765.99","765.99","765.99","783.15","807.09","783.15","830.00","820.56","820.56","820.56","820.56","820.56","820.56","820.56","820.56","843.11","843.11","843.11","877.82","883.02","883.02","883.02","19654.03"
"Administration","Accountant 1","4103404","REGULAR EMPLOYEES SALARY","3973.00","3973.00","3973.00","3973.00","3973.00","4062.00","4062.00","4062.00","4230.70","4256.00","4256.00","4256.00","4256.00","4256.00","4256.00","4256.00","4256.00","4373.00","4373.00","4373.00","4553.00","4580.00","4580.00","4580.00","101741.70"
"Administration","Accountant 1","4103404","SOCIAL SECURITY & MEDICARE","295.62","295.62","295.63","295.62","295.62","307.35","316.84","307.35","325.94","322.18","322.19","322.20","322.19","322.19","322.19","322.19","322.18","330.39","330.39","330.39","344.15","346.24","346.22","346.22","7687.10"
"Administration","Accountant 1","4103404","WORKERS' BENEFIT FUND ASSESSMENT","2.70","1.94","2.84","2.72","2.38","2.41","2.64","1.87","2.81","2.44","2.64","2.51","2.48","2.65","0.88","2.05","2.06","2.33","2.40","2.26","3.06","1.78","1.95","1.51","55.31"
"Administration","Accountant 1","4103404","Total","6799.60","6798.84","6799.75","6799.62","6771.47","6824.15","6989.37","6823.61","7147.55","7082.06","7082.27","7082.15","7082.11","7082.28","7080.51","7081.68","7081.68","7496.77","7496.84","7496.70","7736.77","7771.40","7771.55","7771.11","171949.84"
"Administration","Accountant 2","0345001","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95",,"21.85"
"Administration","Accountant 2","0345001","DENTAL INSURANCE","103.60","103.60","103.60","103.60","103.60","102.46","102.46","102.46","102.46","102.46","102.46","102.46","102.46","102.46","102.46","102.46","102.46","117.35","117.35","117.35","117.35","117.35","117.35",,"2451.62"
"Administration","Accountant 2","0345001","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92","1.92",,"44.16"
"Administration","Accountant 2","0345001","HEALTH INSURANCE","1382.51","1382.51","1382.51","1382.51","1382.51","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1435.21","1750.33","1750.33","1750.33","1750.33","1750.33","1750.33",,"34637.05"
"Administration","Accountant 2","0345001","PERS PENSION OBLIGATION BOND PAYMENT","292.05","288.61","295.49","292.05","261.54","279.87","280.44","280.44","280.44","280.44","280.44","280.44","280.44","280.44","280.44","280.44","280.44","301.41","302.04","302.04","302.04","302.04","302.04",,"6606.06"
"Administration","Accountant 2","0345001","PERS RETIREMENT","840.42","830.53","850.31","840.42","840.42","899.32","901.15","901.15","901.15","901.15","901.15","901.15","901.15","901.15","901.15","901.15","901.15","968.53","970.56","970.56","970.56","970.56","970.56",,"20835.40"
"Administration","Accountant 2","0345001","REGULAR EMPLOYEES SALARY","4359.00","4307.72","4410.28","4359.00","4359.00","4664.56","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","4674.00","5023.50","5034.00","5034.00","5034.00","5034.00","5034.00",,"108067.06"
"Administration","Accountant 2","0345001","SOCIAL SECURITY & MEDICARE","324.93","321.00","328.84","324.93","324.91","348.09","348.81","348.82","348.81","348.81","348.81","348.82","348.81","348.81","348.81","348.82","348.81","373.67","374.48","374.46","374.48","374.47","374.48",,"8055.68"
