"division","classification","position","title","_07_31_17","_08_31_17","_09_30_17","_10_31_17","_11_30_17","_12_31_17","_01_31_18","_02_28_18","_03_31_18","_4_30_18","_5_31_18","_06_30_18","_07_31_18","_08_31_18","sept18","_10_31_18","_11_30_2018","_12_31_2018","total"
"Administration","Accountant 2","0345001","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","17.72"
"Administration","Accountant 2","0345001","DENTAL INSURANCE","150.33","150.33","150.33","150.33","150.33","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","137.13","2502.18"
"Administration","Accountant 2","0345001","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Accountant 2","0345001","HEALTH INSURANCE","1532.32","1532.32","1532.32","1532.32","1532.32","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1890.58","31381.98"
"Administration","Accountant 2","0345001","PERS PENSION OBLIGATION BOND PAYMENT","288.18","288.18","288.18","288.18","297.79","297.78","297.79","297.79","297.79","297.79","297.79","300.76","315.21","315.21","315.21","315.21","315.21","315.21","5429.26"
"Administration","Accountant 2","0345001","PERS RETIREMENT","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1156.48","1212.03","1212.03","1212.03","1212.03","1212.03","1212.03","21024.10"
"Administration","Accountant 2","0345001","REGULAR EMPLOYEES SALARY","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4851.00","5084.00","5084.00","5084.00","5084.00","5084.00","5084.00","88188.00"
"Administration","Accountant 2","0345001","SOCIAL SECURITY & MEDICARE","363.28","363.29","363.28","363.28","363.29","363.67","363.67","363.67","363.67","363.68","363.67","367.34","385.17","385.17","385.16","385.17","385.17","383.95","6675.58"
"Administration","Accountant 2","0345001","WORKERS' BENEFIT FUND ASSESSMENT","1.68","2.12","2.21","1.40","1.96","1.90","2.10","1.67","2.07","2.24","2.22","2.23","1.61","1.87","1.51","2.00","2.00","1.99","34.73"
"Administration","Accountant 3","0102001","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.85","17.00"
"Administration","Accountant 3","0102001","DENTAL INSURANCE","117.35","117.35","117.35","117.35","117.35","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","131.59","2266.58"
"Administration","Accountant 3","0102001","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Accountant 3","0102001","HEALTH INSURANCE","1750.33","1750.33","1750.33","1750.33","1750.33","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","2040.34","34361.55"
"Administration","Accountant 3","0102001","PERS PENSION OBLIGATION BOND PAYMENT","316.92","316.92","316.92","316.92","327.48","327.48","327.48","327.48","327.48","327.48","327.48","347.14","347.14","347.14","347.14","347.14","347.14","347.14","5990.02"
"Administration","Accountant 3","0102001","PERS RETIREMENT","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1334.80","1334.80","1334.80","1334.80","1334.80","1334.80","1334.80","23195.13"
"Administration","Accountant 3","0102001","REGULAR EMPLOYEES SALARY","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5599.00","5599.00","5599.00","5599.00","5599.00","5599.00","5599.00","97295.00"
"Administration","Accountant 3","0102001","SOCIAL SECURITY & MEDICARE","393.45","393.44","393.45","393.44","393.45","392.99","392.99","392.98","392.99","392.98","392.99","417.24","417.23","417.24","417.24","417.23","417.23","410.00","7238.57"
"Administration","Accountant 3","0102001","WORKERS' BENEFIT FUND ASSESSMENT","1.70","1.97","2.21","2.38","2.07","1.71","2.27","2.07","2.38","2.20","1.78","2.31","1.91","2.07","2.07","1.93","1.93","1.78","36.68"
"Administration","Accountant 4","4103413","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","17.72"
"Administration","Accountant 4","4103413","DD24:G44ENTAL INSURANCE","66.18","66.18","66.18","66.18","66.18","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","54.96","1032.66"
"Administration","Accountant 4","4103413","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Accountant 4","4103413","HEALTH INSURANCE","766.16","766.16","766.16","766.16","766.16","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","684.07","12302.39"
"Administration","Accountant 4","4103413","PERS PENSION OBLIGATION BOND PAYMENT","422.10","422.10","422.10","422.10","436.17","436.17","436.17","436.17","436.17","436.17","436.17","440.51","462.54","462.54","462.54","462.54","462.54","462.54","7957.34"
"Administration","Accountant 4","4103413","PERS RETIREMENT","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1677.14","1693.83","1778.53","1778.53","1778.53","1778.53","1778.53","1778.53","30813.55"
"Administration","Accountant 4","4103413","REGULAR EMPLOYEES SALARY","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7035.00","7105.00","7105.00","7105.00","7105.00","7105.00","7105.00","7105.00","127120.00"
"Administration","Accountant 4","4103413","SOCIAL SECURITY & MEDICARE","533.54","533.53","533.54","533.54","533.54","533.64","533.63","533.64","533.65","533.64","533.63","539.00","566.17","566.16","566.18","566.17","566.17","566.12","9805.49"
"Administration","Accountant 4","4103413","WORK OUT OF CLASS & LEADWORK",,,,,,,,,,,,,"355.25","355.25","355.25","355.25","355.25","355.25","2131.50"
"Administration","Accountant 4","4103413","WORKERS' BENEFIT FUND ASSESSMENT","1.68","1.68","1.51","2.36","1.82","2.33","1.48","2.43","2.53","1.72","2.63","1.96","1.90","2.34","1.23","2.10","2.10","2.01","36.09"
"Administration","Accounting Technician 2","4103405","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99",,"16.83"
"Administration","Accounting Technician 2","4103405","DENTAL INSURANCE","61.08","61.08","61.08","61.08","61.08","49.81","49.81","49.81","49.81","49.81","49.81","49.81","49.81","49.81","49.81","49.81","49.81",,"903.12"
"Administration","Accounting Technician 2","4103405","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14",,"36.16"
"Administration","Principle Executive Manager D","0016001","DENTAL INSURANCE",,,,,,,,,,,,,"40.72","40.73",,,,,"81.45"
"Administration","Accounting Technician 2","4103405","HEALTH INSURANCE","766.16","766.16","766.16","766.16","766.16","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96",,"11618.32"
"Administration","Accounting Technician 2","4103405","PERS PENSION OBLIGATION BOND PAYMENT","188.26","189.00","189.00","189.00","195.30","195.30","195.30","195.30","195.30","195.30","195.30","197.28","205.26","206.52","206.52","159.58","159.58",,"3304.04"
"Administration","Accounting Technician 2","4103405","PERS RETIREMENT","526.50","528.57","528.57","528.57","528.57","528.57","528.57","528.57","528.57","528.57","528.57","533.94","555.53","558.94","558.94","431.91","431.91",,"9010.40"
"Administration","Accounting Technician 2","4103405","REGULAR EMPLOYEES SALARY","3137.62","3150.00","3150.00","3150.00","3150.00","3150.00","3150.00","3150.00","3150.00","3150.00","3150.00","3182.00","3310.68","3331.00","3331.00","2573.95","2573.95",,"53697.25"
"Administration","Accounting Technician 2","4103405","SOCIAL SECURITY & MEDICARE","238.43","239.95","239.96","239.95","239.95","240.05","240.05","241.78","241.77","241.77","241.77","244.23","254.06","255.62","255.62","197.71","197.71",,"4108.29"
"Administration","Accounting Technician 2","4103405","WORKERS' BENEFIT FUND ASSESSMENT","1.30","1.97","1.99","2.35","1.96","2.01","1.99","2.13","2.21","2.09","2.24","2.20","1.69","1.68","1.78","1.46","1.46",,"33.50"
