Hospital Name,Patient Days,Observed Infections,Predicted Infections,SIR,SIR 95% CI,sir_symbol,SIR Interpretation (2015 US Baseline),benchmarks_symbol,2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon
Legacy Meridian Park Medical Center,32905,2,0.91,*,*,,#s too small to calculate,,,CLACKAMAS,Region1,"19300 SOUTHWEST 65TH AVENUE
TUALATIN 97062
(45.3786716, -122.740804)",,
Providence Newberg Medical Center,10721,0,0.28,*,*,,#s too small to calculate,1 green check,ZERO Infections,YAMHILL,Region2,"1001 PROVIDENCE DRIVE
NEWBERG 97132
(45.3081804, -122.9358992)",,https://data.oregon.gov/views/288b-2feb/files/dfc754db-7fe1-47f6-bc41-bc3f34f3ddae
Kaiser Permanente Westside Medical Center,26312,0,0.61,*,*,,#s too small to calculate,1 green check,ZERO Infections,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",,https://data.oregon.gov/views/288b-2feb/files/8117b279-f79b-4de6-b409-4de663d9ecb0
Ashland Community Hospital,5072,0,0.13,*,*,,#s too small to calculate,1 green check,ZERO Infections,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",,https://data.oregon.gov/views/288b-2feb/files/80a3390f-1e99-4027-acab-1daac23235be
Asante Rogue Regional Medical Center,77922,5,5.67,    0.882,"0.323, 1.955",Grey down,Fewer infections,,Target Not Met,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/288b-2feb/files/56eae8b6-cec7-4ebc-baf9-357ad16a410d,
Asante Three Rivers Medical Center,31782,1,1.71,    0.584,"0.029, 2.881",Grey down,Fewer infections,,Target Not Met,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/288b-2feb/files/00965abc-2144-4a08-b74a-3a9c76bfcc44,
St. Charles Medical Center - Redmond,9324,0,0.21,*,*,,#s too small to calculate,1 green check,ZERO Infections,DESCHUTES,Region7,"1253 NORTH CANAL BOULEVARD
REDMOND 97756
(44.288663, -121.1696273)",,https://data.oregon.gov/views/288b-2feb/files/e5748f9d-c271-428a-b6d5-024117b49d7f
Samaritan Albany General Hospital,10120,0,0.38,*,*,,#s too small to calculate,1 green check,ZERO Infections,LINN,Region2,"1046 6TH AVENUE SOUTHWEST
ALBANY 97321
(44.631601, -123.1162322)",,https://data.oregon.gov/views/288b-2feb/files/7c03a48a-763c-4f42-862f-91f46ef6b5e0
St. Alphonsus Medical Center - Ontario,7040,0,0.38,*,*,,#s too small to calculate,1 green check,ZERO Infections,MALHEUR,Region9,"351 SW 9TH STREET
ONTARIO 97914
(44.025249, -116.976891)",,https://data.oregon.gov/views/288b-2feb/files/f7435801-dfe0-46d7-96f3-3ef66ea4bb2d
 1. All Oregon,1504290,69,90.06,    0.766,"0.601, 0.964",Green down,Statistically fewer infections,,Target Not Met,,,,https://data.oregon.gov/views/288b-2feb/files/23b2156d-91f6-4458-a341-4f423f9277ff,
Santiam Memorial Hospital,3681,0,0.07,*,*,,#s too small to calculate,1 green check,ZERO Infections,MARION,Region2,"1401 NORTH 10TH AVENUE
STAYTON 97383
(44.8051122, -122.7847402)",,https://data.oregon.gov/views/288b-2feb/files/0de11e33-2256-4312-8bdc-c77e8b4f3f54
Providence Willamette Falls Medical Center,21036,0,0.69,*,*,,#s too small to calculate,1 green check,ZERO Infections,CLACKAMAS,Region1,"1500 DIVISION STREET
OREGON CITY 97045
(45.3559686, -122.5880138)",,https://data.oregon.gov/views/288b-2feb/files/a16e8aae-ce04-4412-9452-d9a6a92120b8
Silverton Hospital,7764,0,0.16,*,*,,#s too small to calculate,1 green check,ZERO Infections,MARION,Region2,"342 FAIRVIEW STREET
SILVERTON 97381
(45.0044832, -122.7899933)",,https://data.oregon.gov/views/288b-2feb/files/37f78b88-bebe-46ce-8f0d-42515923f0b1
Shriner's,1722,0,0.03,*,*,,#s too small to calculate,1 green check,ZERO Infections,MULTNOMAH,Region1,"3101 SOUTHWEST SAM JACKSON PARK ROAD
PORTLAND 97239
(45.5009462, -122.6843061)",,https://data.oregon.gov/views/288b-2feb/files/71425ec7-8843-412e-9200-9c124cc2befb
Adventist Medical Center,31504,0,1.27,    0.000," , 2.360",Grey down,Fewer infections,2 green checks,SIR Target (<0.50) Met & ZERO Infections,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/288b-2feb/files/d54448c2-6662-46b3-addf-7b5dcb907ccb,https://data.oregon.gov/views/288b-2feb/files/33cc980d-8c4f-4ab1-8c66-501ffffe0f03
Bay Area Hospital,29928,0,1.58,    0.000," , 1.898",Grey down,Fewer infections,2 green checks,SIR Target (<0.50) Met & ZERO Infections,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/288b-2feb/files/5c93bf2c-d23b-405d-9f54-e9f937ae5ca1,https://data.oregon.gov/views/288b-2feb/files/af10853e-3a39-40cd-bd1b-2b97447e933b
Good Samaritan Regional Medical Center,42982,2,2.07,    0.964,"0.162, 3.186",Grey down,Fewer infections,,Target Not Met,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/288b-2feb/files/71bb785b-dc38-4d5f-8773-bb184165abf1,
McKenzie-Willamette Medical Center,29698,0,1.52,    0.000," , 1.968",Grey down,Fewer infections,2 green checks,SIR Target (<0.50) Met & ZERO Infections,LANE,Region3,"1460 G STREET
SPRINGFIELD 97477
(44.0530441, -123.0039526)",https://data.oregon.gov/views/288b-2feb/files/eaacc974-7bc5-414e-b99f-1d8c1b265d93,https://data.oregon.gov/views/288b-2feb/files/7e66368f-d95e-457d-bea3-60db1032ac29
