"registry_date","business_name","address","city","entity_type","first_name","last_name","registry_number","associated_name_type","address_continued","state","zip","jurisdiction","business_details"
"2018-10-09T00:00:00.000","JAMES F. TURNER ENGINEERS, L.P.","8340 MEADOW RD STE 160","DALLAS","FOREIGN LIMITED PARTNERSHIP",,,"148426794","MAILING ADDRESS",,"TX","75231","TX","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=148426794&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-11-07T08:40:10.000","D. COOK ENGINEERING LLC","PO BOX 509","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"149342297","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=149342297&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-08-28T00:00:00.000","SPOON N FOLKS LLC","184 SE WASHINGTON ST","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"147202691","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=147202691&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-10-05T00:00:00.000","FREEMAN EXPOSITIONS, LLC","1600 VICEROY STE 100","DALLAS","FOREIGN LIMITED LIABILITY COMPANY",,,"148330194","MAILING ADDRESS",,"TX","75235","NV","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=148330194&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-10-16T11:45:01.000","OMOROSE MASSAGE & BEAUTY BAR LLC","181 SE WASHINGTON ST","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"148643992","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=148643992&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-11-07T00:00:00.000","NORTHWEST TRANSPORT LLC","219 NW SUNNY DR","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"149348195","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=149348195&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-08-17T00:00:00.000","FORTITUDE P&C SOLUTIONS, INC.","4100 ALPHA RD 8TH FL","DALLAS","FOREIGN BUSINESS CORPORATION",,,"146878590","MAILING ADDRESS",,"TX","75244","DE","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=146878590&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-08-23T14:23:16.000","JLW PROPERTY MGMT LLC","1370 SW ELLIS ST","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"147067698","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=147067698&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-08-30T14:49:58.000","VALKYRIE LLC","PO BOX 5","DALLAS","DOMESTIC LIMITED LIABILITY COMPANY",,,"147276299","MAILING ADDRESS",,"OR","97338","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=147276299&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"2018-10-03T16:22:53.000","SIGNIFY HEALTH, LLC","4055 VALLEY VIEW LANE","DALLAS","FOREIGN LIMITED LIABILITY COMPANY",,,"148264997","MAILING ADDRESS","STE 700","TX","75244","DE","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=148264997&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
