Meeting Title,Start Date & Time,End Date & Time,Meeting Location,City,Short Description,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Rail Advisory Committee,06/21/2022 09:00:00 AM,06/21/2022 12:00:00 PM,Virtual,Salem,,"MEETING INFORMATION UPDATE:
This meeting was previously planned at an in-person meeting, but has been changed to a virtual meeting.
",,Kathy Holmes,5034004944,Kathy.C.HOLMES@odot.oregon.gov,,,,,,,,https://us02web.zoom.us/j/88535081306?pwd=R3cvajlUOHRtQlhkbHczdlkrZ3dGdz09,669-900-6833,725163#,,,,,,,,,
Rail Advisory Committee Membership Refresh,05/18/2022 01:00:00 PM,05/18/2022 02:00:00 PM,Virtual Teams meeting,SALEM,Approve the proposed permanent seats for the Rail Advisory Committee.,,,Kathy Holmes,503-400-4944,Kathy.C.HOLMES@odot.oregon.gov,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee,03/22/2022 09:00:00 AM,03/22/2022 11:30:00 AM,Virtual,SALEM,,,,Sue Hyer,5039865174,sue.s.hyer@odot.oregon.gov,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee - Connect Oregon Ranking,02/16/2022 09:00:00 AM,02/16/2022 04:30:00 PM,Virtual,Salem,,"Two meetings scheduled. 
February 15, 2022, 9:00 a.m. - 4:30 p.m.
February 16, 2022, 9:00 a.m. - 4:30 p.m.

Call-in: 669-900-6833
Meeting ID: 601 889 0743#
Passcode: 964115
",,Kathy Holmes,503-400-4944,Kathy.C.HOLMES@odot.oregon.gov,,,https://us02web.zoom.us/j/6018890743?pwd=Qkl2NFJhWksyazRZOUlmWlBkeHRjQT09,,,,,,,,,,,,,,,,
Rail Advisory Committee - Connect Oregon Ranking,02/15/2022 09:00:00 AM,02/15/2022 04:30:00 PM,Virtual,Salem,,"Two meetings scheduled. 
February 15, 2022, 9:00 a.m. - 4:30 p.m.
February 16, 2022, 9:00 a.m. - 4:30 p.m.

Call-in: 669-900-6833
Meeting ID: 601 889 0743#
Passcode: 964115
",,Kathy Holmes,503-400-4944,Kathy.C.HOLMES@odot.oregon.gov,,,https://us02web.zoom.us/j/6018890743?pwd=Qkl2NFJhWksyazRZOUlmWlBkeHRjQT09,,,,,,,,,,,,,,,,
Rail Advisory Committee,12/21/2021 09:00:00 AM,12/21/2021 12:00:00 PM,Virtual,SALEM,,,,Sue Hyer,5039865174,sue.s.hyer@odot.state.or.us,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee,10/11/2021 09:00:00 AM,10/11/2021 12:00:00 PM,Virtual,Salem,,,,Sue Hyer,503-986-5174,sue.s.hyer@odot.state.or.us,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee,06/15/2021 09:00:00 AM,06/15/2021 11:30:00 AM,Videoconference,Salem,,,,Sue Hyer,,Sue.S.HYER@odot.state.or.us,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee,03/16/2021 09:00:00 AM,03/16/2021 12:00:00 PM,Videoconference, Salem,,,,Sue Hyer,5039865174,Sue.S.HYER@odot.state.or.us,,,,,,,,,,,,,,,,,,,
Rail Advisory Committee,12/15/2020 09:30:00 AM,12/15/2020 12:00:00 PM,Videoconference,Salem,,"Agenda items include updates on Connect Oregon, and the ODOT/OTC Strategic Action Plan, Rail Advisory Committee draft work plan for the next two years, and an update on the 2024-27 State Transportation Improvement Program (STIP).",,Sue Hyer,503-986-5174,Sue.S.HYER@odot.state.or.us,,,,,,,,,,,https://www.oregon.gov/odot/RPTD/RPTD Document Library/RAC_Agenda_Dec_15_2020.pdf (https://www.oregon.gov/odot/RPTD/RPTD%20Document%20Library/RAC_Agenda_Dec_15_2020.pdf),,,,https://www.oregon.gov/odot/RPTD/Pages/RAC.aspx,,,,
