Hospital Name,Patient Days,Observed Infections,Predicted Infections,2016 SIR,SIR 95% CI,SIR Interpretation (2015 US Baseline),2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
Coquille Valley Hospital District,2028,5,0.92,*,*,#s too small to calculate,,COOS,Region3,"940 EAST 5TH STREET
COQUILLE 97423
(43.1794727, -124.1793669)",,,1,1,2320
Curry General Hospital,838,1,0.23,*,*,#s too small to calculate,,CURRY,Region3,"94220 4TH STREET
GOLD BEACH 97444
(42.4113416, -124.4184903)",,,1,1,2321
Harney District Hospital,1608,1,0.36,*,*,#s too small to calculate,,HARNEY,Region7,"557 WEST WASHINGTON STREET
BURNS 97720
(43.5884119, -119.0600643)",,,60,30,720
 1. All Oregon,71531,35,25.7,    1.362,"0.963, 1.873",More infections,Target Not Met,,,,https://data.oregon.gov/views/4a33-vkac/files/d29cc813-dd17-4de4-9660-98f95a2c9730,,,,
Cottage Grove Community Hospital,1487,0,0.33,*,*,#s too small to calculate,ZERO Infections,LANE,Region3,"1515 VILLAGE DRIVE
COTTAGE GROVE 97424
(43.8037061, -123.0394123)",,https://data.oregon.gov/views/4a33-vkac/files/8d51cb74-3d98-4b76-80a8-cc49811e12c9,7,4,2371
Lake District Hospital,2696,0,0.6,*,*,#s too small to calculate,ZERO Infections,LAKE,Region7,"700 SOUTH J STREET
LAKEVIEW 97630
(42.1815442, -120.3526116)",,https://data.oregon.gov/views/4a33-vkac/files/bbda6950-97cd-4117-bce1-022c272f35d7,56,28,2370
Lower Umpqua Hospital District,1741,0,0.5,*,*,#s too small to calculate,ZERO Infections,DOUGLAS,Region3,"600 RANCH ROAD
REEDSPORT 97467
(43.6945818, -124.1364273)",,https://data.oregon.gov/views/4a33-vkac/files/ff4a18c9-3f07-46b2-868c-884665f8333d,9,5,2363
Pioneer Memorial Hospital - Heppner,707,0,0.16,*,*,#s too small to calculate,ZERO Infections,MORROW,Region9,"564 EAST PIONEER DRIVE
HEPPNER 97836
(45.356098, -119.5487602)",,https://data.oregon.gov/views/4a33-vkac/files/abbc2ad1-6c80-4ccf-bf8a-61341b392b44,57,29,722
St. Alphonsus Medical Center - Baker City,2700,0,0.6,*,*,#s too small to calculate,ZERO Infections,BAKER,Region9,"3325 POCAHONTAS ROAD
BAKER CITY 97814
(44.794763, -117.846872)",,https://data.oregon.gov/views/4a33-vkac/files/309bae4b-ea32-4dc9-8e5f-df4bb4a36c35,60,30,2315
Good Shepherd Medical Center,4212,2,1.91,    1.046,"0.175, 3.455",More infections,Target Not Met,UMATILLA,Region9,"610 NORTHWEST 11TH STREET
HERMISTON 97838
(45.8468145, -119.3084334)",https://data.oregon.gov/views/4a33-vkac/files/05063b19-c7a9-4002-9097-8e9edb6b57f6,,57,29,2413
