Meeting Title,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Contact Name,Phone Number,Contact Email,ADA Contact,Owner,Agenda Upload,Agenda Download
"November 18, 2019 Board Meeting","November 18, 2019 09:00 AM","November 18, 2019 09:00 AM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"September 13-14, 2019 Board Meeting - Inn at the Commons - 200 N. Riverside Ave, Medford, OR 97501","September 14, 2019 09:00 AM","September 14, 2019 04:30 AM","Inn at the Commons - 200 N. Riverside Ave, Medford, OR 97501", Medford,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"September 13-14, 2019 Board Meeting - Inn at the Commons - 200 N. Riverside Ave, Medford, OR 97501","September 13, 2019 09:00 AM","September 13, 2019 04:30 PM","Inn at the Commons - 200 N. Riverside Ave, Medford, OR 97501", Medford,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"July 29, 2019 Board Meeting","July 29, 2019 09:00 AM","July 29, 2019 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"May 20, 2019 Board Meeting","May 20, 2019 09:00 AM","May 20, 2019 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"March 18, 2019 Board Meeting","March 18, 2019 09:00 AM","March 18, 2019 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"January 14, 2019 Board Meeting","January 14, 2019 09:00 AM","January 14, 2019 05:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,January_14_2019_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/c5be850c-4ac4-4d27-a029-887997d1e7c9?download=true&filename=January_14_2019_Agenda%20(PUBLIC).pdf)
"OBMT November 5, 2018 Board Meeting","November 05, 2018 09:00 AM","November 05, 2018 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,,ekaette.udosenata@state.or.us,,,,
"September 25, 2018 Rules Hearing Meeting","September 25, 2018 09:00 AM","September 25, 2018 09:30 AM",748 Hawthorne Ave SE, Salem,OR,,Ekaette Udosenata,,ekaette.udosenata@state.or.us,,,,
"OBMT September 17, 2018 Board Meeting","September 17, 2018 09:00 AM","September 17, 2018 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT July 16, 2018 Board Meeting","July 16, 2018 09:00 AM","July 16, 2018 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,,ekaette.udosenata@state.or.us,,,,
"OBMT May 18-19, 2018 Board Meeting","May 19, 2018 09:00 AM","May 19, 2018 02:30 PM",TBA, Astoria,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT May 18-19, 2018 Board Meeting","May 18, 2018 09:00 AM","May 18, 2018 04:30 PM",TBA, Astoria,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT March 19, 2018 Board Meeting","March 19, 2018 09:00 AM","March 19, 2018 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT January 22, 2018 Board Meeting","January 22, 2018 09:00 AM","January 22, 2018 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT November 13, 2017 Board Meeting","November 13, 2017 09:00 AM","November 13, 2017 04:30 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT September 18, 2017 Board Meeting","September 18, 2017 09:00 AM","September 18, 2017 04:30 AM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,Sept_18_2017_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/8bacb573-add7-43fe-bc76-63ad34adb0f8?download=true&filename=Sept_18_2017_Agenda%20(PUBLIC).pdf)
"OBMT July 17, 2017  Board Meeting","July 17, 2017 09:00 AM","July 17, 2017 04:30 AM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,July_17_2017_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/70e76dbb-16c9-4172-81f1-7586864cf039?download=true&filename=July_17_2017_Agenda%20(PUBLIC).pdf)
"OBMT May 5-6, 2017 Board Meeting","May 05, 2017 09:00 AM","May 06, 2017 02:00 PM",COCC, Bend,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT March 13, 2017 Board Meeting","March 13, 2017 09:00 AM","March 13, 2017 04:00 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,March_13_2017_Agenda_PUBLIC.pdf (https://data.oregon.gov/views/gs36-7t8m/files/a81a3167-3c35-4448-a97e-e854c8440834?download=true&filename=March_13_2017_Agenda_PUBLIC.pdf)
