Agency Sponsor,Title,Short Description,Start Date/Time,End Date/Time,State,Details,Contact Name,Phone,Web Link,Calendar Link,Map Location
Secretary of State,Basics Notary Webinar,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ",08/04/2021 09:00:00 AM,08/04/2021 12:00:00 AM,,Free training to become a notary,,,Register online (https://notsem.sos.state.or.us/),,
Columbia Gorge Community College SBDC,Quien es tu cliente,"Columbia Gorge Community College SBDC-Quien es tu cliente-Aquí te ayudaremos a identificar tu cliente meta, formas de llegar a tu cliente y crear un plan o estrategias para llegar a el.",08/31/2021 12:00:00 PM,08/31/2021 02:00:00 PM,PDT,Tarifa: Sin costo,,,Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410113),,
Hispanic Metropolitan Chamber ,Knowledge & Networking Event- Building Inclusive Teams,"Presenter: Gerardo Ochoa—Associate Vice President, Retention and Student Success Linfield University This is a virtual event . Register soon because space is limited. See you then!",08/18/2021 12:00:00 PM,08/18/2021 01:00:00 PM,PDT,Cost: $25 NON-MEMBER / FREE FOR MEMBERS,,,Register Online (https://www.eventbrite.com/e/knowledge-networking-event-building-inclusive-teams-tickets-163818033147?utm_term=ctabutton&utm_campaign=1167502&utm_source=eventbrite&utm_medium=ebcampaigns&aff=odeccpebemailcampaigns&mipa=ABIdvVtvepJdOuQIAtWa5kJ7mTf6FqUttNLva7kDJ3pvwI49Gbw4825x_giiaXTb8HRcdhMpUZdsd8D7pTCHTfyNxZKlqXAdbBUgYMC9qt_5omeUUj0-Cqb2paH-Gb10U7QURydp0wfvX6UZkImvMvHVZdaVfLo3Uy-UkmN4X81CdG0q1kcs3GzFUyz-A_GSSEqpCEa5bDzVYZc44Cw6_m2p_EF0GNqzc71v2OPDi3vOo_BKlb_cx8D82kMl4pDM4w_aPMyhoolrM13AgyKEU4pAR9e7BgtnUA#tickets),,
Mt. Hood Community College SBDC,Going into Business: Start Smart,Mt. Hood Community College SBDC-Going into Business: Start Smart-Walk through the process of starting your own business from scratch and leave the class with contacts & principles vital to getting your business off the ground and then managing it through the early stages of development.,08/31/2021 01:00:00 PM,08/31/2021 03:00:00 PM,PDT,Cost: $45.00,,,Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=84&SectionID=4314),,
Micro Enterprise Services of Oregon ,Employee Handbook for Small business,"Learn what an employee handbook is and why your company needs one. An employee handbook outlines your company's policies, procedures and expectations. Although an employee handbook is not legally required, every business should have one because, in certain instances, it can reduce liability",08/11/2021 12:00:00 PM,08/11/2021 02:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/meso-small-business-employee-handbook-tickets-162454444617),,
Micro Enterprise Services of Oregon ,Quarterly Taxes for Small Business,"One of the most important and commonly missed elements of small business taxes is estimated tax payments. Payments are split based on quarters, January-March, April-June, July-September, and October-December",08/17/2021 10:00:00 AM,08/17/2021 12:00:00 PM,PDT,Cost: Free,,,Register Online (https://www.eventbrite.com/e/meso-quarterly-taxes-for-small-business-tickets-162455561959),,
Micro Enterprise Services of Oregon,Entity Selection & Formation,"All you need to begin your business entity formation, registration with state and federal, business license.",08/18/2021 06:00:00 PM,08/18/2021 08:00:00 PM,PDT,Cost: Free,,,Register Online (https://www.eventbrite.com/e/meso-entity-selection-and-formation-tickets-162456017321),,
Micro Enterprise Services of Oregon ,Insurance for your small business,"We will be discussing business insurance basics, why it matters for your business, and how to read what is included in your policy. Learn the importance of commercial insurance, how it protects you personally and professionally, and how to select the right commercial insurance for your business.",08/26/2021 10:00:00 AM,08/26/2021 12:00:00 PM,PDT,Cost: Free,,,Register Online (https://www.eventbrite.com/e/meso-insurance-for-your-small-business-tickets-162456647205),,
Oregon Association of Minority Entrepreneurs: OAME,Contractors & AEPT Meeting,,08/13/2021 07:30:00 AM,08/13/2021 09:00:00 AM,PDT,Cost: No fee,,,Contact OAME (https://oame.org/contact-oame/),,
SCORE - Willamette,Power Branding - Getting and Keeping Your Next Customer,How can you GET and KEEP your next customer through the power of great branding?,07/01/2021 10:00:00 AM,07/01/2021 12:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1468088&tp_key=892225d04b&sti=scoreeventpage),,
