"division","classification","position","title","_07_31_17","_08_31_17","_09_30_17","_10_31_17","_11_30_17","_12_31_17","_01_31_18","_02_28_18","_03_31_18","_04_30_18","_05_31_18","_06_30_18","_07_31_18","_08_31_18","_09_31_18","_10_31_18","_11_30_18","_12_31_18","_01_31_19","feb2019","a3_31_2019","_4_30_2019","a05_31_19","_6_30_2019"
"Administration","Accountant 2","0004694","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","0.89","0.89","0.89","0.89","0.89","0.89"
"Administration","Accountant 2","0004694","DENTAL INSURANCE","150.33","150.33","150.33","150.33","150.33","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","134.45","137.13","137.13","137.13","137.13","137.13","137.13","137.13"
"Administration","Accountant 2","0004694","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14"
"Administration","Accountant 2","0004694","HEALTH INSURANCE","1532.32","1532.32","1532.32","1532.32","1532.32","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1890.58","1890.58","1890.58","1890.58","1890.58","1890.58","1890.58"
"Administration","Accountant 2","0004694","PERS PENSION OBLIGATION BOND PAYMENT","288.18","288.18","288.18","288.18","297.79","297.78","297.79","297.79","297.79","297.79","297.79","300.76","315.21","315.21","315.21","315.21","315.21","315.21","315.21","337.47","337.47","337.47","337.47","337.47"
"Administration","Accountant 2","0004694","PERS RETIREMENT","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1145.04","1156.48","1212.03","1212.03","1212.03","1212.03","1212.03","1212.03","1212.03","971.03","971.03","971.03","971.03","1154.46"
"Administration","Accountant 2","0004694","REGULAR EMPLOYEES SALARY","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4803.00","4851.00","5084.00","5084.00","5084.00","5084.00","5084.00","5084.00","5084.00","5443.00","5443.00","5443.00","5443.00","5443.00"
"Administration","Accountant 2","0004694","SOCIAL SECURITY & MEDICARE","363.28","363.29","363.28","363.28","363.29","363.67","363.67","363.67","363.67","363.68","363.67","367.34","385.17","385.17","385.16","385.17","385.17","383.95","383.95","411.41","411.42","411.41","411.42","411.41"
"Administration","Accountant 2","0004694","WORKERS' BENEFIT FUND ASSESSMENT","1.68","2.12","2.21","1.40","1.96","1.90","2.10","1.67","2.07","2.24","2.22","2.23","1.61","1.87","1.51","1.95","2.00","1.99","1.80","1.37","1.92","2.00","2.01","1.55"
"Administration","Accountant 3","0009007","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.85","0.85","0.85","0.85","0.85","0.85","0.85"
"Administration","Accountant 3","0009007","DENTAL INSURANCE","117.35","117.35","117.35","117.35","117.35","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","129.02","131.59","131.59","131.59","131.59","131.59","131.59","131.59"
"Administration","Accountant 3","0009007","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14"
"Administration","Accountant 3","0009007","HEALTH INSURANCE","1750.33","1750.33","1750.33","1750.33","1750.33","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","1964.13","2040.34","2040.34","2040.34","2040.34","2040.34","2040.34","2040.34"
"Administration","Accountant 3","0009007","PERS PENSION OBLIGATION BOND PAYMENT","316.92","316.92","316.92","316.92","327.48","327.48","327.48","327.48","327.48","327.48","327.48","347.14","347.14","347.14","347.14","347.14","347.14","347.14","347.14","371.63","371.63","371.63","371.63","389.48"
"Administration","Accountant 3","0009007","PERS RETIREMENT","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1259.23","1334.80","1334.80","1334.80","1334.80","1334.80","1334.80","1334.80","1334.80","1069.33","1069.33","1069.33","1069.33","1332.41"
"Administration","Accountant 3","0009007","REGULAR EMPLOYEES SALARY","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5282.00","5599.00","5599.00","5599.00","5599.00","5599.00","5599.00","5599.00","5599.00","5994.00","5994.00","5994.00","5994.00","6282.00"
"Administration","Accountant 3","0009007","SOCIAL SECURITY & MEDICARE","393.45","393.44","393.45","393.44","393.45","392.99","392.99","392.98","392.99","392.98","392.99","417.24","417.23","417.24","417.24","417.24","417.23","410.00","410.01","440.22","440.23","440.22","440.22","462.26"
"Administration","Accountant 3","0009007","WORKERS' BENEFIT FUND ASSESSMENT","1.70","1.97","2.21","2.38","2.07","1.71","2.27","2.07","2.38","2.20","1.78","2.31","1.91","2.07","2.07","1.87","1.93","1.78","1.98","1.68","1.89","1.93","1.80","1.71"
"Administration","Accountant 4","0013515","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","0.89","0.89","0.89","0.89","0.89","0.89"
"Administration","Accountant 4","0013515","DD24:G44ENTAL INSURANCE","66.18","66.18","66.18","66.18","66.18","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","53.90","54.96","54.96","54.96","54.96","54.96","54.96","54.96"
"Administration","Accountant 4","0013515","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14"
"Administration","Accountant 4","0013515","HEALTH INSURANCE","766.16","766.16","766.16","766.16","766.16","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","648.96","684.07","684.07","684.07","684.07","684.07","684.07","684.07"
