Facility Name,View Marina Details Below,Location,Phone,website,Waterbody,Region,Ownership,Facility Owner,Contact,Date Pledged,Date Certified,Type,Boat Slips,Home Slips,Boater Services
McCuddy's Landing Marina,https://data.oregon.gov/views/w2n2-ruq7/files/Xduq-rNf02Ft3qWEWUUmHeSF-KkhPRZN4mSIHP_2-FU,"34326 Johnson's Landing Ct.
Scappoose, OR 97056
(45.728889, -122.860833)",503-543-3836,http://www.mccuddysmarina.com/marinas/landing.html,Multnomah Channel,Lower Columbia River,Private,McCuddy's Marina,Sharon McBride,11/30/2005,12/15/2006,Marina,200,0,https://data.oregon.gov/views/w2n2-ruq7/files/p9vfMqCtSWfqN4atGZ9aj-vlIUVIJ8yNntsyxUhrFkU
Tomahawk Bay Moorage,https://data.oregon.gov/views/w2n2-ruq7/files/XX7Zzy5eJxLzxOOkhBw-LDkmVCadFmn-lG2QjgCq-Ec,"515 NE Tomahawk Island Dr.
Portland, OR 97217
(45.604722, -122.658749)",503-283-2444,http://www.columbiacrossings.com/tomahawk.html,Columbia River,Portland Area,Private,Columbia Crossings,John Villanueva,11/30/2005,11/21/2006,Marina,770,0,https://data.oregon.gov/views/w2n2-ruq7/files/JSx8BwsFKe1geEa0S9Z4v5A7xTBcsjbKClNkvKgu5eU
Port of The Dalles,https://data.oregon.gov/views/w2n2-ruq7/files/_6ED1j9h97E5oGWWkk3iKd-0gOeqIn9q6Vx36MpqJi0,"3636 Klindt Dr.
The Dalles, OR 97058
(45.600556, -121.169167)",541-298-4148,http://www.portofthedalles.com/m_info.cfm,Columbia River,Upper Columbia River,Public/Private,Port of the Dalles,Kathleen Norton,07/25/2007,08/19/2008,Marina,25,62,https://data.oregon.gov/views/w2n2-ruq7/files/PL9wr5lA4Kfz9AdsRkMAwYzTJ1je1eNlIcYXmFDACY8
Rocky Pointe Marina,https://data.oregon.gov/views/w2n2-ruq7/files/9cxwP4-OKQLds8af0MLiOq6Z6pie8YgrtueWb3AGGIA,"23586 NW St Helens Rd.
Portland, OR 97231
(45.701857, -122.869164)",503-543-7003,http://rpmarina.com/marina_services.asp,Multnomah Channel,Lower Columbia River,Private,,Stan Tonneson,01/08/2006,04/26/2006,Marina with Boatyard,150,0,https://data.oregon.gov/views/w2n2-ruq7/files/8k1TMZorpBVz8db_AO5K-oKsqe9jhm853N9KqFEf0KQ
Columbia Ridge Marina,https://data.oregon.gov/views/w2n2-ruq7/files/5RI9U3zdeV8trgJ1FmD5MXvkMOeoVwH7LqPcMK2iziI,"18525 NE Marine Dr.
Portland, OR 97230
(45.559073, -122.473027)",503-665-3705,http://www.columbiaridgemarina.com,Columbia River,Portland Area,Private,,Duane Dominguez,03/23/2006,04/23/2007,Floating Home Moorage,0,50,https://data.oregon.gov/views/w2n2-ruq7/files/rLf3JId0z4thvX871XZv3_i4kEMGFfg9XG29IsSFoUU
Odell Lake Resort Marina,https://data.oregon.gov/views/w2n2-ruq7/files/SLNSpkbiwDSFfNF6qN2Z6oz5k5vB4nu3f-kJ76ofHHs,"Odell Lake - off Hwy 58
Crescent Lake, OR 97425
(43.549847, -121.964789)",541-433-2540,http://www.odelllakeresort.com,Odell Lake,Southern Oregon,Private,,Jon & Tammy Ditgen,07/25/2006,07/30/2007,Marina,45,0,https://data.oregon.gov/views/w2n2-ruq7/files/u4usC6qY2IQM_dMQV5RPSxTWCPTQ38EcG7h0MeSWdvU
Coos Bay Yacht Club,https://data.oregon.gov/views/w2n2-ruq7/files/LFdqF_apbPQEfZwW986BiA4MoSb-igEH9hSzP1Sf_zE,"Tenmile Lake
Coos Bay, OR 97420
(43.565004, -124.135598)",,http://coosbayyachtclub.org/,Tenmile Lake,South Central Coast,Private,,George Tinker,08/02/2007,09/25/2007,Private Yacht Club,60,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Willamette Sailing Club,https://data.oregon.gov/views/w2n2-ruq7/files/uHdfj20or9YH3HX3w-KiUpV7ma-h3Uw_V2zEXg4ncyA,"6336 SW Beaver Ave.
Portland, OR 97239
(45.478211, -122.670714)",503-246-5345,http://www.willamettesailingclub.com/,Willamette River,Portland Area,Private,,Lauralee Symes,12/09/2007,08/14/2008,Private Yacht Club,130,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Channel Island Marina,https://data.oregon.gov/views/w2n2-ruq7/files/Ekv2LJcNc5jnYXscVuKPmub4rJPhMSsPhxp0hQL7EgY,"14555 NW Larson Rd
Portland, OR 97231
(45.628198, -122.818553)",,,Multnomah Channel,Lower Columbia River,Private,,Skip Sticka,05/23/2007,08/07/2007,Floating Home Moorage,18,19,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Dikeside Moorage,https://data.oregon.gov/views/w2n2-ruq7/files/PmjeIFP-QlSsc7NuXTPrTQhjvhKZ2cZWtxzgIIGugv0,"50776 Dike Rd .
Scappoose, OR 97056
(45.732246, -122.858081)",,,Multnomah Channel,Lower Columbia River,Private,,Bill Shaw,05/25/2006,11/15/2006,Floating Home Moorage,0,32,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Port of Coos Bay - Charleston Marina,https://data.oregon.gov/views/w2n2-ruq7/files/BlO0SaY7QIQaIw9L0jiC_ZaGIBJkurP_5DLu0uV4lP4,"63534 Kingfisher Rd.
Charleston, OR 97420
(43.346944, -124.3225)",541-888-2548,http://www.charlestonmarina.com/,Coos Bay,South Central Coast,Public,Port of Coos Bay,Kathy Wall,04/25/2006,03/27/2008,Marina,300,0,https://data.oregon.gov/views/w2n2-ruq7/files/7s4QNLkXjp5uaoYlZCaPNMtaQUSw_1X9KgN6eUzWTDs
Port of Siuslaw,https://data.oregon.gov/views/w2n2-ruq7/files/r2E28IvTTBCQ7Gq1Gor5lElzQE7rpaVUGOnUwLip8Oc,"100 Harbor St.
Florence, OR 97439
(43.968172, -124.101749)",541-997-3040,http://portofsiuslaw.com/,Siuslaw Bay,South Central Coast,Public,Port of Siuslaw,Mark Freeman,03/02/2007,10/01/2008,Marina,104,0,https://data.oregon.gov/views/w2n2-ruq7/files/a4Elq0IjTa1GM8Q-BKxPyWXPlc_6OMxNG_XDQkTIuHs
Hayden Bay Moorage,https://data.oregon.gov/views/w2n2-ruq7/files/YR-whTBJO-VH1ux4IjKKSyOP4DQNlJeWKrO4NroHV7g,"201 N. Lotus Beach Dr.
Portland, OR 97217
(45.607675, -122.669172)",503-283-2444,http://www.columbiacrossings.com/hayden.html,Columbia River,Portland Area,Private,Columbia Crossings,John Villanueva,11/30/2005,11/21/2006,Marina,304,0,https://data.oregon.gov/views/w2n2-ruq7/files/CQqJCV-SsNYFqY-MvyBGlL-lWVk7F4JyxjQnV1nlTvQ
Port of Brookings,,"16408 Lower Harbor Rd.
Brookings, OR 97415
(42.045556, -124.264444)",541-469-2218,http://www.port-brookings-harbor.com/,Chetco River,South Coast,Public,Port of Brookings,Ted Fitzgerald,07/13/2012,10/19/2012,Marina,657,0,
Big Eddy Marina,https://data.oregon.gov/views/w2n2-ruq7/files/Z5aAFjmN9U0YDeTxg0-NpzXb_kW5U9toXTzp26ryce8,"19609 NE Marine Dr.
Portland, OR 97230
(45.558032, -122.460161)",503-665-3515,http://bigeddymarina.com/,Columbia River,Portland Area,Private,,Brian Price,01/24/2007,08/26/2008,Marina,80,0,https://data.oregon.gov/views/w2n2-ruq7/files/3eDMlZnhhEiSqihIlXebrm15ojqvgZqUcnE3zflg-DQ
Clean Marina Map Icon,https://data.oregon.gov/views/w2n2-ruq7/files/WMQtcVeyDPoO9LaHxIirBw5vWbYlVtPjP67xLBvKJK4,,,,,,,,,,,,,,
Irrigon Marina,https://data.oregon.gov/views/w2n2-ruq7/files/HzZRJbDdCb805clbrZoaO_EkldRmAJbWpeEiGWIQB78,"NE 10th and Washington
Irrigon, OR 97844
(45.900556, -119.492222)",541-922-4933,,Columbia River,Upper Columbia River,Public,City of Irrigon,Burrel Cooley,03/01/2007,11/17/2009,Marina,58,0,https://data.oregon.gov/views/w2n2-ruq7/files/yyb3LNjuWNPHj35xZ7JcJFJF-UfxG_mR0oXVQGLy34g
Pier 99,https://data.oregon.gov/views/w2n2-ruq7/files/8OoAqKGZkViasrOSJ5tTT6k9YHCaqTZ7QPInJ4lAfb8,"1441 N Marine Dr.
Portland, OR 97217
(45.606111, -122.679722)",503-286-8221,,Columbia River,Portland Area,Private,,Walter Valenta,06/20/2006,04/26/2007,Marina,160,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Skipanon Marina,https://data.oregon.gov/views/w2n2-ruq7/files/jSrq4-_02QFBlka6AWE5ESReOcONlLAvddF43c0VgaE,"200 NE Skipanon Dr.
Warrenton, OR 97146
(46.166111, -123.919167)",503-861-0362,,Skipanon River,North Coast,Private,,Bob Link,12/04/2006,12/30/2008,Marina,92,0,https://data.oregon.gov/views/w2n2-ruq7/files/vLwnPLskB8R69mB-WH79CGVTD0qfy1K5ry5gx4riQ6o
