"project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Solhavn Apts","500 SW Bel Air Dr","Clatskanie","Guardian Real Estate Services","503-728-3159","57",,,"24","33",,
"Columbia Park Apts","47 W 7th St","Rainier","Cascade Management Inc.","503-556-1059","28",,,"18","10",,
"310 Columbia Blvd","310 Columbia Blvd","St Helens","Community Action Team","503-397-3511","8",,,"8",,,
"Columbia Hills Retirement Center","36050 Pittsburgh Rd","St Helens","Cascade Management Inc.","503-397-6131","33",,"20","13",,,
"Cowlitz St Housing","1660 Cowlitz St","St Helens","Columbia Community MH","503-397-5211","6",,,,,,
"Crest Apts","244 N 14th St","St Helens","Viridian Management","503-397-4938",,,,,,,
"Forest Park Apts","2545 Columbia Blvd","St Helens","Evolve Property Management","503-397-4142","80",,"18","20","22","20",
"Gable Park","2544 Gable Rd","St Helens","Evolve Property Management","503-397-3990","32",,,,"21","11",
"Norcrest Apts","184 Bradley","St Helens","Viridian Management","503-397-4938","24",,"1","6","17",,
"Northfolk Apts","544 N 10th","St Helens","Viridian Management","503-397-4938","24",,,"1","19","4",
"Woodland Trail Apts","345 N 16th","St Helens","Viridian Management","503-397-4938","49",,,"12","31","6",
"Sycamore View Apts","33445 Sycamore St","Scappoose","Cascade Management Inc.","503-543-4017","22",,,,"10","10","2"
"Victorian/Olive Court Apts","33878 E Columbia Blvd","Scappoose","Evolve Property Management","503-987-1842","17",,,,,,
"Blue Heron","600 California Ave","Vernonia","Evolve Property Management","503-429-6052","26",,,"4","11","11",
"Corey Hill","1772 Bridge St","Vernonia","Community Action Team","503-366-6555","39",,,"39",,,
