Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Citizen Involvement Advisory Committee Meeting,,07/29/2022 09:00:00 AM,07/29/2022 12:00:00 PM,https://us02web.zoom.us/j/84293401249?pwd=TkYvNVRyQ3UzNVNReVlZOU16b0ZMQT09,Zoom meeting,,Ingrid Caudel,(971) 701-1133,Ingrid.CAUDEL@dlcd.oregon.gov,,,,,,,,,,,,,,,,,,,
Land Conservation and Development Commission (LCDC) meeting,,07/21/2022 08:30:00 AM,07/22/2022 05:00:00 PM,"Hybrid Meeting (Salem and Virtual) Basement Hearing Room, Department of Agriculture Building. 635 Capitol St NE, Salem, OR 97301​",Salem,,Esther Johnson,,esther.johnson@dlcd.oregon.gov,,,,,,,,,,,,,,,,2022-07-LCDC-Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/d73179df-364e-4211-b4c0-492563375e26?download=true&filename=2022-07-LCDC-Agenda.pdf),,,
Oregon Ocean Policy Advisory Council,OPAC is Oregon's legislatively established stakeholder advisory committee. ,11/04/2021 09:00:00 AM,11/04/2021 03:00:00 PM,Online,Salem,Yes,Andy Lanier,5032062291,Andy.lanier@dlcd.oregon.gov,,,,,,,true,https://us02web.zoom.us/webinar/register/WN_4vWWQPGyQsO9XwjYvzJQLQ,,,https://www.oregonocean.info/index.php/ocean-documents/opac/meetings-1/2021-11-4/2614-opac-draft-meeting-agenda-nov-4-2021/file,,,,http://oregonocean.info/,,,,
Oregon Ocean Policy Advisory Council,OPAC is Oregon's legislatively established stakeholder advisory committee. ,05/17/2021 09:00:00 AM,05/17/2021 03:00:00 PM,Online,Salem,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://us02web.zoom.us/webinar/register/WN_E7njFiCdQVyGNW70My0UFw,,,https://www.oregonocean.info/index.php/opac-documents/meetings-1/2554-opac-draft-meeting-agenda-may-17-2021-1/file,,,,http://oregonocean.info/,,,,
OAH Council Meeting - April 2021,OAH Council Meeting,04/02/2021 02:00:00 PM,04/02/2021 04:00:00 PM,Zoom Meeting,Salem,,"Liz Perotti, PhD",541-961-3984,Elizabeth.A.Perotti@state.or.us,,,,,,,,,,,,,,,,Oregon OAH Council_OAH Multiagency Report_02.2021 Submission.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8f795a9f-0891-411d-a39c-eeb678373626?download=true&filename=Oregon%20OAH%20Council_OAH%20Multiagency%20Report_02.2021%20Submission.pdf),,,
Ocean Policy Advisory Council,OPAC,12/18/2020 08:30:00 AM,12/18/2020 01:00:00 PM,Zoom Webinar,Salem,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,11/09/2020 01:00:00 PM,11/09/2020 05:00:00 PM,Online,Salem,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,https://www.oregonocean.info/index.php/component/jevents/eventdetail/117/24%7C32%7C25%7C26%7C27%7C34/rocky-habitat-working-group-meeting?Itemid=1,Andy Lanier,5032062291,Andy.lanier@state.or.us,true,https://us02web.zoom.us/j/81624814177?pwd=MnN3V0Zsdi9ZYnY2eUltWHp1VnpWUT09,,,,,,,http://oregonocean.info/,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,08/18/2020 11:00:00 AM,08/18/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,07/14/2020 11:00:00 AM,07/14/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,06/09/2020 11:00:00 AM,06/09/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
