"document_type","document_name","file_link","document_date","author"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-July-8-OR-Votes-ESC-Meeting-Minutes.pdf","2021-07-08T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-July-8-OR-Votes-Executive-Status-Report.pdf","2021-07-08T00:00:00.000","Bryan Edgerton"
"Execution","Project Kick-Off","https://sos.oregon.gov/admin/Documents/transparency/2021-July-8-OR-Votes-Kickoff-Presentation.pdf","2021-07-08T00:00:00.000","Ashish Puri"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-June-10-OR-Votes-ESC-Meeting-Minutes.pdf","2021-06-10T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-June-10-OR-Votes-Executive-Status-Report.pdf","2021-06-10T00:00:00.000","Bryan Edgerton"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-March-23-OR-Votes-ESC-Meeting-Minutes.pdf","2021-03-23T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-March-23-OR-Votes-Executive-Status-Report.pdf","2021-03-23T00:00:00.000","Bryan Edgerton"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-May-13-OR-Votes-ESC-Meeting-Minutes.pdf","2021-05-13T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-May-13-OR-Votes-Executive-Status-Report.pdf","2021-05-13T00:00:00.000","Bryan Edgerton"
"Initiation","Business Case for OCVR Modernization","https://sos.oregon.gov/admin/Documents/transparency/OR-Votes-Business-Case.pdf","2020-11-20T00:00:00.000","Michelle Teed, Tim Esau"
"Initiation","Project Charter","https://sos.oregon.gov/admin/Documents/transparency/OR-Votes-Project-Charter.pdf","2020-11-20T00:00:00.000","Bryan Edgerton"
"Planning","Requirements","https://sos.oregon.gov/admin/Documents/transparency/OR-Votes-Requirements.pdf","2021-07-05T00:00:00.000","Bryan Edgerton"
"Initiation","Service Levels and Credits","https://sos.oregon.gov/admin/Documents/transparency/OR-Votes-Service-Levels-Credits.pdf","2021-07-05T00:00:00.000","Bryan Edgerton"
"Initiation","Statement of Work","https://sos.oregon.gov/admin/Documents/transparency/OR-Votes-Statement-of-Work.pdf","2021-07-05T00:00:00.000","Bryan Edgerton"
"Status","Project Sub-Committee Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-May-20-OR-Votes-Status-Presentation-Sub-Committee-Meeting.pdf","2021-05-20T00:00:00.000","Bryan Edgerton"
"Minutes","Sub-Committee Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-April-22-OR-Votes-Sub-Committee-Meeting.pdf","2021-04-22T00:00:00.000","Tim Esau"
"Minutes","Sub-Committee Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-May-20-OR-Votes-Sub-Committee-Meeting.pdf","2021-05-20T00:00:00.000","Tim Esau"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-July-27-OR-Votes-Sub-Committee-Meeting.pdf","2021-07-27T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-August-12-OR-Votes-ESC-Meeting-Presentation.pdf","2021-08-12T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Kickoff","https://sos.oregon.gov/admin/Documents/transparency/2021-July-13-OR-Votes-County-Sub-Committee-Minutes.pdf","2021-07-13T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-June-17-OR-Votes-County-Sub-Committee-Meeting.pdf","2021-06-17T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-August-19-OR-Votes-County-Sub-Committee-Meeting.pdf","2021-08-19T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-April-22-OR-Votes-Sub-Committee-Status-Presentation.pdf","2021-04-22T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-July-27-OR-Votes-Sub-Committee-Status-Presentation.pdf","2021-07-27T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-August-19-OR-Votes-County-Sub-Committee-Meeting-Minutes.pdf","2021-08-19T00:00:00.000","Tim Esau"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-September-22-OV-County-Sub-Committee-Status-Presentation.pdf","2021-09-22T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-October-21-OV-County-Sub-Committee-Status-Presentation.pdf","2021-10-21T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-September-22-OR-Votes-County-Sub-Committee-Meeting-Minutes.pdf","2021-09-22T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-October-14-OR-Votes-ESC-Meeting-Presentation.pdf","2021-10-14T00:00:00.000","Bryan Edgerton"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-September-09-OR-Votes-ESC-Meeting-Presentation.pdf","2021-09-09T00:00:00.000","Bryan Edgerton"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-November-12-OR-Votes-Executive-Steering-Committee.pdf","2021-11-12T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-November-22-OR-Votes-County-Sub-Committee-Meeting-Minutes.pdf","2021-11-22T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-November-22-OR-Votes-County-Sub-Committee-Meeting-Presentation.pdf","2021-11-22T00:00:00.000","Bryan Edgerton"
