"registry_number","registry_date","anniversary_date","business_name","e_type","city","state","zip","cityzip","county"
"4327011","1857-01-01T00:00:00.000","2023-01-01T00:00:00.000","GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","DNP","FOREST GROVE","OR","97116","FOREST GROVE-97116","Washington"
"4336319","1857-01-01T00:00:00.000","2023-01-01T00:00:00.000","GRAND LODGE OF OREGON I.O.O.F.","DNP","PORTLAND","OR","97202","PORTLAND-97202","Multnomah"
"4226411","1890-01-01T00:00:00.000","2023-01-01T00:00:00.000","PIONEER PRESBYTERIAN CHURCH ON CLATSOP PLAINS","DNP","WARRENTON","OR","97146","WARRENTON-97146","Clatsop"
"890517","1903-01-01T00:00:00.000","2023-01-01T00:00:00.000","THE ELKS HOME BUILDING ASSOCIATION OF BAKER CITY LODGE NO. 338, B.P.O. ELKS","DNP","BAKER CITY","OR","97814","BAKER CITY-97814","Baker"
"7249519","1964-01-01T00:00:00.000","2023-01-01T00:00:00.000","CANYON FURNITURE, INC.","DBC","ALOHA","OR","97003","ALOHA-97003","Washington"
"7249915","1964-01-01T00:00:00.000","2023-01-01T00:00:00.000","OREGON BLUE PRINT CO.","DBC","PORTLAND","OR","97214","PORTLAND-97214","Multnomah"
"7249618","1964-01-01T00:00:00.000","2023-01-01T00:00:00.000","PARKER FURNITURE, INC.","DBC","BEAVERTON","OR","97005","BEAVERTON-97005","Washington"
"7487515","1965-01-01T00:00:00.000","2023-01-01T00:00:00.000","CURTIS TRAILERS, INC.","DBC","PORTLAND","OR","97204","PORTLAND-97204","Multnomah"
"7487713","1965-01-01T00:00:00.000","2023-01-01T00:00:00.000","SOUTH COAST LUMBER CO.","DBC","BROOKINGS","OR","97415","BROOKINGS-97415","Curry"
"7725013","1966-01-01T00:00:00.000","2023-01-01T00:00:00.000","DAVIDSON'S MASONRY, INC.","DBC","SALEM","OR","97302","SALEM-97302","Marion"
"7969413","1967-01-01T00:00:00.000","2023-01-01T00:00:00.000","COAST INDUSTRIES, INC.","DBC","GRESHAM","OR","97030","GRESHAM-97030","Multnomah"
"8220816","1968-01-01T00:00:00.000","2023-01-01T00:00:00.000","ELECTRONIC CONTROLS DESIGN, INC.","DBC","MILWAUKIE","OR","97222","MILWAUKIE-97222","Clackamas"
"8220311","1968-01-01T00:00:00.000","2023-01-01T00:00:00.000","GARBARINO DISPOSAL & RECYCLING SERVICE, INC","DBC","NORTH PLAINS","OR","97133","NORTH PLAINS-97133","Washington"
"8522419","1969-01-01T00:00:00.000","2023-01-01T00:00:00.000","AMATO BROTHERS ENTERPRISES, INC.","DBC","PORTLAND","OR","97201","PORTLAND-97201","Multnomah"
"8522617","1969-01-01T00:00:00.000","2023-01-01T00:00:00.000","SCHAUERMANN INSURANCE ASSOCIATES, INC.","DBC","FOREST GROVE","OR","97116","FOREST GROVE-97116","Washington"
"8840019","1970-01-01T00:00:00.000","2023-01-01T00:00:00.000","PACIFIC COAST PAINT CO.","DBC","PORTLAND","OR","97214","PORTLAND-97214","Multnomah"
"9172214","1971-01-01T00:00:00.000","2023-01-01T00:00:00.000","FERGUSON RANCH, INC.","DBC","WESTON","OR","97886","WESTON-97886","Umatilla"
"9173618","1971-01-01T00:00:00.000","2023-01-01T00:00:00.000","INTERPATH LABORATORY, INC.","DBC","PENDLETON","OR","97801","PENDLETON-97801","Umatilla"
"9173717","1971-01-01T00:00:00.000","2023-01-01T00:00:00.000","REDMOND TALLOW CO.","DBC","REDMOND","OR","97756","REDMOND-97756","Deschutes"
"9559113","1972-01-01T00:00:00.000","2023-01-01T00:00:00.000","PHYSICIANS' MEDICAL CENTER, P. C.","DPC","MCMINNVILLE","OR","97128","MCMINNVILLE-97128","Yamhill"
"9989310","1973-01-01T00:00:00.000","2023-01-01T00:00:00.000","LOMIN INCORPORATED","DBC","HAPPY VALLEY","OR","97086","HAPPY VALLEY-97086","Clackamas"
"10425619","1974-01-01T00:00:00.000","2023-01-01T00:00:00.000","RAY-BURT'S INC.","DBC","PORTLAND","OR","97202","PORTLAND-97202","Multnomah"
"10425817","1974-01-01T00:00:00.000","2023-01-01T00:00:00.000","TLR - TOTAL LOGISTICS RESOURCE, INC.","DBC","PORTLAND","OR","97214","PORTLAND-97214","Multnomah"
"10860419","1975-01-01T00:00:00.000","2023-01-01T00:00:00.000","C.C. MEISEL CO., INC.","DBC","AURORA","OR","97002","AURORA-97002","Marion"
"11320710","1976-01-01T00:00:00.000","2023-01-01T00:00:00.000","CORVALLIS UNITED METHODIST FOUNDATION","DNP","CORVALLIS","OR","97330","CORVALLIS-97330","Benton"
"11871514","1977-01-01T00:00:00.000","2023-01-01T00:00:00.000","12H, INC.","DBC","HERMISTON","OR","97838","HERMISTON-97838","Umatilla"
"11871613","1977-01-01T00:00:00.000","2023-01-01T00:00:00.000","OPS COMPANY","DBC","ONTARIO","OR","97914","ONTARIO-97914","Malheur"
"11871316","1977-01-01T00:00:00.000","2023-01-01T00:00:00.000","OREGON ROAD RUNNERS CLUB","DNP","BEAVERTON","OR","97005","BEAVERTON-97005","Washington"
"11865813","1977-01-01T00:00:00.000","2023-01-01T00:00:00.000","PACIFIC INLAND TRANSPORTATION BUREAU","DNP","PORTLAND","OR","97213","PORTLAND-97213","Multnomah"
"12575916","1978-01-01T00:00:00.000","2023-01-01T00:00:00.000","BUDGET TRUCK STOP, INC.","DBC","MEDFORD","OR","97504","MEDFORD-97504","Jackson"
"12574711","1978-01-01T00:00:00.000","2023-01-01T00:00:00.000","LUVAAS, COBB, RICHARDS & FRASER, P.C.","DPC","EUGENE","OR","97401","EUGENE-97401","Lane"
"13346416","1979-01-01T00:00:00.000","2023-01-01T00:00:00.000","E & L AUTO PARTS, INC.","DBC","HOOD RIVER","OR","97031","HOOD RIVER-97031","Hood River"
"13346218","1979-01-01T00:00:00.000","2023-01-01T00:00:00.000","HIRONS, INC.","DBC","EUGENE","OR","97401","EUGENE-97401","Lane"
"13345715","1979-01-01T00:00:00.000","2023-01-01T00:00:00.000","MYERS MECHANICAL AND METALLURGICAL, INC.","DBC","CORVALLIS","OR","97330","CORVALLIS-97330","Benton"
"14176713","1980-01-01T00:00:00.000","2023-01-01T00:00:00.000","MASON, BRUCE & GIRARD, INC.","DBC","PORTLAND","OR","97205","PORTLAND-97205","Multnomah"
"14968911","1981-01-01T00:00:00.000","2023-01-01T00:00:00.000","DOUGLAS, CONROYD, GIBB & PACHECO, P.C.","DPC","SALEM","OR","97301","SALEM-97301","Marion"
"14968119","1981-01-01T00:00:00.000","2023-01-01T00:00:00.000","LANE FIRE AUTHORITY VOLUNTEER FIREFIGHTERS ASSOCIATION","DNP","VENETA","OR","97487","VENETA-97487","Lane"
"16620916","1982-01-01T00:00:00.000","2023-01-01T00:00:00.000","FETZER'S GERMAN SAUSAGE & DELI, INC.","DBC","PORTLAND","OR","97217","PORTLAND-97217","Multnomah"
