"division","classification","position","title","_07_31_13","_08_31_13","_09_30_13","_10_31_13","_11_30_13","_12_31_13","_01_31_14","_02_28_14","_03_31_14","_04_30_14","_05_31_14","_06_30_14","_07_31_14","_08_31_14","_09_30_14","_10_31_14","_11_30_14","_12_31_14","_01_31_15","_02_28_15","_03_31_15","_04_30_15","_05_31_15","_06_30_15","total"
"Administration","Accountant 2","0102001","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.97",,,,,,,"17.12"
"Administration","Accountant 2","0102001","DENTAL INSURANCE","99.49","99.49","99.49","99.49","99.49","98.18","98.18","98.18","98.18","98.18","98.18","98.18","98.18","98.18","98.18","98.18","98.18","103.44",,,,,,,"1779.05"
"Administration","Accountant 2","0102001","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65","1.65",,,,,,,"29.70"
"Administration","Accountant 2","0102001","HEALTH INSURANCE","1195.01","1195.01","1195.01","1195.01","1195.01","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1189.12","1205.18",,,,,,,"21449.67"
"Administration","Accountant 2","0102001","PERS PENSION OBLIGATION BOND PAYMENT","292.95","292.95","292.95","310.08","310.08","314.70","314.70","314.70","314.70","314.70","314.70","314.70","314.70","314.70","321.00","321.00","321.00","416.81",,,,,,,"5711.12"
"Administration","Accountant 2","0102001","PERS RETIREMENT","734.00","734.00","734.00","734.00","734.00","744.94","744.94","744.94","744.94","744.94","744.94","744.94","744.94","744.94","759.85","759.85","759.85","986.67",,,,,,,"13640.68"
"Administration","Accountant 2","0102001","REGULAR EMPLOYEES SALARY","4628.00","4628.00","4628.00","4628.00","4628.00","4697.00","4697.00","4697.00","4697.00","4697.00","4697.00","4697.00","4697.00","4697.00","4791.00","4791.00","4791.00","6221.09",,,,,,,"86007.09"
"Administration","Accountant 2","0102001","SOCIAL SECURITY & MEDICARE","349.74","349.74","349.74","349.74","349.73","355.05","355.04","355.05","355.05","355.04","355.05","355.05","355.05","355.05","362.23","362.24","362.24","473.96",,,,,,,"6504.79"
"Administration","Accountant 2","0102001","WORKERS' BENEFIT FUND ASSESSMENT","2.39","2.46","2.61","2.53","1.87","2.11","2.57","0.74","2.32","1.85","2.43","2.38","2.50","2.70","2.46","2.02","1.96","2.19",,,,,,,"40.09"
"Administration","Accountant 2","0102001","Total","7304.18","7304.25","7304.40","7321.45","7320.78","7403.70","7404.15","7402.33","7403.91","7403.43","7404.02","7403.97","7404.09","7404.29","7526.44","7526.01","7525.95","9411.96","0.00","0.00","0.00","0.00","0.00","0.00","135179.31"
"Administration","Accountant 2","0345001","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95",,,"0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","20.90"
