"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Medical Board, Oregon","Special Review","1996-52","11","1996","false","6704106",,,,,,,,,,,,,,,,,,,,,,,"19"
"Administrative Services, Department of","Appointments to State Service","1997-84","12","1997","false","6704449",,,,,,,,,,,,,,,,,,,,,,,"14"
"Administrative Services, Department of","Statewide Financial Management System-Special Review","1997-69","7","1997","false","6710479",,,,,,,,,,,,,,,,,,,,,,,"4"
"Administrative Services, Department of","Purchasing and Price Agreements","1997-74","9","1997","false","6710483",,,,,,,,,,,,,,,,,,,,,,,"11"
"Administrative Services, Department of","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Administrative Services, Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Administrative Services, Department of","Procurement Practices for Custodial Products","1997-80","11","1997","false","6710488",,,,,,,,,,,,,,,,,,,,,,,"13"
"Administrative Services, Department of","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Administrative Services, Department of","Statewide Financial Management System Phase 2B Part 1 Review","1997-21","2","1997","false","6710512",,,,,,,,,,,,,,,,,,,,,,,"11"
"Administrative Services, Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Administrative Services, Department of","Department of Administrative Services Statewide Financial Management System Phase 2B Part 2 Review","1997-30","3","1997","false","6710503",,,,,,,,,,,,,,,,,,,,,,,"14"
"Agriculture, Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Architect Examiners, State Board of","Special Review-Change of Administrator July 1, 1995 to July 31, 1996","1997-61","6","1997","false","6710471",,,,,,,,,,,,,,,,,,,,,,,"12"
"Bar, Oregon State","January 1, 1996 to December 31, 1996","1997-39","5","1997","false","6710511",,,,,,,,,,,,,,,,,,,,,,,"15"
"Clinical Social Workers, State Board of","Special Review","1997-48","5","1997","false","6704458",,,,,,,,,,,,,,,,,,,,,,,"29"
"Community Colleges and Workforce Development, Department of","Special Review July 1, 1995 through December 31, 1996","1997-67","7","1997","false","6710477",,,,,,,,,,,,,,,,,,,,,,,"2"
"Construction Contractors Board","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Consumer and Business Services, Department of","Investigation of Allegations of Building Code Violations: in Harney County","1997-73","9","1997","false","6710482",,,,,,,,,,,,,,,,,,,,,,,"10"
"Consumer and Business Services, Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Consumer and Business Services, Department of","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Corrections, Department of","Special Payroll Investigation","1997-23","2","1997","false","6710499",,,,,,,,,,,,,,,,,,,,,,,"26"
"Corrections, Department of","Review of Prison Industries Operations","1997-27","3","1997","false","6710500",,,,,,,,,,,,,,,,,,,,,,,"5"
"Corrections, Department of","Corrections Industries June 1997","1997-60","5","1997","false","6710470",,,,,,,,,,,,,,,,,,,,,,,"31"
"Corrections, Department of","Overtime Special Review","1997-14","1","1997","false","6710495",,,,,,,,,,,,,,,,,,,,,,,"22"
"Counselors and Therapists, Oregon Board of Licensed Professional","Special Review","1997-56","5","1997","false","6710466",,,,,,,,,,,,,,,,,,,,,,,"29"
"Crook County School District","Special Review","1998-34","9","1997","false","6710528",,,,,,,,,,,,,,,,,,,,,,,"9"
"Dentistry, Oregon Board of","Special Review","1997-45","5","1997","false","6704455",,,,,,,,,,,,,,,,,,,,,,,"29"
"Dietitians, Board of Examiners of Licensed","Special Review","1997-57","5","1997","false","6710467",,,,,,,,,,,,,,,,,,,,,,,"29"
"Driver and Motor Vehicles Services","New Licensing System - Software Contract Expenditures Special Review","1997-13","1","1997","false","6710494",,,,,,,,,,,,,,,,,,,,,,,"21"
"Economic and Community Development Department, Oregon","Water Fund July 1, 1995 to June 30, 1996","1997-32","3","1997","false","6710504",,,,,,,,,,,,,,,,,,,,,,,"24"
"Economic and Community Development Department, Oregon","Wood Products Competitiveness Corporation, Inc.","1997-63","6","1997","false","6710473",,,,,,,,,,,,,,,,,,,,,,,"14"
"Economic and Community Development Department, Oregon","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Economic and Community Development Department, Oregon","Department of Administrative Services Statewide Financial Management System Phase 2B Part 2 Review","1997-30","3","1997","false","6710503",,,,,,,,,,,,,,,,,,,,,,,"14"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 1995 to June 30, 1996","1997-33","3","1997","false","6710505",,,,,,,,,,,,,,,,,,,,,,,"25"
"Education, Oregon Department of","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Education, Oregon Department of","Oregon Department of Education To Lead Education Reform: An Appraisal of the Oregon Department of Education","1997-37","4","1997","false","6710509",,,,,,,,,,,,,,,,,,,,,,,"28"
"Employment, Oregon Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Employment, Oregon Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Energy, Oregon Department of","Small Scale Energy Loan Program July 1, 1995 to June 30, 1996","1997-34","4","1997","false","6710506",,,,,,,,,,,,,,,,,,,,,,,"5"
"Energy, Oregon Department of","SELP Bond Debt-Special Review July 1, 1995 to June 30, 1996","1997-62","6","1997","false","6710472",,,,,,,,,,,,,,,,,,,,,,,"13"
"Energy, Oregon Department of","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Environmental Quality, Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Forestry, Department of","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Health, Housing, Educational and Cultural Facilities Authority","Special Review","1997-40","5","1997","false","6704450",,,,,,,,,,,,,,,,,,,,,,,"19"
"Health Licensing Agency, Oregon","Special Review","1997-46","5","1997","false","6704456",,,,,,,,,,,,,,,,,,,,,,,"29"
"Health-Related Licensing Boards","Department of Human Resources Review of Accounting for Health-Related Licensing Boards","1997-43","5","1997","false","6704453",,,,,,,,,,,,,,,,,,,,,,,"28"
"Housing and Community Services Department","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Human Services, Department of","Medicaid Management Information System Review","1997-83","12","1997","false","6704448",,,,,,,,,,,,,,,,,,,,,,,"13"
"Human Services, Department of","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Human Services, Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Human Services, Department of","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Department of Human Resources Review of Accounting for Health-Related Licensing Boards","1997-43","5","1997","false","6704453",,,,,,,,,,,,,,,,,,,,,,,"28"
"Judicial Department, Oregon","Department of Administrative Services Statewide Financial Management System Phase 2B Part 2 Review","1997-30","3","1997","false","6710503",,,,,,,,,,,,,,,,,,,,,,,"14"
"Justice, Oregon Department of","Statewide Financial Management System Phase 2B Part 1 Review","1997-21","2","1997","false","6710512",,,,,,,,,,,,,,,,,,,,,,,"11"
"Justice, Oregon Department of","Special Review","1997-29","3","1997","false","6710502",,,,,,,,,,,,,,,,,,,,,,,"13"
"Labor and Industries, Bureau of","Statewide Financial Management System Phase 2B Part 1 Review","1997-21","2","1997","false","6710512",,,,,,,,,,,,,,,,,,,,,,,"11"
"Land Conservation and Development, Department of","Special Review","1997-28","3","1997","false","6710501",,,,,,,,,,,,,,,,,,,,,,,"11"
"Land Conservation and Development, Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Landscape Architect Board","Special Review - Change of Administrator July 1, 1995 to July 31, 1996","1997-61","6","1997","false","6710471",,,,,,,,,,,,,,,,,,,,,,,"12"
"Landscape Architect Board","Special Review - Change of Administrator July 1, 1995 to July 31, 1996","1997-61","6","1997","false","6710471",,,,,,,,,,,,,,,,,,,,,,,"12"
"Landscape Contractors Board","Special Review","1997-35","4","1997","false","6710507",,,,,,,,,,,,,,,,,,,,,,,"10"
"Landscape Contractors Board","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Legislative Audit Committee","Report to the Joint Legislative Audit Committee: November 19, 1997","1997-81","11","1997","false","6710489",,,,,,,,,,,,,,,,,,,,,,,"14"
"Legislative Council Committee","Statewide Financial Management System Phase 2B Part 1 Review","1997-21","2","1997","false","6710512",,,,,,,,,,,,,,,,,,,,,,,"11"
"Library, Oregon State","Special Review","1997-78","11","1997","false","6710486",,,,,,,,,,,,,,,,,,,,,,,"6"
"Lottery Commission, Oregon State","July 1, 1996 to June 30, 1997","1997-86","12","1997","false","6704107",,,,,,,,,,,,,,,,,,,,,,,"16"
"Lottery Commission, Oregon State","July 1, 1995 to June 30, 1996","1997-11","1","1997","false","6710493",,,,,,,,,,,,,,,,,,,,,,,"20"
"Massage Therapists, State Board of","Special Review","1997-59","5","1997","false","6710469",,,,,,,,,,,,,,,,,,,,,,,"30"
"Military Department, Oregon","Department of Administrative Services Statewide Financial Management System Phase 2B Part 2 Review","1997-30","3","1997","false","6710503",,,,,,,,,,,,,,,,,,,,,,,"14"
