"registry_number","business_name","entity_type","nonprofit_type","address","address_continued","city","state","zip_code"
"23109697","HELIX ADVANCEMENT PARTNERSHIP NETWORK","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","46269 HUDEMAN RD",,"ADAMS","OR","97810"
"188619796","WILD HORSE GRANGE INCORPORATED","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","49054 MIDWAY RD",,"ADAMS","OR","97810"
"34080994","OWYHEE WATERSHED COUNCIL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","106 OWYHEE ST",,"ADRIAN","OR","97901"
"160734191","ADRIAN 2040","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","647 RUSSET RD",,"ADRIAN","OR","97901"
"8005688","AGNESS COMMUNITY LIBRARY ASSOCIATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","03925 COUGAR LANE",,"AGNESS","OR","97406"
"5463112","BOYS & GIRLS CLUB OF ALBANY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1215 HILL ST SE",,"ALBANY","OR","97322"
"5856018","UNITED WAY OF LINN, BENTON AND LINCOLN COUNTIES","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1127 HILL ST SE",,"ALBANY","OR","97321"
"7182215","KNOX BUTTE CEMETARY ASSOCIATION, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1113 HILL ST SE STE H",,"ALBANY","OR","97322"
"9436015","ALBANY BOYS & GIRLS CLUB FOUNDATION, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2650 NE TUSCAN LN",,"ALBANY","OR","97321"
"11157211","FISH OF ALBANY, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1035 SE 2ND AVE",,"ALBANY","OR","97321"
