"meeting_title","start_date_time","end_date_time","meeting_location","city","state","contact_name","contact_email","web_link"
"Regularly Scheduled Board Meeting","2022-08-19T08:00:00.000","2022-08-19T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2022-06-17T08:00:00.000","2022-06-17T13:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Public Rulemaking Hearing","2022-05-18T12:00:00.000","2022-05-18T12:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Public Rulemaking Hearing","2022-04-22T09:00:00.000","2022-04-22T10:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2022-04-22T08:00:00.000","2022-04-22T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Special Board Meeting","2022-03-30T17:00:00.000","2022-03-30T19:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Anesthesia Committee Meeting","2022-03-18T15:45:00.000","2022-03-18T17:00:00.000","1500 SW 1st Ave. SUite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2022-02-25T08:00:00.000","2022-02-25T13:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Dental Therapy Rules Oversight Committee Meeting","2022-02-23T17:00:00.000","2022-02-23T19:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Dental Therapy Rules Oversight Committee Meeting","2022-01-19T17:00:00.000","2022-01-19T19:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2021-12-17T08:00:00.000","2021-12-17T13:30:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Dental Therapy Rules Oversight Committee Meeting","2021-12-08T17:00:00.000","2021-12-08T19:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Dental Therapy Rules Oversight Committee Meeting","2021-11-10T17:00:00.000","2021-11-10T19:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Special Board Teleconference Meeting","2021-11-05T12:00:00.000","2021-11-05T12:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2021-10-22T08:00:00.000","2021-10-22T15:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Dental Therapy Rules Oversight Committee Meeting","2021-10-07T17:00:00.000","2021-10-07T19:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Public Rulesmaking Hearing","2021-09-15T12:00:00.000","2021-09-15T13:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2021-08-20T08:00:00.000","2021-08-20T15:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Rules Oversight Committee Meeting","2021-06-18T14:00:00.000","2021-06-18T15:30:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2021-06-18T08:00:00.000","2021-06-18T13:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2021-04-16T08:00:00.000","2021-04-16T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2021-02-19T08:00:00.000","2021-02-19T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2020-12-18T08:00:00.000","2020-12-18T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen. Prisby@oregondentistry.gov",
"Regularly Scheduled Board Meeting","2020-10-23T08:00:00.000","2020-10-23T16:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Licensing, Standards and Competency Committee Meeting","2020-10-07T17:00:00.000","2020-10-07T17:30:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@oregondentistry.org",
"Regularly Scheduled Board Meeting","2020-08-21T07:30:00.000","2020-08-21T16:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Special Board Teleconference Meeting","2020-08-07T12:00:00.000","2020-08-07T12:30:00.000","1500 SW 1st Ave. Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2020-06-19T07:30:00.000","2020-06-19T14:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Public Rulesmaking Hearing","2020-04-24T13:00:00.000","2020-04-24T13:15:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Public Rulesmaking Hearing","2020-04-24T13:00:00.000","2020-04-24T13:15:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2020-04-24T07:30:00.000","2020-04-24T13:30:00.000","1500 SW 1st Ave. Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2020-04-24T07:30:00.000","2020-04-24T13:30:00.000","1500 SW 1st Ave. Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2020-02-21T07:30:00.000","2020-02-21T15:00:00.000","1500 SW 1st Ave., Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Special Teleconference Board Meeting","2020-02-05T11:30:00.000","2020-02-05T12:30:00.000","1500 SW 1st Ave, Suite #770","Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2019-12-13T07:30:00.000","2019-12-13T15:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
"Regularly Scheduled Board Meeting","2019-10-25T07:30:00.000","2019-10-25T15:00:00.000","1500 SW 1st Ave., Suite #770"," Portland","OR","Stephen Prisby","stephen.prisby@state.or.us",
