"year","quarter","region","species","grade","pond_value","number_of_quotes"
"2000","2","5 - Klamath Unit","True Fir","SC","75","5 or less"
"2000","1","4 - Grants Pass Unit","Ponderosa Pine","5S","650","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","1P","900","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","2P","800","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","3P","725","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","SM","620","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","2S","550","14"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","3S","510","13"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","4S","455","12"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","SC","275","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Douglas-fir","Utility","70","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","P","450","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","SM","400","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","2S","385","10"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","3S","365","11"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","4S","310","8"
"2000","4","1 - Northwest Oregon & Willamette","Hemlock","Utility","70","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Spruce","SM","400","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Spruce","2S","385","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Spruce","3S","345","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Spruce","4S","320","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Spruce","Utility","60","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","1S","925","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","2S","925","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","3S","925","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","4S","925","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","Utility","100","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Western Red Cedar","Wormy","425","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Red Alder","CR","490","5 or less"
"2000","4","1 - Northwest Oregon & Willamette","Red Alder","Pulp","230","5 or less"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","1P","1095","5 or less"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","2P","925","5 or less"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","3P","740","6"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","SM","645","6"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","2S","570","8"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","3S","520","7"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","4S","455","7"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","SC","280","8"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Douglas-fir","Utility","105","8"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Hemlock - White Fir","P","450","5 or less"
"2000","4","2 & 3 - Coos, Douglas Counties & Roseburg","Hemlock - White Fir","SM","435","5 or less"
