"county","precinct","precinct_name","split","district_name","district_type"
"COOS","12","12 - COQUILLE CITY","        01","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        01","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        14","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        02","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        12","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        07","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        03","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        10","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        06","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        08","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        04","House District 01","STATE REPRESENTATIVE"
"COOS","12","12 - COQUILLE CITY","        02","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        13","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        05","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        11","House District 01","STATE REPRESENTATIVE"
"COOS","11","11 - RURAL COQUILLE","        09","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        03","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        03","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        09","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        08","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        10","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        04","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        05","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        05","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        07","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        06","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        06","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        04","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        07","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        02","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        01","House District 01","STATE REPRESENTATIVE"
"COOS","10","10 - RURAL COOS BAY","        01","House District 01","STATE REPRESENTATIVE"
"COOS","09","09 - RURAL COOS BAY WEST","        02","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","12","12 NW OF  ROSEBURG","        07","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","12","12 NW OF  ROSEBURG","        06","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","13","13 COUNTY WEST","04","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        03","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        02","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        01","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        06","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        05","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","11","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        07","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","13","13 COUNTY WEST","07","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","10","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        09","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","        08","House District 01","STATE REPRESENTATIVE"
"DOUGLAS","16","16 COUNTY SW","13","House District 01","STATE REPRESENTATIVE"
