"start_date_time","city","meeting_location","map_link","contact_name","phone_number","contact_email","agenda_download","agenda","link_to_meeting_minutes_summaries","agency"
"2022-09-14T09:30:00.000","Grand Ronde","Spirit Mountain Casino, Kalapuya B conference room","https://www.google.com/maps/place/Spirit+Mountain+Casino/@45.0582447,-123.5838944,17z/data=!4m5!3m4!1s0x54eaba293dee80c5:0x389016ce27c91420!8m2!3d45.0582447!4d-123.5817004 (https://www.google.com/maps/place/Spirit+Mountain+Casino/@45.0582447,-123.5838944,17z/data=!4m5!3m4!1s0x54eaba293dee80c5:0x389016ce27c91420!8m2!3d45.0582447!4d-123.5817004)","Martha Garcia","","vaac@odva.state.or.us",,"","","Veterans Affairs Department"
"2022-06-01T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us",,"","","Veterans Affairs Department"
"2022-03-02T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us",,"","https://issuu.com/odva/docs/march_ac_report_2022 (https://issuu.com/odva/docs/march_ac_report_2022)","Veterans Affairs Department"
"2021-12-01T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","AC December 2021 Report.pdf (https://data.oregon.gov/views/gs36-7t8m/files/ca59f6be-5d80-47c6-a6bc-75412663a3e7?download=true&filename=AC%20December%202021%20Report.pdf)","https://issuu.com/odva/docs/ac_december_2021_report (https://issuu.com/odva/docs/ac_december_2021_report)","","Veterans Affairs Department"
"2021-09-08T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","September ODVA AC Report (1).pdf (https://data.oregon.gov/views/gs36-7t8m/files/8bfe7121-636f-4f4d-9d88-5489573cbe1d?download=true&filename=September%20ODVA%20AC%20Report%20(1).pdf)","https://issuu.com/home/published/september_odva_ac_report (https://issuu.com/home/published/september_odva_ac_report)","","Veterans Affairs Department"
"2021-06-02T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","June 2021 AC Report.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8b0ba34e-d2bd-46d5-8199-0a4b1c40e292?download=true&filename=June%202021%20AC%20Report.pdf)","https://issuu.com/odva/docs/june_2021_ac_report (https://issuu.com/odva/docs/june_2021_ac_report)","","Veterans Affairs Department"
"2021-03-03T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","ODVA Advisory Committee Report_3MAR2021.pdf (https://data.oregon.gov/views/gs36-7t8m/files/87de23f6-1921-4acc-9357-7a2856f7307b?download=true&filename=ODVA%20Advisory%20Committee%20Report_3MAR2021.pdf)","https://issuu.com/odva/docs/odva_advisory_committee_report_3mar2021 (https://issuu.com/odva/docs/odva_advisory_committee_report_3mar2021)","","Veterans Affairs Department"
"2020-12-02T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","VAAC_Dec2_Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/34f4735d-2ccb-4563-b6c2-5f726e4fb82b?download=true&filename=VAAC_Dec2_Agenda.pdf)","https://issuu.com/odva/docs/odva_december_report_to_the_advisory_committee (https://issuu.com/odva/docs/odva_december_report_to_the_advisory_committee)","","Veterans Affairs Department"
"2020-10-26T09:30:00.000","Online","Zoom","","Martha Garcia","","vaac@odva.state.or.us","October 2020 ODVA Rpt to the Advisory Committee.pdf (https://data.oregon.gov/views/gs36-7t8m/files/c4690c8e-3a4e-47f0-bd3d-88e827cd0058?download=true&filename=October%202020%20ODVA%20Rpt%20to%20the%20Advisory%20Committee.pdf)","https://issuu.com/odva/docs/sept_2020_odva_rpt_to_the_advisory_committee (https://issuu.com/odva/docs/sept_2020_odva_rpt_to_the_advisory_committee)","https://go.usa.gov/x7M6s (https://go.usa.gov/x7M6s)","Veterans Affairs Department"
"2020-06-24T09:30:00.000"," Grants Pass","CANCELLED","","Martha Garcia","","vaac@odva.state.or.us",,"","","Veterans Affairs Department"
"2020-03-04T09:30:00.000"," Tillamook","Tillamook Bay Community College, 4301 Third St.","https://goo.gl/maps/pxawWsC2BZgv1gwz8 (https://goo.gl/maps/pxawWsC2BZgv1gwz8)","Martha Garcia","","vaac@odva.state.or.us","March 2020 AC Staff Rpts.pdf (https://data.oregon.gov/views/gs36-7t8m/files/a01da6cf-7841-46dc-887d-fd387c2fdca6?download=true&filename=March%202020%20AC%20Staff%20Rpts.pdf)","https://issuu.com/odva/docs/march_2020_ac_staff_rpts (https://issuu.com/odva/docs/march_2020_ac_staff_rpts)","","Veterans Affairs Department"
"2019-12-04T09:30:00.000","Salem","Department of Public Safety Standards and Training, 4190 Aumsville Hwy SE","https://goo.gl/maps/53MEkTNeKEyLkQmP6 (https://goo.gl/maps/53MEkTNeKEyLkQmP6)","Martha Garcia","","vaac@odva.state.or.us","December 4_2019 AC Rpt.pdf (https://data.oregon.gov/views/gs36-7t8m/files/6e094c02-729b-4aef-a5cc-16eea6cca884?download=true&filename=December%204_2019%20AC%20Rpt.pdf)","https://issuu.com/odva/docs/december_4_2019_ac_rpt (https://issuu.com/odva/docs/december_4_2019_ac_rpt)","","Veterans Affairs Department"
