"registry_number","entity_type","business_name","benefit_designation_date","business_details"
"194278199","DOMESTIC LIMITED LIABILITY COMPANY","#541ADVENTURES LLC","2022-03-14T12:13:40.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=194278199&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"170357595","DOMESTIC LIMITED LIABILITY COMPANY","#ISUPPORTIT! THE BRAND LLC.","2020-08-06T10:34:47.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=170357595&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"106727290","DOMESTIC LIMITED LIABILITY COMPANY","10 BOTANICALS, LLC","2014-12-08T08:53:44.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=106727290&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"139494892","DOMESTIC LIMITED LIABILITY COMPANY","10 POINT BARBERS LLC","2018-01-08T13:22:11.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=139494892&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"175991091","DOMESTIC LIMITED LIABILITY COMPANY","101 RANCH, LLC","2020-12-28T10:58:48.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=175991091&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"128729399","DOMESTIC LIMITED LIABILITY COMPANY","10660 SE DIVISION LLC","2017-01-26T12:58:21.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=128729399&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"200384592","DOMESTIC BUSINESS CORPORATION","13 JAMMU INC","2022-08-22T09:28:29.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=200384592&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"176286590","DOMESTIC LIMITED LIABILITY COMPANY","19 ADVISORS LLC","2021-01-04T11:09:53.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=176286590&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"176286590","DOMESTIC LIMITED LIABILITY COMPANY","19 ADVISORS LLC","2021-12-07T16:26:55.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=176286590&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"178049095","DOMESTIC LIMITED LIABILITY COMPANY","190 NE ELM LLC","2021-02-09T12:01:37.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=178049095&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"177446896","DOMESTIC LIMITED LIABILITY COMPANY","2 BROKE BARTENDERS, LLC","2021-01-27T16:15:19.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=177446896&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"167015792","DOMESTIC LIMITED LIABILITY COMPANY","2 OAKS LLC","2020-05-05T09:38:49.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=167015792&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"184749894","DOMESTIC LIMITED LIABILITY COMPANY","2 PUSH FORWARD LLC","2021-07-16T08:30:59.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=184749894&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"142646991","DOMESTIC LIMITED LIABILITY COMPANY","2159 NW US 101 LLC","2018-04-05T09:45:54.000","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=142646991&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
